player,outcome,x,y,role
C. Immobile,Miss,92,52,Forward
C. Immobile,Miss,88,43,Forward
C. Immobile,Miss,77,27,Forward
Wallace,Miss,89,46,Defender
S. Milinković-Savić,GOAL,79,64,Midfielder
L. Castro,Miss,92,56,Midfielder
R. Mandragora,Miss,88,44,Midfielder
A. Cerci,Miss,90,68,Forward
M. Trotta,Miss,89,63,Forward
A. Budimir,Miss,94,71,Forward
M. Fares,Miss,84,61,Forward
A. Budimir,Miss,89,48,Forward
A. Ajeti,Miss,88,48,Defender
M. Trotta,Miss,92,34,Forward
A. Budimir,Miss,94,55,Forward
A. Stoian,Miss,80,30,Forward
M. Büchel,Miss,75,69,Midfielder
M. Trotta,Miss,90,36,Forward
A. Barberis,Miss,80,67,Midfielder
Daniel Bessa,Miss,84,40,Midfielder
G. Crociata,Miss,97,65,Midfielder
M. Sampirisi,Miss,66,97,Defender
F. Chiesa,Miss,83,67,Midfielder
G. Caprari,Miss,89,55,Forward
J. Sala,Miss,77,58,Defender
Gil Dias,Miss,82,74,Forward
F. Quagliarella,Miss,90,46,Forward
F. Quagliarella,Miss,97,42,Forward
G. Simeone,Miss,81,36,Forward
G. Ramírez,Miss,88,68,Midfielder
G. Caprari,GOAL,96,41,Forward
Gil Dias,Miss,82,72,Forward
Gil Dias,Miss,92,66,Forward
G. Simeone,Miss,86,43,Forward
Gil Dias,Miss,88,66,Forward
G. Simeone,Miss,90,75,Forward
G. Caprari,Miss,93,43,Forward
D. Praet,Miss,81,67,Midfielder
M. Badelj,GOAL,87,46,Midfielder
J. Veretout,Miss,82,74,Midfielder
F. Chiesa,Miss,79,22,Midfielder
G. Pezzella,Miss,91,61,Defender
F. Chiesa,Miss,96,15,Midfielder
F. Chiesa,Miss,71,33,Midfielder
M. Benassi,Miss,91,73,Midfielder
G. Simeone,Miss,88,62,Forward
G. Pezzella,Miss,92,41,Defender
F. Chiesa,Miss,85,28,Midfielder
F. Chiesa,Miss,90,38,Midfielder
G. Pezzella,Miss,98,51,Defender
K. Babacar,Miss,79,53,Forward
R. Álvarez,Miss,82,67,Midfielder
F. Quagliarella,Miss,90,42,Forward
K. Babacar,Miss,87,59,Forward
F. Chiesa,Miss,91,39,Midfielder
