player,outcome,x,y,role
Neymar,Miss,81,55,Forward
Thiago Silva,Miss,85,43,Defender
Á. di María,Miss,82,74,Midfielder
Marquinhos,Miss,91,43,Defender
Y. Salibur,Miss,76,22,Midfielder
É. Didot,Miss,77,70,Midfielder
Á. di María,Miss,80,43,Midfielder
Á. di María,Miss,74,52,Midfielder
E. Cavani,Miss,87,44,Forward
E. Cavani,Miss,93,66,Forward
E. Cavani,GOAL,86,43,Forward
Neymar,Miss,82,47,Forward
E. Cavani,Miss,92,49,Forward
E. Cavani,Miss,90,44,Forward
Neymar,Miss,76,64,Forward
Á. di María,Miss,92,60,Midfielder
Á. di María,Miss,81,55,Midfielder
Neymar,Miss,85,38,Forward
Neymar,GOAL,93,48,Forward
M. Thuram,Miss,72,37,Forward
A. Zambo Anguissa,Miss,83,48,Midfielder
Y. Bammou,Miss,77,53,Forward
A. Kačaniklić,Miss,93,51,Midfielder
F. Thauvin,Miss,87,54,Forward
Diego Carlos,Miss,95,60,Defender
F. Thauvin,Miss,83,50,Forward
E. Sala,Miss,91,32,Forward
V. Germain,Miss,91,55,Forward
A. Thomasson,Miss,84,65,Midfielder
C. N'Jie,Miss,87,34,Forward
A. Touré,Miss,76,53,Midfielder
Lucas Lima,Miss,88,37,Defender
A. Thomasson,Miss,94,26,Midfielder
Diego Carlos,Miss,92,68,Defender
A. Touré,Miss,76,41,Midfielder
M. Lopez,Miss,89,72,Midfielder
F. Thauvin,Miss,83,61,Forward
F. Thauvin,Miss,90,55,Forward
A. Rami,Miss,93,58,Defender
L. Ocampos,Miss,97,47,Forward
L. Ocampos,GOAL,96,46,Forward
E. Sala,Miss,93,50,Forward
A. Touré,Miss,80,54,Midfielder
A. Thomasson,Miss,94,58,Midfielder
E. Sala,Miss,92,48,Forward
A. Pléa,Miss,86,41,Forward
B. Srarfi,Miss,85,49,Midfielder
V. Koziello,Miss,79,44,Midfielder
A. Saint-Maximin,Miss,93,31,Forward
T. Dingomé,Miss,90,63,Midfielder
S. Darbion,Miss,78,73,Midfielder
B. Nivet,Miss,88,64,Midfielder
A. Pléa,Miss,81,65,Forward
A. Niane,Miss,79,78,Forward
S. Grandsir,Miss,92,70,Forward
A. Niane,Miss,90,69,Forward
Dante,Miss,88,45,Defender
J. Seri,Miss,69,64,Midfielder
B. Srarfi,Miss,92,38,Midfielder
A. Niane,GOAL,82,50,Forward
A. Pléa,Miss,89,29,Forward
B. Srarfi,Miss,80,61,Midfielder
A. Saint-Maximin,Miss,73,22,Forward
J. Seri,Miss,87,25,Midfielder
S. Grandsir,Miss,89,45,Forward
M. Le Marchand,Miss,93,42,Defender
A. Niane,Miss,93,70,Forward
H. Mahou,Miss,87,23,Midfielder
A. Pléa,Miss,89,27,Forward
S. Khaoui,GOAL,87,43,Midfielder
M. Le Marchand,Miss,70,26,Defender
Marcelo,Miss,93,55,Defender
B. Traoré,Miss,88,72,Forward
F. Maouassa,Miss,76,53,Midfielder
Mexer,Miss,87,72,Defender
Mariano Díaz,Miss,86,62,Forward
I. Sarr,Miss,79,18,Midfielder
F. Maouassa,Miss,77,60,Midfielder
Mariano Díaz,Miss,92,44,Forward
N. Fekir,Miss,85,50,Midfielder
Mariano Díaz,Miss,87,40,Forward
B. Traoré,Miss,90,32,Forward
R. Bensebaini,Miss,91,27,Defender
B. Bourigeaud,Miss,77,49,Midfielder
Sergi Darder,Miss,70,67,Midfielder
J. Gnagnon,Miss,93,49,Defender
F. Maouassa,Miss,82,50,Midfielder
Mariano Díaz,GOAL,91,48,Forward
J. Tell,Miss,78,68,Forward
N. Fekir,Miss,65,72,Midfielder
Mariano Díaz,Miss,81,65,Forward
M. Cornet,Miss,89,69,Forward
R. Bensebaini,Miss,87,43,Defender
F. Mubele,Miss,95,70,Forward
R. Bensebaini,Miss,92,46,Defender
I. Saadi,Miss,85,37,Forward
I. Saadi,Miss,88,30,Forward
N. de Préville,Miss,61,68,Forward
J. Aholou,Miss,86,43,Midfielder
B. Corgnet,Miss,88,62,Midfielder
P. Martinez,Miss,95,36,Defender
A. El Ghazi,Miss,74,78,Forward
Y. Benzia,Miss,72,33,Forward
J. Martin,Miss,89,38,Midfielder
I. Saadi,Miss,95,64,Forward
I. Saadi,Miss,90,48,Forward
Nuno Da Costa,Miss,97,49,Forward
I. Saadi,Miss,93,57,Forward
A. El Ghazi,Miss,81,67,Forward
P. Martinez,Miss,91,63,Defender
Thiago Maia,Miss,75,26,Midfielder
I. Sacko,Miss,77,53,Forward
I. Saadi,Miss,89,44,Forward
I. Sacko,Miss,84,40,Forward
J. Martin,GOAL,97,44,Midfielder
J. Alonso,Miss,91,41,Defender
K. Lala,Miss,77,71,Defender
Y. Bissouma,Miss,82,58,Midfielder
A. El Ghazi,Miss,88,60,Forward
J. Aholou,Miss,83,38,Midfielder
J. Grimm,GOAL,76,55,Midfielder
N. de Préville,Miss,88,54,Forward
A. El Ghazi,Miss,88,24,Forward
Luiz Araújo,Miss,89,64,Forward
I. Mbenza,Miss,80,68,Forward
A. Delort,Miss,95,55,Forward
N. Mukiele,Miss,74,70,Defender
E. Skhiri,Miss,75,69,Midfielder
O. Toivonen,Miss,95,51,Forward
O. Toivonen,Miss,95,57,Forward
A. Delort,Miss,86,43,Forward
O. Toivonen,Miss,91,58,Forward
J. Roussillon,Miss,83,13,Defender
S. Camara,Miss,89,71,Forward
E. Skhiri,Miss,75,64,Midfielder
D. Congré,Miss,94,50,Defender
A. Delort,Miss,91,41,Forward
J. Roussillon,Miss,85,30,Defender
Y. Sanogo,Miss,93,71,Forward
C. Ninga,Miss,88,44,Forward
J. Roussillon,Miss,86,33,Defender
D. Da Silva,GOAL,94,49,Defender
Y. Bissouma,Miss,83,65,Midfielder
I. Amadou,Miss,95,55,Midfielder
A. Djiku,Miss,92,44,Defender
C. Kouakou,Miss,81,32,Forward
C. Kouakou,Miss,72,77,Forward
F. Touré,Miss,92,27,Defender
J. Féret,Miss,72,50,Midfielder
R. Rodelin,Miss,78,23,Forward
N. Pépé,Miss,73,46,Forward
N. Pépé,Miss,90,25,Forward
A. Mbengue,Miss,82,29,Defender
I. Santini,Miss,93,69,Forward
I. Santini,GOAL,99,53,Forward
I. Faraj,Miss,78,37,Midfielder
Y. Bissouma,Miss,73,60,Midfielder
A. El Ghazi,Miss,72,66,Forward
Y. Bissouma,Miss,73,51,Midfielder
Y. Bissouma,Miss,79,34,Midfielder
N. de Préville,Miss,88,45,Forward
I. Santini,Miss,90,30,Forward
I. Amadou,Miss,71,66,Midfielder
Y. Bissouma,Miss,72,69,Midfielder
N. de Préville,Miss,89,42,Forward
I. Faraj,Miss,91,43,Midfielder
M. Depay,Miss,83,68,Forward
N. Fekir,GOAL,53,32,Midfielder
Y. Sankharé,Miss,79,43,Midfielder
K. Tete,GOAL,97,56,Defender
V. Vada,Miss,97,62,Midfielder
F. Kamano,Miss,87,28,Forward
Malcom,Miss,79,62,Forward
Malcom,GOAL,74,58,Forward
L. Lerager,Miss,83,48,Midfielder
B. Traoré,Miss,92,71,Forward
Jonathan Cafu,Miss,82,60,Forward
L. Lerager,Miss,91,44,Midfielder
V. Jovanović,Miss,73,37,Defender
Y. Sabaly,Miss,95,60,Defender
Jonathan Cafu,Miss,78,39,Forward
N. Fekir,Miss,93,52,Midfielder
Y. Sankharé,Miss,75,51,Midfielder
L. Lerager,GOAL,89,53,Midfielder
Malcom,Miss,83,65,Forward
Malcom,GOAL,77,37,Forward
E. Crivelli,Miss,92,45,Forward
C. N'Jie,GOAL,89,48,Forward
E. Crivelli,Miss,91,42,Forward
A. Fulgini,Miss,72,60,Midfielder
V. Manceau,Miss,76,69,Defender
L. Coulibaly,Miss,89,40,Midfielder
V. Germain,Miss,89,64,Forward
L. Ocampos,Miss,89,30,Forward
F. Thauvin,Miss,94,55,Forward
B. Santamaria,Miss,74,50,Midfielder
F. Thauvin,Miss,86,47,Forward
K. Toko Ekambi,GOAL,81,66,Forward
P. Capelle,Miss,72,53,Midfielder
P. Capelle,Miss,80,30,Midfielder
R. Thomas,Miss,93,49,Defender
P. Capelle,Miss,92,64,Midfielder
F. Thauvin,Miss,86,29,Forward
L. Ocampos,Miss,92,41,Forward
L. Ocampos,Miss,82,55,Forward
A. Zambo Anguissa,Miss,76,46,Midfielder
Rony Lopes,Miss,68,60,Midfielder
N. Roux,Miss,90,44,Forward
R. Falcao,Miss,86,36,Forward
N. Roux,Miss,90,44,Forward
M. Niakhaté,Miss,93,45,Defender
Rony Lopes,Miss,78,81,Midfielder
T. Lemar,Miss,69,48,Midfielder
N. Roux,Miss,76,79,Forward
G. Carrillo,Miss,93,65,Forward
R. Falcao,Miss,99,60,Forward
J. Rivierez,Miss,69,65,Defender
Cafú,Miss,89,45,Midfielder
A. Diakhaby,Miss,89,63,Forward
R. Falcao,Miss,89,60,Forward
R. Ghezzal,Miss,90,64,Midfielder
N. Roux,Miss,87,36,Forward
R. Falcao,Miss,71,77,Forward
T. Lemar,Miss,90,34,Midfielder
K. Glik,Miss,89,58,Defender
K. Glik,Miss,92,62,Defender
Jorge,Miss,79,35,Defender
I. Niane,Miss,94,36,Forward
R. Falcao,GOAL,93,57,Forward
R. Ghezzal,Miss,88,71,Midfielder
R. Falcao,Miss,87,74,Forward
D. Sidibé,Miss,80,76,Defender
I. Niane,Miss,87,70,Forward
João Moutinho,Miss,81,37,Midfielder
G. Hein,Miss,83,69,Midfielder
I. Sacko,Miss,87,30,Forward
I. Mbenza,Miss,78,73,Forward
J. Martin,Miss,73,47,Midfielder
B. Corgnet,Miss,86,53,Midfielder
I. Saadi,GOAL,90,45,Forward
F. Píriz,Miss,73,43,Midfielder
G. Sio,Miss,90,29,Forward
I. Saadi,Miss,85,38,Forward
G. Sio,Miss,86,70,Forward
K. Dolly,Miss,74,53,Forward
P. Lasne,Miss,74,58,Midfielder
K. Dolly,Miss,88,48,Forward
D. Congré,GOAL,98,58,Defender
G. Sio,Miss,89,53,Forward
D. Liénard,Miss,76,46,Midfielder
B. Corgnet,Miss,80,88,Midfielder
K. Dolly,Miss,95,58,Forward
P. Lasne,Miss,71,54,Midfielder
F. Píriz,Miss,93,45,Midfielder
N. Mukiele,Miss,90,75,Defender
C. Ninga,Miss,96,64,Forward
G. Sio,Miss,95,58,Forward
R. Camara,Miss,83,75,Midfielder
A. Souquet,Miss,95,68,Defender
J. Seri,Miss,73,45,Midfielder
P. Lees Melou,Miss,71,55,Midfielder
L. Blas,Miss,84,65,Midfielder
P. Lees Melou,Miss,87,51,Midfielder
A. Pléa,Miss,80,40,Forward
J. Seri,Miss,80,55,Midfielder
J. Briand,Miss,88,49,Forward
P. Lees Melou,Miss,87,39,Midfielder
A. Pléa,GOAL,87,51,Forward
A. Pléa,Miss,96,36,Forward
R. Walter,GOAL,95,53,Midfielder
P. Lees Melou,Miss,72,49,Midfielder
C. Kerbrat,Miss,95,67,Defender
M. Thuram,Miss,90,70,Forward
W. Sneijder,Miss,81,35,Midfielder
M. Balotelli,Miss,75,49,Forward
J. Briand,Miss,78,29,Forward
M. Diallo,Miss,84,44,Midfielder
M. Coco,Miss,77,27,Midfielder
M. Diallo,Miss,87,48,Midfielder
M. Coco,Miss,80,26,Midfielder
M. Coco,Miss,83,43,Midfielder
M. Coco,Miss,89,67,Midfielder
L. Blas,Miss,76,74,Midfielder
Á. di María,Miss,90,66,Midfielder
Neymar,Miss,89,28,Forward
A. Rabiot,Miss,94,30,Midfielder
Neymar,Miss,87,56,Forward
E. Cavani,Miss,89,59,Forward
M. Gradel,GOAL,87,45,Forward
Á. di María,Miss,73,43,Midfielder
Neymar,Miss,89,44,Forward
J. Durmaz,Miss,75,79,Midfielder
A. Rabiot,Miss,88,27,Midfielder
Neymar,GOAL,89,53,Forward
Á. di María,Miss,86,53,Midfielder
Thiago Silva,Miss,63,63,Defender
A. Rabiot,GOAL,74,37,Midfielder
E. Cavani,Miss,87,57,Forward
L. Kurzawa,Miss,77,27,Defender
L. Kurzawa,Miss,79,30,Defender
A. Rabiot,Miss,69,49,Midfielder
A. Delort,Miss,90,35,Forward
Neymar,Miss,90,40,Forward
E. Cavani,Miss,88,65,Forward
A. Delort,Miss,82,68,Forward
C. Jullien,Miss,94,51,Defender
J. Pastore,GOAL,79,35,Midfielder
L. Kurzawa,GOAL,89,48,Defender
K. Amian,Miss,88,49,Defender
Dani Alves,Miss,50,79,Defender
Neymar,GOAL,88,43,Forward
H. Traoré,Miss,71,64,Defender
N. Sliti,Miss,79,41,Midfielder
F. Mubele,GOAL,92,52,Forward
B. André,Miss,73,37,Midfielder
N. Sliti,Miss,90,50,Midfielder
F. Mubele,Miss,95,65,Forward
I. Sarr,Miss,89,23,Midfielder
B. Bourigeaud,Miss,95,64,Midfielder
F. Maouassa,Miss,77,38,Midfielder
Kwon Chang-Hoon,Miss,95,59,Midfielder
N. Sliti,Miss,78,53,Midfielder
F. Sammaritano,Miss,85,46,Midfielder
F. Mubele,GOAL,90,17,Forward
F. Chafik,Miss,80,72,Defender
F. Chafik,Miss,80,63,Defender
Kwon Chang-Hoon,GOAL,92,50,Midfielder
I. Sarr,Miss,92,67,Midfielder
J. Gnagnon,Miss,86,52,Defender
J. Marié,Miss,75,37,Midfielder
F. Sammaritano,Miss,84,28,Midfielder
Kwon Chang-Hoon,Miss,81,64,Midfielder
J. Lea Siliki,Miss,79,81,Midfielder
I. Sarr,Miss,92,54,Midfielder
J. Gnagnon,Miss,91,39,Defender
R. Hamouma,Miss,80,69,Forward
O. El Hajjam,Miss,88,65,Defender
T. Ndombèlé,Miss,77,44,Midfielder
L. Diony,Miss,89,33,Forward
T. Ndombèlé,Miss,86,31,Midfielder
T. Monconduit,Miss,67,38,Midfielder
R. Hamouma,Miss,85,44,Forward
