player,outcome,x,y,role
M. Taremi,Miss,90,45,Forward
Sergio Ramos,Miss,91,55,Defender
M. Taremi,Miss,95,55,Forward
Cristiano Ronaldo,Miss,90,27,Forward
V. Amiri,Miss,84,30,Midfielder
João Mário,Miss,81,44,Midfielder
José Fonte,Miss,84,49,Defender
S. Ezatolahi,Miss,92,53,Midfielder
Cristiano Ronaldo,Miss,70,33,Forward
Ricardo Quaresma,Miss,92,66,Forward
Ricardo Quaresma,GOAL,82,71,Forward
Raphaël Guerreiro,Miss,75,32,Defender
Cristiano Ronaldo,Miss,78,40,Forward
Adrien Silva,Miss,73,27,Midfielder
S. Ghoddos,Miss,82,43,Forward
André Silva,Miss,77,66,Forward
S. Ghoddos,Miss,78,58,Forward
M. Taremi,Miss,93,43,Forward
K. Boutaïb,GOAL,90,55,Forward
Iniesta,Miss,77,26,Midfielder
Isco,GOAL,95,46,Midfielder
Piqué,Miss,96,53,Defender
Iniesta,Miss,84,43,Midfielder
K. Boutaïb,Miss,94,33,Forward
Diego Costa,Miss,89,37,Forward
Sergio Busquets,Miss,93,44,Midfielder
H. Ziyech,Miss,78,39,Midfielder
N. Amrabat,Miss,79,77,Forward
Piqué,Miss,73,76,Defender
Thiago Alcântara,Miss,89,68,Midfielder
Isco,Miss,95,46,Midfielder
Piqué,Miss,91,47,Defender
Thiago Alcântara,Miss,82,37,Midfielder
Sergio Ramos,Miss,73,37,Defender
H. Ziyech,Miss,90,66,Midfielder
Y. En-Nesyri,GOAL,89,47,Forward
Rodrigo,Miss,93,53,Forward
Marco Asensio,Miss,94,44,Midfielder
Iago Aspas,GOAL,95,54,Forward
K. Mbappé,Miss,95,70,Forward
A. Griezmann,Miss,78,50,Forward
A. Behich,Miss,82,25,Defender
A. Griezmann,Miss,86,47,Forward
A. Griezmann,Miss,85,56,Forward
S. Umtiti,Miss,70,42,Defender
B. Pavard,Miss,74,55,Defender
P. Pogba,Miss,86,55,Midfielder
L. Hernández,Miss,81,38,Defender
J. Risdon,Miss,79,56,Defender
L. Advíncula,Miss,73,64,Defender
Y. Yotún,Miss,71,26,Midfielder
É. Flores,Miss,73,48,Midfielder
A. Carrillo,Miss,86,68,Midfielder
R. Tapia,Miss,69,39,Midfielder
A. Rodríguez,Miss,87,45,Defender
P. Sisto,Miss,93,34,Midfielder
T. Delaney,Miss,73,45,Midfielder
J. Farfán,Miss,90,60,Forward
L. Schöne,Miss,79,55,Midfielder
T. Delaney,Miss,84,27,Midfielder
Y. Poulsen,Miss,95,60,Forward
J. Farfán,Miss,92,71,Forward
J. Stryger Larsen,Miss,76,45,Defender
C. Eriksen,Miss,85,74,Midfielder
Y. Poulsen,GOAL,91,37,Forward
É. Flores,Miss,91,36,Midfielder
P. Guerrero,Miss,93,54,Forward
C. Ramos,Miss,92,63,Defender
L. Advíncula,Miss,90,73,Defender
P. Guerrero,Miss,93,53,Forward
N. Jørgensen,Miss,86,48,Forward
J. Farfán,Miss,89,56,Forward
C. Eriksen,Miss,89,37,Midfielder
É. Flores,Miss,76,56,Midfielder
Y. Yotún,Miss,54,49,Midfielder
A. Griezmann,Miss,92,71,Forward
P. Pogba,Miss,78,69,Midfielder
R. Varane,Miss,92,34,Defender
A. Griezmann,Miss,84,62,Forward
É. Flores,Miss,79,35,Midfielder
P. Guerrero,Miss,92,35,Forward
K. Mbappé,Miss,88,43,Forward
O. Giroud,Miss,91,27,Forward
K. Mbappé,GOAL,97,49,Forward
L. Hernández,Miss,90,28,Defender
L. Hernández,Miss,91,33,Defender
P. Aquino,Miss,74,43,Midfielder
C. Cueva,Miss,82,29,Midfielder
A. Carrillo,Miss,75,39,Midfielder
L. Advíncula,Miss,77,73,Defender
J. Farfán,Miss,99,29,Forward
O. Dembélé,Miss,88,51,Forward
B. Matuidi,Miss,78,47,Midfielder
O. Giroud,Miss,88,37,Forward
T. Delaney,Miss,92,53,Midfielder
T. Rogić,Miss,79,64,Midfielder
M. Leckie,Miss,91,51,Forward
C. Eriksen,GOAL,87,44,Midfielder
P. Sisto,Miss,72,37,Midfielder
T. Rogić,Miss,72,43,Midfielder
N. Jørgensen,Miss,93,54,Forward
R. Kruse,Miss,88,56,Forward
A. Mooy,Miss,72,50,Midfielder
M. Leckie,Miss,88,54,Forward
J. Stryger Larsen,Miss,89,38,Defender
P. Sisto,Miss,88,49,Midfielder
A. Mooy,Miss,71,45,Midfielder
T. Rogić,Miss,75,62,Midfielder
P. Sisto,Miss,76,34,Midfielder
M. Leckie,Miss,87,66,Forward
M. Leckie,Miss,88,67,Forward
A. Cornelius,Miss,89,44,Forward
D. Arzani,Miss,92,25,Midfielder
M. Leckie,Miss,88,46,Forward
C. Eriksen,Miss,79,60,Midfielder
M. Braithwaite,Miss,88,34,Forward
O. Giroud,Miss,88,37,Forward
R. Varane,Miss,94,53,Defender
O. Dembélé,Miss,80,78,Forward
A. Griezmann,Miss,83,75,Forward
O. Dembélé,Miss,72,77,Forward
C. Eriksen,Miss,75,69,Midfielder
A. Griezmann,Miss,73,57,Forward
T. Lemar,Miss,75,47,Midfielder
C. Eriksen,Miss,83,48,Midfielder
V. Fischer,Miss,74,38,Forward
N. Fekir,Miss,81,22,Midfielder
O. Giroud,Miss,88,36,Forward
O. Giroud,Miss,83,60,Forward
N. Fekir,Miss,76,56,Midfielder
M. Jedinak,Miss,76,62,Midfielder
T. Rogić,Miss,82,54,Midfielder
A. Carrillo,GOAL,87,67,Midfielder
P. Guerrero,Miss,91,47,Forward
T. Rogić,Miss,86,44,Midfielder
Y. Yotún,Miss,69,44,Midfielder
M. Jedinak,Miss,94,60,Midfielder
T. Sainsbury,Miss,91,45,Defender
P. Guerrero,GOAL,92,45,Forward
M. Jedinak,Miss,89,60,Midfielder
T. Sainsbury,Miss,88,58,Defender
M. Jedinak,Miss,91,43,Midfielder
A. Behich,Miss,88,35,Defender
T. Cahill,Miss,89,40,Forward
D. Arzani,Miss,71,43,Midfielder
G. Sigurðsson,Miss,76,65,Midfielder
N. Tagliafico,Miss,87,47,Defender
A. Finnbogason,Miss,94,74,Forward
J. Guðmunds­son,Miss,81,73,Midfielder
B. Bjarnason,Miss,90,43,Midfielder
N. Otamendi,Miss,68,55,Defender
L. Messi,Miss,74,55,Forward
M. Rojo,Miss,73,18,Defender
S. Agüero,GOAL,86,38,Forward
L. Messi,Miss,78,31,Forward
H. Magnússon,Miss,90,25,Defender
A. Finnbogason,GOAL,92,48,Forward
N. Otamendi,Miss,87,45,Defender
L. Biglia,Miss,76,32,Midfielder
L. Messi,Miss,93,25,Forward
L. Biglia,Miss,89,62,Midfielder
G. Sigurðsson,Miss,94,31,Midfielder
G. Sigurðsson,Miss,86,35,Midfielder
N. Otamendi,Miss,88,53,Defender
S. Agüero,Miss,91,65,Forward
S. Agüero,Miss,91,72,Forward
É. Banega,Miss,79,49,Midfielder
L. Messi,Miss,84,68,Forward
E. Salvio,Miss,79,74,Midfielder
É. Banega,Miss,78,27,Midfielder
L. Messi,Miss,78,56,Forward
C. Pavón,Miss,81,32,Forward
L. Messi,Miss,75,58,Forward
J. Mascherano,Miss,78,62,Defender
L. Messi,Miss,88,64,Forward
A. Iwobi,Miss,70,55,Midfielder
I. Perišić,Miss,80,66,Midfielder
A. Kramarić,Miss,73,50,Forward
O. Etebo,Miss,70,55,Forward
A. Rebić,Miss,80,44,Forward
M. Mandžukić,Miss,93,46,Forward
O. Ighalo,Miss,88,46,Forward
A. Kramarić,Miss,89,54,Forward
Š. Vrsaljko,Miss,89,75,Defender
A. Iwobi,Miss,86,34,Midfielder
V. Moses,Miss,74,67,Midfielder
V. Moses,Miss,88,70,Midfielder
I. Rakitić,Miss,69,48,Midfielder
A. Iwobi,Miss,90,27,Midfielder
O. Ighalo,Miss,88,47,Forward
M. Mandžukić,Miss,92,48,Forward
K. Iheanacho,Miss,88,63,Forward
L. Balogun,Miss,90,53,Defender
O. Etebo,Miss,69,29,Forward
V. Moses,Miss,89,63,Midfielder
M. Kovačić,Miss,91,64,Midfielder
I. Perišić,Miss,93,32,Midfielder
M. Meza,Miss,87,47,Midfielder
M. Brozović,Miss,72,54,Midfielder
E. Pérez,Miss,89,41,Midfielder
M. Mandžukić,Miss,95,42,Forward
A. Rebić,Miss,80,44,Forward
M. Acuña,Miss,76,33,Midfielder
S. Agüero,Miss,91,33,Forward
A. Rebić,GOAL,89,35,Forward
M. Meza,Miss,90,40,Midfielder
L. Messi,Miss,98,41,Forward
N. Otamendi,Miss,90,51,Defender
M. Mandžukić,Miss,94,58,Forward
P. Dybala,Miss,88,77,Forward
I. Rakitić,Miss,84,31,Midfielder
L. Modrić,GOAL,74,56,Midfielder
G. Higuaín,Miss,81,32,Forward
M. Kovačić,Miss,85,43,Midfielder
M. Mandžukić,Miss,80,62,Forward
L. Modrić,Miss,69,68,Midfielder
M. Meza,Miss,89,36,Midfielder
I. Rakitić,Miss,81,48,Midfielder
I. Rakitić,GOAL,93,48,Midfielder
G. Sigurðsson,Miss,80,49,Midfielder
B. Bjarnason,Miss,96,36,Midfielder
B. Bjarnason,Miss,92,32,Midfielder
A. Finnbogason,Miss,97,52,Forward
O. Etebo,Miss,76,67,Forward
A. Musa,GOAL,88,56,Forward
W. Ndidi,Miss,69,33,Midfielder
V. Moses,Miss,87,75,Midfielder
R. Gíslason,Miss,81,33,Forward
V. Moses,Miss,78,71,Midfielder
O. Etebo,Miss,79,46,Forward
W. Troost-Ekong,Miss,88,61,Defender
L. Balogun,Miss,94,59,Defender
K. Iheanacho,Miss,81,68,Forward
A. Musa,Miss,83,32,Forward
V. Moses,Miss,86,62,Midfielder
A. Musa,GOAL,94,47,Forward
W. Troost-Ekong,Miss,77,63,Defender
K. Iheanacho,Miss,80,60,Forward
A. Finnbogason,Miss,93,33,Forward
W. Ndidi,Miss,70,48,Midfielder
S. Ingason,Miss,90,49,Defender
A. Iwobi,Miss,85,36,Midfielder
O. Etebo,Miss,80,45,Forward
N. Tagliafico,Miss,87,32,Defender
A. Musa,Miss,77,33,Forward
L. Messi,GOAL,93,61,Forward
G. Higuaín,Miss,89,48,Forward
Á. di María,Miss,90,34,Midfielder
O. Etebo,Miss,74,57,Forward
L. Balogun,Miss,87,55,Defender
W. Ndidi,Miss,74,51,Midfielder
O. Ighalo,Miss,90,62,Forward
G. Higuaín,Miss,89,46,Forward
O. Ighalo,Miss,95,32,Forward
M. Rojo,GOAL,87,46,Defender
M. Kovačić,Miss,82,54,Midfielder
H. Magnússon,Miss,90,42,Defender
B. Bjarnason,Miss,85,44,Midfielder
B. Bjarnason,Miss,84,51,Midfielder
I. Perišić,Miss,78,53,Midfielder
M. Pjaca,Miss,74,56,Forward
A. Finnbogason,Miss,84,56,Forward
L. Modrić,Miss,74,60,Midfielder
E. Hallfreðsson,Miss,69,47,Midfielder
B. Bjarnason,Miss,89,52,Midfielder
A. Gunnarsson,Miss,86,70,Midfielder
M. Badelj,Miss,76,62,Midfielder
M. Badelj,GOAL,90,48,Midfielder
S. Ingason,Miss,89,49,Defender
S. Ingason,Miss,91,54,Defender
J. Guðmunds­son,Miss,80,68,Midfielder
G. Sigurðsson,Miss,89,77,Midfielder
A. Kramarić,Miss,73,42,Forward
B. Bjarnason,Miss,93,32,Midfielder
J. Guðmunds­son,Miss,74,68,Midfielder
A. Kramarić,Miss,88,39,Forward
I. Perišić,GOAL,90,30,Midfielder
I. Rakitić,Miss,79,51,Midfielder
A. Traustason,Miss,98,32,Midfielder
A. Gunnarsson,Miss,90,39,Midfielder
B. Džemaili,Miss,88,54,Midfielder
Paulinho,Miss,96,45,Midfielder
Philippe Coutinho,GOAL,77,31,Forward
S. Zuber,Miss,88,32,Midfielder
Thiago Silva,Miss,92,43,Defender
B. Džemaili,Miss,71,53,Midfielder
S. Zuber,GOAL,97,51,Midfielder
Philippe Coutinho,Miss,75,35,Forward
Philippe Coutinho,Miss,86,32,Forward
Neymar,Miss,93,27,Forward
Casemiro,Miss,71,46,Midfielder
Fernandinho,Miss,74,61,Midfielder
Willian,Miss,79,68,Midfielder
Willian,Miss,78,68,Midfielder
Philippe Coutinho,Miss,90,41,Forward
B. Džemaili,Miss,64,71,Midfielder
Fernandinho,Miss,73,70,Midfielder
Neymar,Miss,74,38,Forward
Roberto Firmino,Miss,94,69,Forward
Neymar,Miss,89,35,Forward
X. Shaqiri,Miss,74,72,Midfielder
Roberto Firmino,Miss,91,46,Forward
João Miranda,Miss,87,41,Defender
Renato Augusto,Miss,92,36,Midfielder
A. Mitrović,Miss,84,47,Forward
M. Ureña,Miss,98,67,Forward
G. González,Miss,89,52,Defender
A. Kolarov,Miss,75,20,Defender
G. González,Miss,93,62,Defender
A. Mitrović,Miss,87,61,Forward
M. Ureña,Miss,74,52,Forward
F. Calvo,Miss,78,35,Defender
A. Mitrović,Miss,90,49,Forward
A. Mitrović,Miss,91,49,Forward
S. Milinković-Savić,Miss,91,61,Midfielder
S. Milinković-Savić,Miss,78,51,Midfielder
N. Matić,Miss,82,45,Midfielder
J. Campbell,Miss,84,64,Forward
C. Borges,Miss,80,55,Midfielder
F. Kostić,Miss,83,31,Midfielder
C. Gamboa,Miss,66,45,Defender
Ó. Duarte,Miss,89,31,Defender
B. Ruiz,Miss,87,58,Midfielder
Philippe Coutinho,Miss,79,61,Forward
C. Gamboa,Miss,70,71,Defender
C. Borges,Miss,88,52,Midfielder
Thiago Silva,Miss,88,29,Defender
Marcelo,Miss,80,22,Defender
Marcelo,Miss,79,22,Defender
Philippe Coutinho,Miss,76,28,Forward
Willian,Miss,82,67,Midfielder
