player,outcome,x,y,role
E. Bardhi,Miss,86,41,Midfielder
Campaña,Miss,80,34,Midfielder
J. Lerma,Miss,96,56,Midfielder
Jason,Miss,79,53,Midfielder
Chema,Miss,92,64,Defender
Sidnei,GOAL,94,41,Defender
Campaña,Miss,79,18,Midfielder
José Luis Morales,Miss,80,43,Midfielder
José Luis Morales,Miss,94,36,Midfielder
Iván López,Miss,79,77,Defender
Fede Cartabia,Miss,86,61,Midfielder
Álex Alegría,Miss,87,46,Forward
Jason,Miss,88,60,Midfielder
E. Bardhi,Miss,92,46,Midfielder
C. Borges,Miss,91,54,Midfielder
Ivi,Miss,87,31,Forward
Luisinho,Miss,89,33,Defender
C. Borges,Miss,90,39,Midfielder
Campaña,Miss,74,54,Midfielder
C. Borges,Miss,92,47,Midfielder
Juanfran,Miss,73,64,Defender
E. Boateng,Miss,75,41,Forward
Fede Cartabia,Miss,72,61,Midfielder
Á. Correa,GOAL,89,49,Forward
Y. Carrasco,GOAL,92,35,Forward
J. Calleri,Miss,92,65,Forward
Jonathan Viera,Miss,74,23,Midfielder
Jonathan Viera,Miss,74,22,Midfielder
M. Lemos,Miss,64,63,Defender
Koke,Miss,87,10,Midfielder
Y. Carrasco,Miss,81,27,Forward
J. Calleri,GOAL,90,49,Forward
Koke,GOAL,75,28,Midfielder
Koke,GOAL,88,41,Midfielder
S. Araújo,Miss,91,44,Forward
Jonathan Viera,Miss,88,61,Midfielder
Thomas,Miss,74,34,Midfielder
Thomas,GOAL,82,47,Midfielder
S. Araújo,Miss,79,43,Forward
Pablo Maffeo,Miss,87,75,Defender
Pedro Alcalá,Miss,93,63,Defender
Borja García,Miss,89,58,Midfielder
Bernardo Espinosa,Miss,93,61,Defender
Bernardo Espinosa,Miss,90,66,Defender
C. Stuani,Miss,81,75,Forward
Borja García,Miss,83,31,Midfielder
Borja Bastón,Miss,78,39,Forward
Portu,Miss,92,46,Midfielder
Pedro Alcalá,GOAL,97,59,Defender
Álex Granell,Miss,74,54,Midfielder
Juanpi,Miss,86,34,Midfielder
C. Stuani,Miss,88,37,Forward
Aday,Miss,85,24,Defender
Bernardo Espinosa,Miss,91,51,Defender
Álex Mula,Miss,86,67,Midfielder
Adrián,Miss,85,50,Midfielder
Portu,Miss,81,53,Midfielder
Jony,Miss,96,29,Midfielder
Douglas Luiz,Miss,81,60,Midfielder
Borja Bastón,Miss,91,38,Forward
Y. En-Nesyri,Miss,87,42,Forward
Marco Asensio,GOAL,82,50,Midfielder
Carlos Soler,GOAL,94,49,Midfielder
K. Benzema,Miss,91,33,Forward
L. Modrić,Miss,69,29,Midfielder
José Gayá,Miss,72,45,Defender
Marcelo,Miss,90,31,Defender
K. Benzema,Miss,88,51,Forward
K. Benzema,Miss,95,50,Forward
K. Benzema,Miss,90,41,Forward
Casemiro,Miss,72,72,Midfielder
L. Modrić,Miss,94,65,Midfielder
Marco Asensio,Miss,84,71,Midfielder
G. Bale,Miss,81,69,Forward
Rodrigo,Miss,74,42,Forward
G. Bale,Miss,93,61,Forward
L. Modrić,Miss,76,43,Midfielder
S. Zaza,Miss,90,53,Forward
G. Kondogbia,GOAL,84,49,Midfielder
Marcelo,Miss,92,27,Defender
Daniel Carvajal,Miss,99,60,Defender
Marco Asensio,Miss,71,62,Midfielder
Marco Asensio,Miss,86,50,Midfielder
K. Benzema,Miss,90,41,Forward
S. Zaza,Miss,82,34,Forward
K. Benzema,Miss,93,45,Forward
Borja Mayoral,Miss,88,58,Forward
Jorge Molina,Miss,80,25,Forward
Jorge Molina,Miss,91,52,Forward
G. Mercado,Miss,92,33,Defender
A. Ndiaye,Miss,88,45,Forward
Jorge Molina,Miss,78,31,Forward
G. Mercado,Miss,78,58,Defender
M. Arambarri,Miss,71,69,Midfielder
Jorge Molina,Miss,92,64,Forward
F. Fajr,Miss,77,50,Midfielder
Nolito,Miss,94,60,Forward
A. Ndiaye,Miss,83,58,Forward
D. Suárez,Miss,68,45,Defender
G. Mercado,Miss,92,34,Defender
M. Arambarri,Miss,65,35,Midfielder
F. Fajr,Miss,90,58,Midfielder
Ganso,GOAL,93,54,Midfielder
Jorge Molina,Miss,96,42,Forward
A. Ndiaye,Miss,84,61,Forward
Pablo Sarabia,Miss,97,32,Midfielder
Ángel,Miss,82,46,Forward
L. Muriel,Miss,89,39,Forward
Maxi Gómez,GOAL,89,42,Forward
