player,outcome,x,y,role
N. Bentaleb,Miss,73,57,Midfielder
L. Goretzka,Miss,86,66,Midfielder
F. Reese,Miss,70,66,Forward
F. Reese,Miss,90,64,Forward
B. Pavard,Miss,97,71,Defender
D. Aogo,Miss,75,25,Defender
D. Brosinski,Miss,72,24,Defender
C. Akolo,Miss,82,51,Forward
S. Terodde,Miss,87,58,Forward
S. Bell,Miss,88,37,Defender
D. Aogo,Miss,90,42,Defender
S. Terodde,Miss,87,40,Forward
R. Quaison,Miss,85,28,Midfielder
S. Bell,Miss,62,58,Defender
A. Maxim,Miss,90,16,Midfielder
A. Maxim,Miss,72,63,Midfielder
O. Mangala,Miss,73,68,Midfielder
J. Brekalo,Miss,77,52,Midfielder
H. Badstuber,GOAL,89,39,Defender
M. Kamiński,Miss,88,32,Defender
L. Öztunali,Miss,92,74,Midfielder
C. Akolo,Miss,82,34,Forward
T. Asano,Miss,89,36,Forward
T. Asano,Miss,80,31,Forward
C. Gentner,Miss,86,76,Midfielder
O. Mangala,Miss,72,56,Midfielder
D. Brosinski,Miss,79,28,Defender
V. Fischer,Miss,73,34,Forward
D. Latza,Miss,78,34,Midfielder
D. Latza,Miss,78,52,Midfielder
M. Zimmermann,Miss,87,25,Midfielder
S. Terodde,Miss,81,43,Forward
Y. Muto,Miss,87,41,Forward
Y. Muto,Miss,97,55,Forward
R. Lewandowski,Miss,95,47,Forward
Thiago Alcântara,Miss,86,36,Midfielder
Rafinha,Miss,73,21,Defender
M. Uth,GOAL,87,32,Forward
M. Uth,Miss,77,62,Forward
T. Müller,Miss,94,47,Forward
S. Zuber,Miss,78,37,Midfielder
C. Tolisso,Miss,91,43,Midfielder
K. Coman,Miss,92,28,Forward
Thiago Alcântara,Miss,78,32,Midfielder
K. Coman,Miss,87,32,Forward
M. Uth,GOAL,89,41,Forward
M. Hummels,Miss,89,41,Defender
T. Müller,Miss,91,66,Forward
C. Tolisso,Miss,74,45,Midfielder
K. Coman,Miss,85,32,Forward
R. Lewandowski,Miss,89,35,Forward
E. Polanski,Miss,78,28,Midfielder
C. Tolisso,Miss,79,30,Midfielder
T. Müller,Miss,96,34,Forward
Javi Martínez,Miss,91,52,Midfielder
R. Lewandowski,Miss,91,49,Forward
A. Robben,Miss,90,43,Midfielder
R. Lewandowski,Miss,92,67,Forward
C. Tolisso,Miss,73,51,Midfielder
T. Delaney,Miss,89,49,Midfielder
F. Kainz,Miss,88,40,Midfielder
T. Delaney,Miss,91,58,Midfielder
F. Kainz,Miss,79,65,Midfielder
L. Augustinsson,Miss,88,45,Defender
M. Leckie,GOAL,91,67,Forward
S. Langkamp,Miss,75,60,Defender
V. Ibišević,Miss,87,62,Forward
T. Delaney,GOAL,89,60,Midfielder
F. Bartels,Miss,83,46,Midfielder
T. Delaney,Miss,89,64,Midfielder
V. Stocker,Miss,83,55,Midfielder
T. Delaney,Miss,74,63,Midfielder
V. Ibišević,Miss,90,53,Forward
M. Kruse,Miss,81,44,Forward
V. Stocker,Miss,78,34,Midfielder
S. Kalou,Miss,89,45,Forward
T. Kleindienst,Miss,85,49,Forward
M. Götze,Miss,88,41,Midfielder
P. Aubameyang,Miss,93,45,Forward
T. Kleindienst,Miss,86,62,Forward
V. Sierro,Miss,75,47,Midfielder
S. Papastathopoulos,Miss,72,66,Defender
N. Şahin,Miss,75,46,Midfielder
P. Aubameyang,Miss,87,53,Forward
M. Götze,Miss,83,52,Midfielder
Ł. Piszczek,Miss,78,75,Defender
C. Pulisic,Miss,91,37,Midfielder
Ö. Toprak,Miss,93,47,Defender
N. Şahin,Miss,84,23,Midfielder
M. Philipp,Miss,93,40,Forward
P. Aubameyang,Miss,94,42,Forward
S. Papastathopoulos,Miss,77,58,Defender
N. Şahin,Miss,76,43,Midfielder
Ł. Piszczek,Miss,83,43,Defender
M. Götze,Miss,81,46,Midfielder
M. Philipp,Miss,89,39,Forward
S. Papastathopoulos,Miss,75,60,Defender
N. Şahin,Miss,79,51,Midfielder
M. Terrazzino,Miss,78,35,Forward
M. Philipp,Miss,83,64,Forward
C. Günter,Miss,74,39,Defender
S. Papastathopoulos,Miss,70,56,Defender
Ł. Piszczek,Miss,91,65,Defender
C. Pulisic,Miss,86,64,Midfielder
S. Papastathopoulos,Miss,79,64,Defender
D. Zagadou,Miss,77,56,Defender
M. Gaćinović,Miss,91,40,Midfielder
N. Elvedi,Miss,91,30,Defender
K. Boateng,GOAL,91,45,Midfielder
K. Boateng,Miss,92,46,Midfielder
K. Boateng,Miss,85,60,Midfielder
