player,outcome,x,y,role
J. Cork,Miss,75,44,Midfielder
M. Phillips,Miss,74,58,Midfielder
R. Brady,Miss,75,39,Midfielder
S. Ward,Miss,81,29,Defender
H. Robson-Kanu,GOAL,92,62,Forward
H. Robson-Kanu,Miss,92,56,Forward
M. Lowton,Miss,77,60,Defender
A. Barnes,Miss,90,33,Forward
J. Hendrick,Miss,87,51,Midfielder
S. Vokes,Miss,93,59,Forward
J. Walters,Miss,90,32,Forward
Ayoze Pérez,Miss,89,60,Forward
A. Mooy,Miss,74,47,Midfielder
T. Smith,Miss,69,56,Defender
T. Ince,Miss,74,19,Midfielder
T. Ince,Miss,88,23,Midfielder
T. Ince,Miss,82,53,Midfielder
M. Ritchie,Miss,82,29,Midfielder
Ayoze Pérez,Miss,74,31,Forward
M. Ritchie,Miss,90,68,Midfielder
A. Mooy,GOAL,84,40,Midfielder
Joselu,Miss,87,44,Forward
Ayoze Pérez,Miss,93,55,Forward
I. Hayden,Miss,72,36,Midfielder
J. Murphy,Miss,88,58,Midfielder
Joselu,Miss,86,59,Forward
Joselu,Miss,73,50,Forward
Joselu,Miss,86,56,Forward
R. Mahrez,Miss,88,70,Midfielder
S. Okazaki,GOAL,91,50,Forward
W. Morgan,Miss,87,47,Defender
S. March,Miss,78,46,Midfielder
R. Mahrez,Miss,80,52,Midfielder
J. Vardy,Miss,91,53,Forward
M. James,Miss,71,56,Midfielder
J. Murphy,Miss,86,39,Midfielder
M. Albrighton,Miss,76,56,Midfielder
M. James,Miss,82,56,Midfielder
S. Okazaki,Miss,93,54,Forward
H. Maguire,GOAL,92,37,Defender
T. Hemed,Miss,78,42,Forward
R. Mahrez,Miss,86,47,Midfielder
M. Albrighton,Miss,71,49,Midfielder
R. Mahrez,Miss,73,67,Midfielder
D. Pröpper,Miss,73,19,Midfielder
S. March,Miss,73,73,Midfielder
J. Tomkins,Miss,93,47,Defender
J. Milner,Miss,94,32,Midfielder
J. Matip,Miss,95,56,Defender
D. Sturridge,Miss,79,38,Forward
S. Mané,Miss,93,68,Forward
Roberto Firmino,Miss,78,80,Forward
J. Puncheon,Miss,88,33,Midfielder
