Player,PrimaryPosition,Games,acceleration_pg,acceleration_acc,launch_pg,launch_acc,smartpass_pg,smartpass_acc,throughball_pg,throughball_acc,shots_pg,goals_pg,assists_pg,keypasses_pg,counterattacks_pg,opportunities_pg,feints_pg,anticipated_rate,consistency,Rating
K. Naughton,lb,34,0.529,0.684,1.147,0.339,0.618,0.366,0.412,0.353,0.324,0.000,0.059,0.059,0.471,0.118,0.029,0.021,0.750,63.48
Oriol Romeu,cm,34,0.265,0.586,0.676,0.442,0.471,0.389,0.529,0.368,0.706,0.029,0.000,0.294,0.882,0.471,0.000,0.030,0.688,64.25
S. Davis,cm,27,0.407,0.613,0.259,0.333,0.741,0.275,1.185,0.250,0.556,0.111,0.000,0.185,1.148,0.407,0.000,0.003,0.501,63.15
J. Stephens,lb,22,0.545,0.594,1.545,0.389,0.273,0.385,0.500,0.323,0.455,0.091,0.000,0.045,0.636,0.364,0.000,0.028,0.661,63.19
Cédric Soares,lb,39,0.564,0.690,1.410,0.360,0.410,0.472,0.436,0.405,0.667,0.000,0.077,0.333,0.718,0.308,0.051,0.025,0.607,66.81
M. Olsson,rb,41,1.268,0.792,0.878,0.429,0.244,0.367,0.244,0.367,0.488,0.000,0.024,0.195,0.390,0.268,0.000,0.013,0.554,63.77
J. Ward-Prowse,lam,30,0.133,0.458,0.167,0.440,0.467,0.294,0.300,0.276,0.667,0.067,0.133,0.633,0.700,0.600,0.000,0.003,0.362,64.11
T. Carroll,rcm,37,0.432,0.611,0.054,0.364,0.676,0.333,0.784,0.327,0.378,0.000,0.081,0.568,0.405,0.324,0.054,0.021,0.469,64.71
D. Tadić,cam,39,1.000,0.763,0.385,0.429,2.436,0.383,1.923,0.337,1.000,0.128,0.103,0.718,1.333,0.795,0.077,0.003,0.721,73.62
R. Bertrand,rb,36,0.861,0.667,0.444,0.389,0.528,0.410,0.444,0.389,0.528,0.000,0.111,0.389,0.417,0.389,0.028,0.044,0.695,65.89
M. Gabbiadini,st,28,0.107,0.478,0.036,0.381,0.107,0.391,0.143,0.375,0.750,0.143,0.000,0.143,0.357,0.750,0.000,0.000,0.241,63.48
L. Fer,lcm,20,0.650,0.636,0.150,0.391,0.950,0.410,1.050,0.415,0.600,0.050,0.050,0.100,0.850,0.450,0.050,0.003,0.597,66.80
Ł. Fabiański,gk,43,0.023,0.381,7.326,0.636,0.000,0.400,0.140,0.346,0.000,0.000,0.000,0.000,0.302,0.000,0.000,0.000,0.570,61.47
J. Ayew,rw,36,1.361,0.754,0.139,0.360,0.444,0.333,0.500,0.263,1.611,0.167,0.028,0.111,1.028,1.083,0.028,0.005,0.642,65.75
F. Forster,gk,20,0.000,0.400,6.600,0.539,0.000,0.400,0.050,0.381,0.000,0.000,0.000,0.000,0.150,0.000,0.000,0.000,0.536,62.22
N. Redmond,ram,31,0.935,0.653,0.258,0.357,1.613,0.329,0.968,0.280,1.419,0.032,0.065,0.355,1.581,0.935,0.032,0.006,0.433,67.38
M. Yoshida,cb,28,0.036,0.429,1.250,0.382,0.143,0.458,0.321,0.414,0.607,0.071,0.000,0.071,0.464,0.607,0.000,0.071,0.607,63.20
T. Abraham,lw,31,0.290,0.586,0.032,0.381,0.355,0.452,0.290,0.414,1.258,0.161,0.032,0.097,0.677,1.065,0.065,0.002,0.518,67.14
C. Austin,rw,24,0.083,0.455,0.000,0.400,0.250,0.346,0.125,0.348,1.875,0.250,0.000,0.042,0.625,1.542,0.000,0.000,0.263,64.75
S. Boufal,ram,26,1.231,0.731,0.269,0.444,1.077,0.375,0.731,0.308,1.038,0.077,0.077,0.269,1.269,0.577,0.038,0.002,0.414,67.28
K. Bartley,lb,5,0.000,0.400,0.000,0.400,0.000,0.400,0.000,0.400,0.400,0.000,0.000,0.200,0.600,0.400,0.000,0.135,0.092,63.08
S. McQueen,rcm,7,0.286,0.455,0.429,0.391,0.143,0.429,0.143,0.429,0.143,0.000,0.000,0.000,0.286,0.143,0.000,0.000,0.293,63.79
O. McBurnie,lw,11,0.091,0.429,0.000,0.400,0.091,0.381,0.091,0.381,0.273,0.000,0.091,0.000,0.091,0.091,0.000,0.000,0.076,62.98
N. Chalobah,rcm,6,0.333,0.409,0.000,0.400,1.833,0.355,1.500,0.310,2.000,0.000,0.000,0.000,2.167,1.500,0.500,0.000,0.312,67.44
J. Holebas,rb,28,0.821,0.651,1.286,0.500,0.571,0.444,0.250,0.333,0.536,0.000,0.143,0.429,0.464,0.321,0.000,0.020,0.705,66.36
D. Lovren,cb,36,0.056,0.455,1.278,0.485,0.194,0.407,0.500,0.368,0.444,0.056,0.028,0.139,0.250,0.333,0.000,0.048,0.429,62.67
S. Okaka,st,15,0.067,0.429,0.000,0.400,0.400,0.423,0.333,0.400,0.467,0.067,0.067,0.067,0.333,0.533,0.000,0.000,0.273,64.40
D. Janmaat,lb,23,0.522,0.562,1.000,0.349,0.435,0.500,0.609,0.412,1.000,0.130,0.000,0.261,0.217,0.565,0.000,0.040,0.583,66.21
S. Mané,rw,32,1.094,0.764,0.031,0.429,2.094,0.460,1.406,0.369,2.156,0.344,0.125,0.375,1.719,1.875,0.188,0.001,0.654,76.82
