Player,PrimaryPosition,Games,acceleration_pg,acceleration_acc,launch_pg,launch_acc,smartpass_pg,smartpass_acc,throughball_pg,throughball_acc,shots_pg,goals_pg,assists_pg,keypasses_pg,counterattacks_pg,opportunities_pg,feints_pg,anticipated_rate,consistency,Rating
K. Mitroglou,st,18,0.000,0.400,0.000,0.400,0.111,0.455,0.056,0.429,2.167,0.500,0.000,0.111,0.944,1.944,0.000,0.000,0.333,68.18
S. Ciss,rb,3,0.333,0.429,0.000,0.400,0.000,0.400,0.333,0.381,0.333,0.000,0.000,0.333,0.667,0.333,0.000,0.000,0.615,64.54
M. Abeid,cdm,19,0.632,0.625,0.368,0.333,0.421,0.357,0.368,0.370,0.947,0.000,0.053,0.000,0.474,0.526,0.053,0.028,0.373,63.77
A. Raggi,cb,20,0.200,0.458,0.900,0.342,0.200,0.375,0.350,0.296,0.250,0.050,0.000,0.000,0.250,0.250,0.050,0.070,0.442,61.04
A. Lusamba,lcm,4,0.250,0.429,0.000,0.400,1.000,0.417,1.000,0.417,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.170,64.61
D. Foulquier,lb,16,1.062,0.649,0.688,0.419,0.562,0.345,0.125,0.364,0.125,0.000,0.125,0.125,1.188,0.000,0.000,0.018,0.660,64.32
H. Mendyl,rb,12,1.083,0.606,0.750,0.517,0.083,0.381,0.000,0.400,0.250,0.000,0.000,0.167,0.667,0.250,0.000,0.031,0.549,63.60
Y. Armougom,rb,4,0.500,0.455,0.250,0.381,0.250,0.381,0.250,0.381,0.000,0.000,0.000,0.250,0.500,0.000,0.250,0.000,0.000,64.63
B. Kamara,cb,6,0.000,0.400,0.500,0.391,0.167,0.429,0.167,0.429,0.333,0.000,0.167,0.000,1.167,0.333,0.167,0.041,0.594,65.15
Brandon,rw,11,0.455,0.480,0.000,0.400,0.455,0.440,0.182,0.409,0.455,0.091,0.000,0.182,0.545,0.455,0.182,0.025,0.212,65.25
J. Gelin,lb,27,0.037,0.429,0.556,0.371,0.370,0.433,1.000,0.383,0.148,0.000,0.037,0.037,0.630,0.111,0.000,0.062,0.495,62.83
W. Benítez,gk,27,0.000,0.400,2.407,0.541,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.037,0.000,0.000,0.000,0.165,61.38
P. Burner,lb,13,1.846,0.705,0.308,0.417,0.462,0.462,0.538,0.444,0.154,0.000,0.000,0.077,0.000,0.077,0.000,0.016,0.403,65.14
C. M'Bengue,rb,7,0.000,0.400,1.000,0.481,0.286,0.409,1.000,0.407,0.143,0.000,0.000,0.143,0.000,0.143,0.000,0.059,0.246,63.69
J. Deminguet,ram,12,1.000,0.625,0.167,0.364,0.500,0.308,0.333,0.333,0.500,0.083,0.083,0.417,0.833,0.500,0.000,0.021,0.522,64.59
I. Diomandé,cdm,11,0.545,0.538,0.909,0.367,0.091,0.429,0.273,0.435,0.273,0.000,0.091,0.000,0.545,0.091,0.091,0.024,0.332,64.56
N. Basin,rb,5,0.200,0.429,1.600,0.393,0.600,0.435,0.600,0.391,0.400,0.200,0.000,0.200,0.600,0.000,0.000,0.035,0.273,64.86
B. Soumaré,cm,14,0.571,0.571,0.071,0.429,0.714,0.367,0.429,0.346,0.000,0.000,0.000,0.071,0.929,0.000,0.000,0.008,0.114,63.11
M. Poaty,rb,3,1.000,0.478,0.000,0.400,0.000,0.400,1.000,0.348,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.604,64.38
Q. Boisgard,cam,6,0.167,0.429,0.167,0.381,0.667,0.417,0.167,0.381,0.000,0.000,0.000,0.167,0.500,0.167,0.000,0.000,0.662,64.15
M. Gajić,lb,4,1.000,0.500,1.000,0.458,0.750,0.391,0.500,0.409,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.663,64.50
F. Pogba,rb,5,0.000,0.400,0.600,0.348,0.400,0.409,0.400,0.455,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.026,0.405,64.07
B. Ketkeophomphone,lw,13,0.615,0.571,0.000,0.400,0.769,0.367,0.231,0.391,0.538,0.000,0.000,0.154,0.769,0.538,0.000,0.014,0.304,64.04
N. Cozza,rb,9,0.778,0.556,0.222,0.409,0.667,0.385,0.556,0.320,0.667,0.111,0.111,0.000,0.444,0.333,0.000,0.041,0.449,64.61
A. Gouiri,lw,7,0.000,0.400,0.000,0.400,0.000,0.400,0.000,0.400,0.429,0.000,0.000,0.000,0.571,0.571,0.000,0.045,0.323,63.15
M. Zeffane,cb,15,0.400,0.538,0.600,0.448,0.000,0.400,0.267,0.333,0.933,0.000,0.067,0.067,0.800,0.600,0.000,0.013,0.474,63.83
Y. Gourcuff,cam,10,0.200,0.455,0.000,0.400,0.500,0.360,0.400,0.375,0.700,0.100,0.100,0.200,0.500,0.700,0.000,0.013,0.209,64.70
A. Soumaoro,cb,14,0.071,0.429,0.429,0.462,0.000,0.400,0.143,0.364,0.071,0.000,0.000,0.071,0.500,0.071,0.000,0.045,0.595,62.02
Vagner,cam,4,0.000,0.400,0.000,0.400,0.000,0.400,0.000,0.400,0.750,0.000,0.000,0.250,0.250,0.500,0.000,0.000,0.465,64.26
Z. Youssouf,lam,5,0.800,0.500,0.600,0.348,0.600,0.391,0.200,0.381,0.600,0.000,0.000,0.000,0.200,0.400,0.000,0.000,0.010,64.17
K. N'Doram,cdm,11,0.364,0.500,0.364,0.458,0.273,0.391,0.273,0.348,0.273,0.000,0.000,0.000,0.636,0.182,0.000,0.026,0.378,62.91
K. Trapp,gk,4,0.000,0.400,1.000,0.375,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,63.70
L. Puyo,cm,8,0.000,0.400,0.125,0.381,0.000,0.400,0.250,0.409,0.125,0.000,0.000,0.125,0.875,0.000,0.000,0.021,0.154,63.22
S. Ngom,lw,12,0.083,0.429,0.000,0.400,0.500,0.462,0.500,0.423,0.750,0.083,0.000,0.250,1.167,0.583,0.000,0.005,0.314,65.51
A. Oukidja,gk,17,0.000,0.400,5.529,0.588,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.118,0.000,0.000,0.000,0.523,62.52
J. Palmieri,rb,15,0.133,0.455,0.467,0.407,0.533,0.464,0.333,0.360,0.200,0.000,0.000,0.200,0.533,0.067,0.000,0.049,0.686,63.46
V. Selimovic,lb,13,0.077,0.429,0.923,0.375,0.154,0.409,0.000,0.400,0.154,0.000,0.000,0.000,0.538,0.000,0.000,0.076,0.612,61.96
M. Poundjé,rb,19,1.895,0.786,0.526,0.333,0.421,0.464,0.579,0.387,0.789,0.000,0.053,0.368,0.684,0.263,0.000,0.018,0.786,66.85
J. Moulin,gk,5,0.000,0.400,4.400,0.405,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.800,0.000,0.000,0.000,0.636,63.82
L. Bonnefoi,gk,4,0.000,0.400,4.000,0.528,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.151,63.88
G. Gope-Fenepej,st,3,0.333,0.429,0.000,0.400,1.333,0.333,1.333,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.178,64.39
V. Rüfli,rb,3,0.000,0.400,0.000,0.400,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.542,64.00
B. Samba,gk,4,0.000,0.400,4.750,0.385,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.280,63.87
G. Mandjeck,rcm,14,0.357,0.520,0.357,0.360,0.500,0.481,0.571,0.286,0.571,0.000,0.000,0.000,0.857,0.357,0.000,0.017,0.620,63.85
D. Miličević,ram,12,0.583,0.519,0.250,0.435,0.833,0.333,0.750,0.379,0.583,0.000,0.167,0.583,0.750,0.333,0.083,0.017,0.499,66.34
L. Butelle,gk,19,0.000,0.400,4.684,0.495,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.579,0.000,0.000,0.000,0.625,62.43
W. Cyprien,cdm,16,0.312,0.480,0.125,0.409,0.688,0.419,0.812,0.394,1.125,0.062,0.125,0.312,1.062,0.375,0.062,0.015,0.316,66.92
H. Bedimo,rb,3,0.000,0.400,0.000,0.400,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.083,63.92
R. Berič,lw,15,0.067,0.429,0.000,0.400,0.400,0.385,0.133,0.364,1.333,0.400,0.067,0.067,0.533,1.200,0.133,0.000,0.638,66.96
J. Koundé,lb,18,0.722,0.636,1.000,0.500,0.278,0.360,0.889,0.333,0.611,0.111,0.000,0.000,0.389,0.500,0.000,0.039,0.692,63.79
P. Baysse,cb,23,0.087,0.455,1.130,0.457,0.087,0.409,0.304,0.370,0.435,0.043,0.000,0.000,0.348,0.348,0.043,0.042,0.506,62.50
S. Mendoza,rw,13,1.000,0.636,0.385,0.400,0.769,0.300,0.538,0.333,1.846,0.154,0.000,0.308,1.846,1.000,0.000,0.016,0.704,66.02
P. Oniangué,lam,14,0.286,0.500,0.000,0.400,0.214,0.435,0.143,0.364,1.214,0.071,0.000,0.143,0.857,0.929,0.000,0.008,0.662,64.77
T. Stavitski,lam,9,1.222,0.613,0.000,0.400,0.333,0.391,0.222,0.409,0.000,0.000,0.000,0.222,0.444,0.000,0.000,0.000,0.519,64.22
Y. N'Gbakoto,st,16,0.000,0.400,0.125,0.364,0.375,0.308,0.312,0.320,0.688,0.125,0.000,0.062,0.188,0.500,0.000,0.016,0.303,62.11
T. Giresse,lam,3,0.000,0.400,0.000,0.400,0.333,0.381,0.000,0.400,0.000,0.000,0.000,0.000,1.000,0.333,0.000,0.000,0.667,64.25
Y. M'Vila,rcm,17,0.059,0.429,0.765,0.364,0.235,0.333,1.588,0.277,0.235,0.000,0.000,0.059,0.882,0.118,0.000,0.020,0.740,62.33
E. Massouema,cdm,6,0.000,0.400,0.000,0.400,0.167,0.429,0.167,0.429,0.167,0.000,0.000,0.167,1.000,0.167,0.000,0.029,0.280,63.95
F. Boulaya,ram,7,0.714,0.520,0.143,0.381,0.429,0.348,0.286,0.364,0.429,0.000,0.143,0.000,0.571,0.286,0.143,0.000,0.384,64.82
Pablo,cb,15,0.200,0.478,0.667,0.400,0.067,0.429,0.067,0.429,0.333,0.000,0.067,0.067,0.667,0.333,0.000,0.019,0.540,63.88
R. Coly,rb,7,1.714,0.625,0.000,0.400,0.286,0.409,0.429,0.348,0.286,0.000,0.000,0.143,0.143,0.143,0.000,0.040,0.845,64.15
P. Ntep,ram,18,0.500,0.586,0.111,0.364,1.222,0.333,0.667,0.281,0.611,0.056,0.056,0.111,1.111,0.333,0.000,0.010,0.524,64.28
E. Zelazny,gk,17,0.000,0.400,6.294,0.669,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.176,0.000,0.000,0.000,0.421,62.67
K. Dabila,cb,12,0.167,0.455,0.750,0.345,0.333,0.333,0.333,0.333,0.000,0.000,0.000,0.083,0.167,0.000,0.000,0.038,0.547,61.74
N. Subotić,cb,19,0.000,0.400,1.053,0.375,0.211,0.417,0.368,0.407,0.316,0.105,0.000,0.105,0.474,0.263,0.000,0.031,0.650,63.42
M. Debuchy,lb,15,0.467,0.556,0.400,0.423,0.467,0.370,0.467,0.333,1.133,0.267,0.000,0.533,0.400,0.733,0.000,0.027,0.672,65.74
L. Diarra,cm,10,0.400,0.500,0.000,0.400,0.100,0.381,0.500,0.360,0.000,0.000,0.000,0.100,0.300,0.000,0.000,0.006,0.459,63.03
S. Sy,gk,3,0.000,0.400,4.000,0.406,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.867,64.14
M. Braithwaite,st,18,0.333,0.500,0.056,0.429,0.444,0.429,0.167,0.391,1.444,0.222,0.111,0.167,1.333,1.333,0.111,0.013,0.523,68.00
J. Reine-Adelaide,lam,10,0.500,0.520,0.000,0.400,0.300,0.435,0.000,0.400,0.400,0.000,0.000,0.100,1.500,0.200,0.100,0.000,0.181,64.58
L. Mothiba,st,14,0.000,0.400,0.000,0.400,0.571,0.357,0.286,0.417,1.429,0.357,0.000,0.214,1.571,1.500,0.000,0.003,0.704,66.73
D. Contento,rb,3,0.333,0.429,0.667,0.409,0.000,0.400,0.333,0.381,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,64.86
P. Pellegri,st,9,0.222,0.455,0.000,0.400,0.000,0.400,0.000,0.400,0.778,0.222,0.000,0.111,0.889,0.444,0.000,0.009,0.131,64.35
J. Kayembe,lam,3,0.333,0.429,0.000,0.400,0.000,0.400,0.333,0.429,0.333,0.000,0.000,0.000,0.333,0.333,0.333,0.000,0.869,65.04
B. Mbeumo,rw,4,0.750,0.478,0.000,0.400,0.000,0.400,0.000,0.400,0.750,0.000,0.000,0.000,0.250,0.250,0.000,0.000,0.600,64.24
D. Lempereur,rb,3,0.000,0.400,0.000,0.400,0.000,0.400,0.333,0.381,0.333,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.134,64.08
M. Gorgelin,gk,4,0.000,0.400,2.250,0.345,0.000,0.400,0.000,0.400,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.664,63.83
T. Weah,st,3,0.333,0.429,0.000,0.400,0.000,0.400,0.000,0.400,0.667,0.000,0.000,0.333,1.333,0.667,0.000,0.000,0.324,64.66
A. N'Dour,rb,5,0.600,0.478,0.600,0.435,0.200,0.381,0.000,0.400,0.000,0.000,0.000,0.200,0.200,0.000,0.000,0.056,0.022,63.50
M. Le Bihan,rw,7,0.000,0.400,0.000,0.400,0.000,0.400,0.000,0.400,0.143,0.000,0.000,0.143,0.286,0.143,0.000,0.000,0.332,63.37
M. Sylla,st,5,0.600,0.478,0.000,0.400,0.400,0.409,0.200,0.429,2.000,0.400,0.000,0.400,0.600,1.800,0.000,0.000,0.636,66.61
J. Serrano,rb,4,0.750,0.478,1.250,0.360,0.250,0.429,0.000,0.400,0.250,0.000,0.000,0.250,0.250,0.000,0.000,0.019,0.443,64.34
A. Sahibeddine,rw,3,0.667,0.455,0.000,0.400,0.000,0.400,0.000,0.400,0.667,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.606,64.33
E. Loiodice,cm,4,0.000,0.400,0.000,0.400,0.750,0.391,0.500,0.364,0.000,0.000,0.000,0.250,0.250,0.000,0.000,0.000,0.197,64.21
Jordi Mboula,lw,3,0.667,0.455,0.667,0.455,0.000,0.400,0.000,0.400,0.333,0.333,0.000,0.000,0.667,0.333,0.000,0.071,0.304,64.55
A. Oyongo,rb,3,1.000,0.478,0.000,0.400,0.000,0.400,0.333,0.381,0.333,0.000,0.000,0.000,0.667,0.333,0.000,0.000,0.744,64.47
K. Volland,st,31,0.355,0.484,0.065,0.364,0.742,0.349,0.742,0.372,1.645,0.452,0.065,0.387,1.774,1.516,0.226,0.003,0.689,71.47
K. Bellarabi,lam,24,0.958,0.628,0.208,0.400,0.708,0.459,0.458,0.452,1.667,0.042,0.125,0.333,1.208,1.250,0.042,0.003,0.300,69.58
S. Bender,rb,29,0.138,0.500,0.759,0.476,0.276,0.393,0.310,0.345,0.448,0.069,0.000,0.000,0.621,0.414,0.000,0.047,0.567,62.19
B. Leno,gk,33,0.000,0.400,8.394,0.734,0.000,0.400,0.091,0.391,0.000,0.000,0.000,0.000,0.242,0.000,0.000,0.000,0.502,62.40
Wendell,rb,26,1.038,0.745,0.231,0.500,0.885,0.465,0.654,0.378,0.346,0.000,0.115,0.462,0.423,0.231,0.000,0.014,0.544,67.60
S. Rudy,cm,26,0.038,0.429,0.115,0.391,0.615,0.500,0.577,0.400,0.692,0.038,0.154,0.192,0.615,0.462,0.038,0.051,0.346,66.36
C. Tolisso,cam,31,0.387,0.625,0.032,0.429,0.774,0.386,1.000,0.431,1.387,0.194,0.097,0.258,1.032,0.968,0.000,0.027,0.342,68.53
C. Aránguiz,cm,27,0.296,0.536,0.556,0.343,0.963,0.391,1.185,0.327,0.926,0.037,0.074,0.111,1.037,0.630,0.000,0.007,0.703,65.92
A. Vidal,rcm,22,0.182,0.500,0.227,0.520,1.000,0.452,1.091,0.409,2.000,0.273,0.091,0.227,1.136,1.591,0.227,0.024,0.485,71.53
J. Tah,lb,28,0.286,0.571,0.429,0.438,0.179,0.400,0.250,0.296,0.214,0.000,0.036,0.143,0.357,0.143,0.036,0.032,0.664,62.15
L. Bailey,rw,30,1.667,0.771,0.133,0.417,0.867,0.435,0.567,0.459,2.133,0.300,0.233,0.800,2.233,1.700,0.067,0.006,0.624,76.22
N. Süle,cb,28,0.179,0.520,0.464,0.455,0.179,0.400,0.250,0.333,0.536,0.071,0.036,0.107,0.393,0.429,0.036,0.058,0.484,62.63
F. Ribéry,ram,20,1.650,0.717,0.000,0.400,1.250,0.422,0.700,0.441,1.000,0.250,0.000,0.600,1.450,0.700,0.150,0.003,0.512,70.76
D. Kohr,cm,28,0.429,0.562,0.321,0.414,0.679,0.538,0.393,0.419,1.357,0.036,0.036,0.179,1.321,0.893,0.071,0.008,0.345,68.41
S. Ulreich,gk,29,0.034,0.381,6.483,0.553,0.000,0.400,0.034,0.429,0.000,0.000,0.000,0.000,0.345,0.000,0.000,0.000,0.300,62.19
B. Henrichs,cb,23,0.609,0.618,0.478,0.484,0.522,0.531,0.304,0.444,0.826,0.000,0.043,0.174,0.478,0.304,0.000,0.053,0.395,66.04
J. Brandt,cam,37,0.892,0.755,0.108,0.333,1.378,0.423,0.838,0.412,1.243,0.243,0.135,0.432,1.541,1.000,0.108,0.008,0.544,72.70
K. Kampl,cam,26,1.000,0.739,0.154,0.333,1.346,0.400,0.962,0.356,1.038,0.038,0.077,0.731,1.615,0.846,0.000,0.016,0.617,69.14
A. Robben,lam,21,2.333,0.797,0.095,0.455,1.286,0.574,0.905,0.436,2.048,0.238,0.238,0.714,1.238,1.619,0.095,0.000,0.651,76.59
Rafinha,cb,27,0.963,0.717,0.556,0.371,0.444,0.469,0.481,0.394,0.259,0.037,0.111,0.407,0.259,0.148,0.037,0.029,0.442,66.58
M. Kruse,rw,29,1.069,0.745,0.138,0.375,1.621,0.403,1.138,0.377,1.793,0.207,0.207,0.621,2.414,1.448,0.172,0.000,0.658,75.13
M. Eggestein,lcm,33,0.606,0.675,0.485,0.472,0.606,0.375,0.242,0.393,1.242,0.061,0.030,0.121,1.091,0.879,0.030,0.008,0.732,66.18
R. Bauer,lb,16,0.250,0.500,0.438,0.407,0.000,0.400,0.125,0.364,0.125,0.000,0.000,0.000,0.625,0.000,0.000,0.038,0.272,61.74
F. Kainz,ram,29,1.448,0.774,0.207,0.346,1.207,0.436,1.034,0.300,1.000,0.103,0.069,0.586,1.759,0.931,0.069,0.005,0.419,70.02
N. Amiri,ram,28,0.857,0.682,0.107,0.478,1.036,0.388,1.250,0.309,1.607,0.071,0.107,0.321,1.071,0.964,0.143,0.007,0.572,69.48
S. Zuber,rcm,23,0.391,0.586,0.261,0.346,0.652,0.400,0.304,0.407,0.826,0.087,0.087,0.261,0.652,0.522,0.043,0.006,0.649,66.34
K. Vogt,cb,31,0.161,0.520,0.710,0.476,0.387,0.438,0.935,0.265,0.129,0.000,0.032,0.000,0.839,0.097,0.032,0.038,0.641,62.71
B. Hübner,rb,27,0.037,0.429,0.519,0.324,0.519,0.441,0.667,0.342,0.704,0.111,0.037,0.074,0.593,0.519,0.000,0.058,0.689,63.89
D. Geiger,cm,21,0.429,0.586,0.048,0.429,0.714,0.343,1.000,0.268,1.000,0.095,0.048,0.381,1.429,0.667,0.000,0.015,0.566,65.37
H. Nordtveit,cdm,15,0.067,0.429,0.333,0.400,0.133,0.409,0.667,0.400,0.333,0.000,0.000,0.000,0.267,0.333,0.000,0.008,0.358,63.12
J. Toljan,cb,18,1.500,0.660,0.556,0.333,0.278,0.360,0.333,0.346,0.444,0.056,0.111,0.222,0.611,0.333,0.056,0.012,0.532,65.11
K. Demirbay,cm,19,0.789,0.629,0.211,0.375,1.474,0.438,1.158,0.333,0.947,0.053,0.105,0.737,1.526,0.632,0.053,0.017,0.419,69.20
T. Delaney,rcm,36,0.333,0.625,0.639,0.372,0.556,0.400,0.500,0.421,1.250,0.083,0.083,0.278,0.944,0.972,0.000,0.021,0.763,67.26
L. Augustinsson,rb,34,0.676,0.698,0.765,0.413,0.324,0.516,0.235,0.357,0.647,0.059,0.000,0.471,0.794,0.529,0.000,0.025,0.647,66.37
M. Uth,lw,31,0.581,0.658,0.065,0.409,0.839,0.413,0.645,0.350,1.839,0.452,0.226,0.355,1.677,1.290,0.032,0.002,0.554,72.74
J. Pavlenka,gk,34,0.000,0.400,6.588,0.635,0.000,0.400,0.029,0.429,0.000,0.000,0.000,0.000,0.088,0.000,0.000,0.000,0.560,62.30
M. Veljkovic,cb,31,0.065,0.455,1.452,0.354,0.097,0.435,0.581,0.395,0.129,0.032,0.000,0.000,0.290,0.129,0.000,0.041,0.660,62.21
L. Sané,cb,11,0.273,0.478,0.727,0.393,0.091,0.429,0.000,0.400,0.273,0.091,0.000,0.000,0.182,0.273,0.000,0.043,0.430,63.17
F. Bartels,lam,14,0.714,0.567,0.000,0.400,1.500,0.439,0.714,0.400,1.571,0.143,0.214,0.643,2.357,1.000,0.286,0.007,0.567,71.97
O. Baumann,gk,34,0.000,0.400,8.471,0.545,0.000,0.400,0.059,0.364,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.641,61.88
P. Bargfrede,cdm,27,0.333,0.586,0.704,0.487,0.296,0.357,0.370,0.333,0.556,0.037,0.037,0.000,0.741,0.222,0.000,0.031,0.576,62.58
S. Gnabry,cam,22,1.136,0.711,0.045,0.381,1.227,0.340,1.182,0.326,2.091,0.455,0.227,0.318,1.864,1.727,0.045,0.005,0.636,72.64
E. Polanski,cm,9,0.111,0.429,0.111,0.429,0.333,0.348,0.333,0.348,0.444,0.000,0.111,0.000,0.222,0.222,0.000,0.023,0.193,63.26
J. Gondorf,cam,20,0.300,0.538,0.150,0.391,0.450,0.379,0.350,0.370,0.700,0.050,0.000,0.050,1.100,0.600,0.050,0.004,0.406,64.15
A. Jóhannsson,lw,12,0.083,0.429,0.000,0.400,0.083,0.429,0.167,0.409,0.667,0.083,0.000,0.167,0.167,0.667,0.083,0.010,0.000,64.26
A. Esswein,cam,16,0.500,0.571,0.000,0.400,0.438,0.407,0.188,0.391,0.562,0.125,0.062,0.125,0.750,0.375,0.000,0.006,0.074,64.84
Ailton,rb,5,0.000,0.400,0.000,0.400,0.000,0.400,0.200,0.381,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.024,0.167,63.45
M. Kamiński,rb,22,0.091,0.455,0.682,0.343,0.045,0.429,0.091,0.409,0.182,0.000,0.000,0.045,0.318,0.136,0.000,0.056,0.235,61.52
M. Leckie,lw,29,0.690,0.700,0.310,0.483,0.690,0.375,0.379,0.387,0.931,0.172,0.034,0.310,1.897,0.724,0.000,0.005,0.580,67.41
P. Skjelbred,cm,28,0.429,0.625,0.357,0.467,0.393,0.387,0.429,0.344,0.214,0.000,0.000,0.071,1.036,0.107,0.000,0.028,0.628,62.74
V. Ibišević,st,27,0.111,0.478,0.000,0.400,0.519,0.353,0.370,0.367,1.185,0.185,0.074,0.037,0.593,1.074,0.037,0.005,0.429,65.39
R. Zieler,gk,34,0.000,0.400,10.206,0.678,0.000,0.400,0.353,0.281,0.000,0.000,0.000,0.000,0.324,0.000,0.000,0.000,0.631,61.66
S. Kalou,rw,31,0.774,0.727,0.161,0.320,0.806,0.444,0.452,0.412,1.484,0.355,0.097,0.065,1.935,1.226,0.065,0.002,0.665,71.06
C. Gentner,cm,27,0.667,0.658,0.926,0.400,1.037,0.396,1.111,0.320,0.815,0.074,0.074,0.333,1.630,0.630,0.000,0.011,0.703,67.44
T. Asano,lw,15,0.467,0.556,0.067,0.429,0.533,0.500,0.267,0.458,1.200,0.067,0.000,0.267,1.267,1.200,0.000,0.000,0.392,67.15
M. Plattenhardt,rb,34,0.441,0.629,0.912,0.392,0.324,0.387,0.118,0.375,0.235,0.000,0.176,0.559,0.441,0.294,0.000,0.027,0.665,65.41
K. Rekik,cb,26,0.154,0.500,1.269,0.434,0.115,0.391,0.346,0.379,0.269,0.077,0.038,0.000,0.269,0.269,0.000,0.050,0.573,62.40
S. Langkamp,cb,20,0.000,0.400,0.950,0.436,0.050,0.381,0.150,0.435,0.300,0.000,0.000,0.050,0.350,0.200,0.000,0.034,0.381,62.00
M. Weiser,lam,24,0.708,0.649,0.417,0.400,1.042,0.422,0.708,0.297,0.625,0.042,0.083,0.875,1.125,0.417,0.000,0.017,0.702,67.59
B. Pavard,cb,40,0.150,0.538,1.375,0.413,0.425,0.405,0.700,0.312,0.350,0.050,0.000,0.125,0.575,0.200,0.025,0.066,0.685,62.28
J. Brekalo,cam,27,0.889,0.682,0.222,0.385,0.815,0.357,0.630,0.270,1.074,0.111,0.074,0.556,1.815,0.815,0.037,0.007,0.561,67.23
M. Zimmermann,lcm,3,0.000,0.400,0.667,0.364,0.000,0.400,0.000,0.400,0.333,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,64.02
C. Akolo,lw,22,0.500,0.581,0.045,0.381,1.136,0.333,0.955,0.268,1.273,0.227,0.000,0.364,1.318,1.045,0.091,0.004,0.452,66.92
S. Terodde,st,30,0.067,0.455,0.033,0.429,0.533,0.417,0.367,0.355,1.333,0.200,0.033,0.167,0.967,1.233,0.067,0.008,0.602,66.78
O. Mangala,lcm,20,0.000,0.400,0.250,0.360,0.300,0.385,0.400,0.321,0.550,0.000,0.000,0.050,0.450,0.250,0.000,0.019,0.060,61.63
R. Jarstein,gk,31,0.000,0.400,10.258,0.695,0.000,0.400,0.065,0.409,0.032,0.000,0.000,0.000,0.097,0.032,0.000,0.000,0.628,62.74
D. Aogo,rb,29,0.103,0.435,0.448,0.364,0.310,0.448,0.276,0.393,0.414,0.000,0.207,0.310,0.793,0.241,0.000,0.022,0.479,65.66
N. Stark,lb,26,0.308,0.571,1.423,0.474,0.115,0.391,0.538,0.294,0.385,0.038,0.038,0.038,0.423,0.385,0.000,0.031,0.641,62.55
H. Badstuber,cb,27,0.222,0.538,1.370,0.509,0.037,0.429,0.222,0.308,0.222,0.074,0.000,0.037,0.259,0.222,0.000,0.034,0.607,62.07
A. Donis,lw,18,1.500,0.723,0.111,0.364,0.389,0.407,0.333,0.385,1.833,0.111,0.111,0.167,2.389,1.444,0.000,0.003,0.367,68.30
G. Haraguchi,cam,10,0.300,0.478,0.000,0.400,0.500,0.400,0.300,0.348,0.300,0.100,0.100,0.000,0.400,0.300,0.000,0.000,0.171,64.25
J. Torunarigha,rb,12,0.167,0.455,1.167,0.382,0.000,0.400,0.500,0.308,0.167,0.083,0.000,0.000,0.000,0.167,0.000,0.098,0.245,61.53
J. Haberer,cam,33,0.273,0.586,0.273,0.379,0.697,0.372,0.485,0.361,1.212,0.061,0.091,0.303,1.364,0.758,0.121,0.010,0.757,67.36
C. Günter,rb,34,1.324,0.754,0.824,0.438,0.559,0.538,0.353,0.344,0.676,0.029,0.088,0.882,0.941,0.353,0.000,0.015,0.709,69.57
D. Abraham,cb,27,0.296,0.571,1.185,0.288,0.111,0.391,0.407,0.323,0.222,0.000,0.074,0.074,0.333,0.111,0.000,0.034,0.561,62.02
J. Schuster,cdm,18,0.056,0.429,0.833,0.486,0.167,0.435,0.389,0.407,0.278,0.000,0.000,0.611,0.222,0.278,0.000,0.039,0.558,64.12
A. Schwolow,gk,33,0.000,0.400,10.727,0.727,0.000,0.400,0.061,0.364,0.030,0.000,0.000,0.000,0.030,0.030,0.000,0.000,0.599,62.26
