Player,PrimaryPosition,Games,CrossAccuracy,CrossesPerGame,KeyPassesPerGame,Consistency,TurnoverRate,Rating
V. Chiricheș,lcb,10,0.460,3.000,0.000,0.257,0.540,62.948
A. Rami,lb,36,0.529,6.111,0.028,0.641,0.471,70.964
L. Cana,lcb,1,0.458,4.000,0.000,1.000,0.542,64.417
R. Rodríguez,rb,42,0.473,8.690,0.286,0.580,0.527,74.571
M. Mavraj,rcb,20,0.493,6.100,0.000,0.521,0.507,67.324
A. Agolli,rb,3,0.294,10.333,0.000,0.498,0.706,64.236
J. Djourou,rcb,5,0.417,3.200,0.000,0.198,0.583,63.286
F. Schär,lcb,32,0.441,6.812,0.062,0.351,0.559,69.738
E. Lenjani,rb,3,0.357,2.667,0.000,0.083,0.643,62.319
S. Lichtsteiner,lb,33,0.479,6.545,0.152,0.487,0.521,70.650
E. Hysaj,lb,38,0.377,4.921,0.158,0.225,0.623,66.772
S. Filip,rb,1,0.480,5.000,1.000,1.000,0.520,64.803
M. Lang,lb,3,0.433,3.333,0.000,0.516,0.567,62.925
A. Ajeti,lcb,20,0.554,4.050,0.000,0.334,0.446,65.724
A. Mățel,rb,1,0.409,2.000,0.000,1.000,0.591,64.183
J. Chester,lcb,5,0.487,3.800,0.000,0.546,0.513,64.100
J. Ďurica,rb,4,0.465,5.750,0.000,0.555,0.535,63.258
P. Pekarík,lb,21,0.500,6.000,0.190,0.531,0.500,68.105
N. Taylor,rb,6,0.516,7.000,0.500,0.734,0.484,66.410
C. Gunter,lb,6,0.437,8.500,0.000,0.716,0.563,65.977
D. Švento,rb,1,0.385,6.000,1.000,1.000,0.615,64.790
M. Škrtel,lb,4,0.500,4.000,0.000,0.677,0.500,62.914
G. Shchennikov,rb,2,0.455,6.500,0.000,0.906,0.545,64.279
S. Ignashevich,rcb,8,0.608,9.625,0.000,0.749,0.392,68.154
R. Neustädter,lcb,2,0.391,1.500,0.000,0.000,0.609,62.972
V. Berezutski,lcb,3,0.562,9.333,0.000,0.671,0.438,64.872
I. Smolnikov,lb,4,0.326,5.750,0.500,0.000,0.674,62.852
T. Hubočan,rb,3,0.333,2.333,0.000,0.000,0.667,62.124
N. Gyömbér,rb,2,0.409,1.000,0.000,0.000,0.591,62.922
D. Kombarov,rb,1,0.286,8.000,0.000,1.000,0.714,64.592
A. Berezutski,lcb,1,0.429,1.000,0.000,1.000,0.571,64.114
C. Baird,rcb,1,0.381,1.000,0.000,1.000,0.619,64.062
Ł. Piszczek,lb,30,0.376,6.067,0.233,0.412,0.624,68.604
A. Jędrzejczyk,rb,6,0.380,5.000,0.500,0.467,0.620,64.584
K. Glik,lb,43,0.509,8.163,0.000,0.679,0.491,73.673
C. McLaughlin,lb,1,0.462,6.000,0.000,1.000,0.538,64.602
J. Boateng,lb,27,0.539,13.889,0.296,0.740,0.461,79.497
Y. Rakitskiy,rb,2,0.435,21.000,0.000,0.993,0.565,66.773
A. Fedetskiy,lb,3,0.431,10.333,0.333,0.888,0.569,65.085
V. Shevchuk,rb,2,0.324,8.500,0.500,0.000,0.676,64.301
B. Höwedes,lb,7,0.404,5.286,0.143,0.685,0.596,64.581
J. Hector,rb,28,0.381,5.571,0.214,0.266,0.619,67.258
E. Khacheridi,lb,3,0.483,3.000,0.000,0.654,0.517,63.057
A. Hughes,lb,3,0.429,5.000,0.000,0.771,0.571,63.450
M. Hummels,rb,31,0.531,7.129,0.032,0.591,0.469,71.740
M. Pazdan,rb,6,0.375,4.667,0.000,0.373,0.625,63.672
