Player,PrimaryPosition,Games,CrossAccuracy,CrossesPerGame,KeyPassesPerGame,Consistency,TurnoverRate,Rating
J. Andersen,lcb,6,0.550,6.667,0.000,0.661,0.450,65.721
C. Dell'Orco,rb,6,0.426,5.667,0.000,0.253,0.574,64.273
M. Bianchetti,lb,2,0.412,7.000,0.000,0.293,0.588,64.065
L. Tonelli,rcb,3,0.481,2.333,0.000,0.567,0.519,62.845
J. El Yamiq,lcb,4,0.381,5.500,0.000,0.200,0.619,62.635
J. Silva,rb,2,0.467,5.000,0.500,0.798,0.533,64.267
L. Sparandeo,rb,1,0.429,1.000,0.000,1.000,0.571,64.114
C. Keita,rb,1,0.455,2.000,0.000,1.000,0.545,64.232
E. Capradossi,lb,1,0.391,3.000,0.000,1.000,0.609,64.254
Christian Rutjens,lb,1,0.381,1.000,0.000,1.000,0.619,64.062
A. Rukavina,lcb,16,0.487,5.938,0.188,0.604,0.513,66.921
Jaume Costa,rb,29,0.441,7.759,0.310,0.510,0.559,71.620
Toño,rb,12,0.417,9.917,0.250,0.630,0.583,68.554
Iván López,lb,3,0.477,8.000,0.000,0.667,0.523,64.286
Álvaro González,lcb,33,0.574,7.576,0.030,0.665,0.426,73.212
Víctor Ruíz,rb,27,0.514,6.963,0.037,0.495,0.486,70.231
Chema,rb,23,0.401,5.304,0.043,0.422,0.599,66.003
Sergio Postigo,lcb,28,0.601,6.536,0.071,0.724,0.399,71.795
G. Cabral,lcb,23,0.560,4.957,0.000,0.518,0.440,67.642
Aritz Elustondo,lb,18,0.457,5.333,0.111,0.363,0.543,65.839
Fontàs,rb,12,0.505,6.917,0.000,0.458,0.495,66.388
Kévin Rodrigues,rb,20,0.323,5.650,0.250,0.238,0.677,65.138
Raúl Navas,rcb,20,0.595,8.250,0.100,0.741,0.405,71.227
Odriozola,lb,34,0.431,6.647,0.441,0.485,0.569,71.181
Hugo Mallo,lb,34,0.388,11.235,0.265,0.597,0.612,75.687
Jonny,rb,36,0.498,5.806,0.111,0.566,0.502,70.253
Juan Cala,rcb,20,0.532,9.250,0.000,0.610,0.468,70.926
Molinero,lcb,8,0.469,5.500,0.000,0.613,0.531,64.860
De Marcos,lb,19,0.380,7.684,0.632,0.476,0.620,68.987
Unai Núñez,lb,33,0.495,6.121,0.000,0.471,0.505,69.810
Balenziaga,rb,18,0.418,7.000,0.222,0.425,0.582,67.329
Djené,lb,36,0.485,5.972,0.056,0.454,0.515,69.794
D. Suárez,lb,33,0.478,9.152,0.121,0.619,0.522,73.927
Lekue,lb,28,0.381,6.214,0.286,0.321,0.619,68.340
Muniesa,rb,13,0.546,7.615,0.000,0.581,0.454,67.661
Pedro Alcalá,lb,8,0.447,9.250,0.125,0.627,0.553,66.971
Pablo Maffeo,lb,32,0.443,7.000,0.250,0.507,0.557,70.999
Aday,rb,30,0.376,6.967,0.300,0.331,0.624,69.663
J. Giménez,lb,23,0.537,6.087,0.000,0.450,0.463,68.381
Bernardo Espinosa,lcb,34,0.611,6.588,0.029,0.508,0.389,72.267
L. Hernández,rb,32,0.375,4.375,0.000,0.246,0.625,65.496
S. Savić,lb,25,0.540,6.680,0.000,0.444,0.460,69.510
Carles Planas,rb,5,0.474,3.600,0.200,0.000,0.526,63.775
David López,lb,37,0.581,8.351,0.054,0.644,0.419,74.647
C. Lenglet,rb,33,0.527,6.697,0.030,0.601,0.473,71.351
S. Corchia,lb,12,0.421,4.667,0.250,0.400,0.579,64.520
Naldo,rcb,11,0.484,4.000,0.000,0.672,0.516,64.358
Aarón,rb,32,0.393,7.250,0.375,0.394,0.607,70.768
S. Kjær,lcb,22,0.533,5.909,0.000,0.614,0.467,68.244
Javi López,lb,14,0.317,6.000,0.143,0.140,0.683,64.145
José Ángel,rb,30,0.405,16.133,0.200,0.617,0.595,80.818
R. Rosales,lb,35,0.488,9.743,0.514,0.582,0.512,76.310
Luis Hernández,lb,36,0.634,7.417,0.056,0.609,0.366,74.118
Ramis,lcb,16,0.581,6.500,0.000,0.616,0.419,67.890
Ander Capa,lb,30,0.393,8.400,0.167,0.384,0.607,71.207
Diego González,rb,18,0.475,4.500,0.000,0.223,0.525,64.735
Juankar,rb,10,0.448,6.700,0.200,0.526,0.552,65.921
Paulo Oliveira,lb,26,0.495,6.538,0.038,0.532,0.505,69.342
Sergi Roberto,lb,27,0.414,3.556,0.185,0.252,0.586,65.151
A. Mandi,lb,31,0.643,3.871,0.000,0.682,0.357,69.626
J. Mascherano,lcb,10,0.611,9.300,0.200,0.667,0.389,68.979
Z. Feddal,rb,15,0.517,8.467,0.000,0.651,0.483,68.687
Barragán,lb,29,0.372,5.621,0.276,0.455,0.628,68.043
Nélson Semedo,lb,22,0.365,2.955,0.045,0.000,0.635,62.206
Marcelo,rb,31,0.409,12.839,0.871,0.525,0.591,79.394
Daniel Carvajal,lb,28,0.458,8.321,0.536,0.634,0.542,73.224
Juanfran,lb,35,0.375,9.343,0.429,0.470,0.625,73.606
Luisinho,rb,30,0.383,8.467,0.300,0.366,0.617,71.558
Sidnei,rb,20,0.431,4.800,0.050,0.440,0.569,65.373
José Gayá,rb,34,0.412,7.559,0.324,0.492,0.588,71.588
David Simón,lb,11,0.474,6.818,0.545,0.549,0.526,67.108
E. Garay,lb,24,0.506,5.583,0.083,0.529,0.494,68.136
Ximo Navarro,rcb,29,0.519,4.897,0.034,0.531,0.481,68.568
Nacho Vidal,lb,6,0.429,3.667,0.000,0.447,0.571,63.580
Rúben Vezo,lcb,18,0.434,5.667,0.056,0.338,0.566,65.701
Bigas,rb,11,0.584,5.182,0.000,0.560,0.416,65.813
Dani Castellano,rb,23,0.437,5.304,0.087,0.425,0.563,66.569
Míchel,lb,27,0.421,5.333,0.333,0.378,0.579,67.941
Alexis,lcb,25,0.512,4.200,0.000,0.411,0.488,66.467
Zaldúa,lb,30,0.437,7.033,0.367,0.478,0.563,71.146
Rodrigo Ely,rcb,31,0.505,6.000,0.032,0.520,0.495,69.909
Diego Rico,rb,26,0.395,9.154,0.462,0.562,0.605,72.298
M. Mantovani,rcb,12,0.554,3.000,0.000,0.494,0.446,64.065
Carlos Vigaray,lb,11,0.353,4.364,0.000,0.255,0.647,62.978
E. Muñoz,lcb,16,0.463,3.750,0.062,0.302,0.537,64.000
Héctor,rb,1,0.429,1.000,0.000,1.000,0.571,64.114
Rúben Semedo,lcb,2,0.407,3.500,0.000,0.000,0.593,63.351
Tito,lb,9,0.370,5.889,0.111,0.167,0.630,64.146
D. Godín,rb,33,0.579,5.515,0.030,0.490,0.421,70.434
Š. Vrsaljko,lb,27,0.361,8.481,0.296,0.487,0.639,70.716
Toni Lato,rb,12,0.457,5.083,0.083,0.401,0.543,64.768
Montoya,lb,25,0.374,6.160,0.200,0.344,0.626,67.275
J. Murillo,rcb,16,0.604,4.438,0.000,0.488,0.396,66.173
Nacho,lcb,24,0.475,3.292,0.083,0.237,0.525,64.763
Antunes,rb,32,0.369,11.406,0.281,0.439,0.631,75.064
Sergio Escudero,rb,26,0.388,6.269,0.115,0.456,0.612,67.764
G. Mercado,lb,28,0.367,4.929,0.107,0.204,0.633,65.872
F. Roncaglia,lcb,20,0.572,6.250,0.000,0.644,0.428,68.606
R. Durmisi,rb,24,0.343,6.458,0.208,0.342,0.657,67.009
Sergi Gómez,rcb,30,0.543,5.100,0.000,0.514,0.457,69.223
Bóveda,lb,14,0.400,5.357,0.143,0.418,0.600,64.854
Saborit,rb,19,0.373,4.316,0.105,0.303,0.627,64.012
Jordi Amat,rcb,23,0.593,4.043,0.000,0.478,0.407,67.038
Íñigo Martínez,rb,28,0.528,10.929,0.143,0.721,0.472,75.918
Filipe Luis,rb,20,0.439,6.750,0.100,0.629,0.561,67.815
Gabriel,lcb,29,0.566,4.000,0.000,0.512,0.434,68.045
Rober,rcb,23,0.577,3.652,0.000,0.506,0.423,66.501
T. Hernández,rb,11,0.348,4.455,0.091,0.024,0.652,62.871
Pedro López,lb,20,0.390,6.050,0.200,0.303,0.610,66.262
J. Mojica,rb,33,0.374,8.303,0.273,0.433,0.626,71.544
Daniel Carriço,lcb,5,0.562,5.600,0.000,0.697,0.438,65.241
Aythami Artiles,rcb,2,0.452,5.500,0.000,0.906,0.548,64.100
F. Ricca,rb,14,0.433,8.643,0.143,0.556,0.567,67.946
Miguel Cifuentes,lb,2,0.361,8.000,1.000,0.589,0.639,64.753
Mario Hermoso,rb,22,0.485,10.045,0.045,0.645,0.515,71.985
Marc Navarro,lb,18,0.336,6.333,0.222,0.094,0.664,65.248
L. Carole,rb,6,0.375,6.000,0.000,0.386,0.625,64.268
Juanpe,rcb,34,0.534,7.676,0.029,0.576,0.466,72.628
A. Arribas,lcb,3,0.375,6.667,0.000,0.477,0.625,63.558
Fernando Navarro,rb,14,0.381,4.571,0.071,0.000,0.619,63.239
Gálvez,lcb,22,0.567,8.227,0.000,0.620,0.433,70.966
D. Siovas,rb,24,0.442,4.917,0.000,0.350,0.558,66.014
Bustinza,lb,19,0.487,5.211,0.053,0.577,0.513,66.477
M. Dos Santos,lcb,12,0.559,6.083,0.000,0.543,0.441,66.379
Arbilla,rb,28,0.571,11.107,0.036,0.665,0.429,76.211
Diego Llorente,lcb,26,0.503,5.808,0.000,0.490,0.497,68.449
R. Varane,lb,34,0.632,4.206,0.029,0.598,0.368,69.940
N. Pareja,lb,4,0.519,8.500,0.000,0.457,0.481,64.270
David García,lb,10,0.443,6.800,0.000,0.505,0.557,65.539
Andoni Gorosabel,lb,1,0.375,4.000,0.000,1.000,0.625,64.327
De La Bella,rb,17,0.462,9.000,0.529,0.639,0.538,70.503
L. Digne,rb,10,0.413,4.300,0.100,0.286,0.587,63.637
David Juncà,rb,14,0.415,11.143,0.143,0.708,0.585,69.971
Mario,lb,31,0.433,7.097,0.290,0.468,0.567,70.959
Rubén Duarte,rb,24,0.384,7.958,0.167,0.626,0.616,69.532
G. Maripán,rcb,18,0.442,4.167,0.000,0.212,0.558,64.058
Raúl García,rb,16,0.438,9.312,0.562,0.742,0.562,70.455
Borja Herrera,rb,3,0.333,7.333,0.000,0.660,0.667,63.690
Ramalho,lb,26,0.552,5.577,0.038,0.694,0.448,69.391
Rafa Navarro,lb,2,0.440,2.500,0.000,0.293,0.560,63.347
A. Hakimi,lb,11,0.326,6.000,0.091,0.065,0.674,63.788
Sergio Sánchez,lb,2,0.360,2.500,0.000,0.000,0.640,63.080
Miguel Torres,rb,7,0.442,4.571,0.000,0.524,0.558,64.089
Luna,rb,23,0.436,8.000,0.261,0.469,0.564,69.924
Lombán,rcb,13,0.577,6.462,0.000,0.556,0.423,67.035
Albentosa,lcb,20,0.497,6.150,0.050,0.474,0.503,67.466
D. Bonera,lb,15,0.505,5.133,0.000,0.386,0.495,65.426
Adrián Diéguez,rb,5,0.581,4.600,0.000,0.620,0.419,64.889
Jesús Vallejo,lcb,7,0.453,4.714,0.000,0.519,0.547,64.218
Gerard Valentín,lb,1,0.370,7.000,0.000,1.000,0.630,64.593
S. Moore,lb,5,0.370,6.800,0.200,0.530,0.630,64.923
E. Cabaco,lcb,11,0.392,4.909,0.000,0.016,0.608,63.339
Martín,lb,21,0.390,6.619,0.190,0.470,0.610,67.303
Bruno,rcb,17,0.274,3.765,0.000,0.000,0.726,61.458
Adrián Marín,rb,3,0.423,2.000,0.000,0.083,0.577,62.350
Etxeita,lcb,5,0.521,5.600,0.000,0.379,0.479,64.810
Ó. Duarte,rcb,13,0.446,8.462,0.077,0.771,0.554,67.853
Miquel,rb,20,0.492,8.050,0.000,0.567,0.508,69.250
Laguardia,lb,17,0.592,9.647,0.000,0.731,0.408,71.203
Dídac Vilá,rb,11,0.367,6.364,0.364,0.175,0.633,65.065
One,rcb,1,0.435,3.000,0.000,1.000,0.565,64.301
Coke,lb,16,0.426,6.812,0.062,0.443,0.574,66.458
R. Mazáň,rb,2,0.500,4.000,0.000,0.000,0.500,63.629
Yeray,lb,8,0.462,7.250,0.000,0.613,0.538,65.763
Andoni López,rb,1,0.440,5.000,0.000,1.000,0.560,64.488
M. Layún,lb,20,0.425,6.650,0.350,0.414,0.575,67.865
M. Aguirregaray,rb,14,0.492,7.000,0.143,0.584,0.508,67.257
J. Firpo,rb,13,0.394,3.538,0.154,0.418,0.606,63.344
Y. Mina,lcb,7,0.477,3.429,0.000,0.249,0.523,63.462
Guilherme Arana,rb,2,0.286,4.000,0.000,0.000,0.714,63.185
Carlos Isaac,lb,1,0.333,7.000,0.000,1.000,0.667,64.553
Pau Torres,rb,1,0.444,7.000,0.000,1.000,0.556,64.674
A. Abeid,rb,1,0.400,5.000,1.000,1.000,0.600,64.716
Iván Rodríguez,lb,1,0.381,1.000,0.000,1.000,0.619,64.062
M. Olivera,rb,1,0.435,3.000,1.000,1.000,0.565,64.573
David Alba,rb,1,0.409,2.000,0.000,1.000,0.591,64.183
Alberto Redondo,lb,1,0.375,4.000,0.000,1.000,0.625,64.327
Miguel,rb,1,0.391,3.000,0.000,1.000,0.609,64.254
Víctor López,lb,1,0.370,7.000,0.000,1.000,0.630,64.593
Alberto López,rb,1,0.364,2.000,0.000,1.000,0.636,64.134
Mujaid Sadick,lb,2,0.364,1.000,0.000,0.000,0.636,62.828
Carlos Martínez,lb,1,0.429,1.000,0.000,1.000,0.571,64.114
Alex Robles,lb,1,0.440,5.000,0.000,1.000,0.560,64.488
I. Kutepov,lcb,5,0.455,9.200,0.000,0.755,0.545,66.161
Mário Fernandes,lb,5,0.451,6.200,0.200,0.555,0.549,65.081
Omar Hawsawi,rb,1,0.423,6.000,0.000,1.000,0.577,64.560
Yasir Al Shahrani,rb,3,0.432,8.000,0.667,0.779,0.568,64.702
Mohammed Al Burayk,lb,3,0.319,9.000,0.000,0.453,0.681,63.958
Osama Hawsawi,lb,3,0.407,2.333,0.000,0.083,0.593,62.386
Ali Gabr,lcb,3,0.556,5.333,0.000,0.518,0.444,63.784
Mohamed Abdel-Shafi,rb,3,0.577,10.667,0.000,0.821,0.423,65.320
G. Varela,lb,2,0.423,3.000,0.000,0.394,0.577,63.433
Ahmed Fathy,lb,3,0.422,8.333,0.667,0.605,0.578,64.670
Ali Al Bulayhi,rb,1,0.375,4.000,0.000,1.000,0.625,64.327
S. Coates,lb,1,0.462,6.000,0.000,1.000,0.538,64.602
F. Kudryashov,rb,3,0.367,3.333,0.000,0.083,0.633,62.512
Motaz Hawsawi,rb,1,0.409,2.000,0.000,1.000,0.591,64.183
E. Hajsafi,rb,3,0.371,5.000,0.000,0.247,0.629,63.020
R. Rezaeian,lb,3,0.449,9.667,0.000,0.515,0.551,64.540
M. Pouraliganji,lcb,3,0.469,4.000,0.000,0.000,0.531,62.940
R. Cheshmi,rcb,1,0.478,3.000,0.000,1.000,0.522,64.349
M. da Costa,rcb,2,0.447,9.000,0.000,0.330,0.553,64.497
M. Hosseini,rcb,2,0.545,6.500,0.000,0.954,0.455,64.484
M. Mohammadi,rb,1,0.364,2.000,0.000,1.000,0.636,64.134
T. Sainsbury,lb,3,0.500,6.667,0.000,0.709,0.500,64.044
J. Risdon,lb,3,0.317,14.333,0.000,0.756,0.683,65.424
A. Behich,rb,3,0.319,9.000,0.000,0.034,0.681,63.750
M. Trauco,rb,3,0.435,8.667,0.000,0.752,0.565,64.367
H. Dalsgaard,lb,4,0.465,5.750,0.250,0.363,0.535,63.375
A. Rodríguez,rcb,2,0.458,2.000,0.000,0.000,0.542,63.197
C. Ramos,lb,3,0.457,5.000,0.000,0.430,0.543,63.366
L. Advíncula,lb,3,0.471,4.667,0.000,0.729,0.529,63.471
A. Santamaría,rb,2,0.455,1.000,0.000,1.000,0.545,63.362
H. Magnússon,rb,3,0.312,9.333,0.000,0.583,0.688,64.085
N. Tagliafico,rb,4,0.342,4.500,0.000,0.000,0.658,62.044
W. Troost-Ekong,lcb,3,0.556,8.333,0.000,0.752,0.444,64.644
B. Idowu,rb,3,0.457,5.000,0.333,0.630,0.543,63.713
A. Shehu,lb,1,0.417,4.000,0.000,1.000,0.583,64.372
K. Omeruo,rb,2,0.394,6.500,0.000,0.871,0.606,64.141
T. Ebuehi,rb,1,0.381,1.000,0.000,1.000,0.619,64.062
D. Ćaleta-Car,rb,1,0.440,5.000,0.000,1.000,0.560,64.488
J. Pivarić,rb,4,0.375,7.000,0.250,0.173,0.625,63.308
B. Ivanović,lb,2,0.447,9.000,1.500,0.690,0.553,65.398
C. Gamboa,lb,3,0.528,5.333,0.000,0.698,0.472,63.791
J. Acosta,lcb,3,0.500,3.333,0.000,0.500,0.500,63.115
D. Tošić,rb,2,0.568,8.500,0.000,0.904,0.432,64.858
F. Calvo,rb,1,0.375,4.000,0.000,1.000,0.625,64.327
Fágner,lb,4,0.395,4.500,0.500,0.320,0.605,62.922
B. Oviedo,rb,2,0.452,5.500,0.500,0.926,0.548,64.366
K. Waston,rb,1,0.429,1.000,0.000,1.000,0.571,64.114
H. Ayala,lcb,2,0.531,6.000,0.000,1.000,0.469,64.384
Young-Gwon Kim,rb,3,0.486,5.667,0.000,0.641,0.514,63.723
Joo-Ho Park,rb,1,0.391,3.000,0.000,1.000,0.609,64.254
Yong Lee,lb,3,0.375,9.333,0.000,0.384,0.625,64.172
Hyun-Soo Jang,lcb,3,0.486,5.667,0.000,0.083,0.514,63.447
P. Jansson,lcb,1,0.458,4.000,0.000,1.000,0.542,64.417
E. Álvarez,lb,2,0.462,3.000,0.000,0.529,0.538,63.559
R. Márquez,lcb,1,0.458,4.000,0.000,1.000,0.542,64.417
Chul Hong,rb,2,0.323,5.500,0.500,0.000,0.677,63.779
Young-Sun Yun,lcb,1,0.381,1.000,0.000,1.000,0.619,64.062
F. Escobar,rcb,3,0.471,4.667,0.000,0.827,0.529,63.520
E. Davis,rb,2,0.400,10.000,0.500,0.859,0.600,65.013
M. Murillo,lb,2,0.346,3.000,0.000,0.000,0.654,63.137
R. Torres,lcb,3,0.545,4.333,0.000,0.889,0.455,63.691
D. Boyata,rcb,3,0.417,1.333,0.000,0.000,0.583,62.124
S. Ben Youssef,lcb,2,0.308,3.000,0.000,0.000,0.692,63.058
D. Bronn,lb,1,0.464,8.000,0.000,1.000,0.536,64.786
A. Maâloul,rb,2,0.424,6.500,0.500,0.717,0.576,64.410
Y. Meriah,rb,2,0.405,8.500,0.000,0.614,0.595,64.422
H. Nagguez,lb,2,0.375,6.000,0.000,0.000,0.625,63.715
F. Baloy,rcb,1,0.429,1.000,0.000,1.000,0.571,64.114
R. Bedoui,lb,1,0.440,5.000,0.000,1.000,0.560,64.488
A. Machado,lb,1,0.409,2.000,0.000,1.000,0.591,64.183
L. Ovalle,rb,1,0.375,4.000,0.000,1.000,0.625,64.327
H. Cummings,lcb,1,0.364,2.000,0.000,1.000,0.636,64.134
M. Wagué,lb,3,0.523,8.000,0.667,0.089,0.477,64.630
M. Rybus,rb,2,0.370,3.500,0.500,0.000,0.630,63.533
S. Arias,lb,4,0.450,5.000,0.000,0.229,0.550,62.758
O. Murillo,rb,1,0.462,6.000,0.000,1.000,0.538,64.602
G. Shōji,rb,3,0.472,5.333,0.000,0.622,0.528,63.588
T. Makino,rb,1,0.409,2.000,0.000,1.000,0.591,64.183
L. Gassama,lb,1,0.455,2.000,0.000,1.000,0.545,64.232
Ricardo Pereira,lb,1,0.333,10.000,0.000,1.000,0.667,64.824
V. Granat,rcb,1,0.375,4.000,0.000,1.000,0.625,64.327
J. Knudsen,rb,1,0.367,10.000,0.000,1.000,0.633,64.860
P. Čech,gk,37,0.605,6.784,0.000,0.615,0.395,68.954
K. Schmeichel,gk,37,0.660,11.784,0.000,0.688,0.340,74.973
M. Ryan,gk,41,0.710,10.512,0.000,0.755,0.290,74.742
Ederson,gk,32,0.582,3.562,0.000,0.517,0.418,65.116
T. Heaton,gk,4,0.562,7.000,0.000,0.827,0.438,63.653
T. Courtois,gk,46,0.605,6.935,0.000,0.649,0.395,69.483
W. Hennessey,gk,32,0.642,9.406,0.031,0.695,0.358,72.006
J. Lössl,gk,38,0.661,12.684,0.026,0.760,0.339,76.257
J. Butland,gk,35,0.647,13.429,0.000,0.730,0.353,76.373
J. Pickford,gk,45,0.618,12.311,0.000,0.628,0.382,75.533
David de Gea,gk,43,0.596,7.488,0.000,0.631,0.404,69.847
J. Hart,gk,23,0.633,10.609,0.000,0.788,0.367,71.105
R. Elliot,gk,16,0.645,11.062,0.000,0.748,0.355,69.613
H. Lloris,gk,48,0.682,6.271,0.021,0.721,0.318,70.073
Ł. Fabiański,gk,43,0.642,9.465,0.000,0.704,0.358,72.752
F. Forster,gk,20,0.536,8.050,0.000,0.746,0.464,67.271
Gomes,gk,24,0.680,8.292,0.000,0.719,0.320,69.731
S. Mignolet,gk,19,0.582,7.263,0.000,0.550,0.418,66.598
B. Foster,gk,37,0.663,11.081,0.000,0.761,0.337,74.429
A. Begović,gk,37,0.620,6.784,0.000,0.607,0.380,69.120
A. McCarthy,gk,18,0.652,7.500,0.000,0.722,0.348,67.497
L. Karius,gk,19,0.667,7.789,0.000,0.766,0.333,68.132
N. Pope,gk,35,0.675,13.857,0.029,0.767,0.325,77.316
C. Bravo,gk,2,0.435,1.500,0.000,0.529,0.565,63.158
J. Speroni,gk,11,0.592,10.000,0.000,0.704,0.408,67.203
G. Myhill,gk,1,0.519,7.000,0.000,1.000,0.481,64.601
O. Karnezis,gk,15,0.680,10.133,0.000,0.767,0.320,69.016
P. Gazzaniga,gk,1,0.400,5.000,0.000,1.000,0.600,64.341
L. Grant,gk,3,0.565,8.667,0.000,0.714,0.435,64.253
K. Darlow,gk,10,0.659,10.600,0.000,0.833,0.341,67.862
Adrián,gk,19,0.630,11.053,0.000,0.810,0.370,70.401
W. Caballero,gk,5,0.533,8.000,0.000,0.689,0.467,65.047
M. Vorm,gk,1,0.435,3.000,0.000,1.000,0.565,64.221
D. Ospina,gk,8,0.586,6.250,0.000,0.612,0.414,64.714
M. Dúbravka,gk,12,0.654,7.250,0.000,0.722,0.346,66.247
E. Jakupovic,gk,2,0.526,9.000,0.000,0.686,0.474,64.452
B. Hamer,gk,4,0.533,6.250,0.000,0.210,0.467,63.032
S. Romero,gk,1,0.400,5.000,0.000,1.000,0.600,64.341
C. Tătărușanu,gk,40,0.628,6.425,0.000,0.631,0.372,69.006
Y. Sommer,gk,38,0.655,9.632,0.000,0.778,0.345,72.942
E. Berisha,gk,34,0.627,5.647,0.000,0.652,0.373,68.033
M. Kozáčik,gk,4,0.565,10.500,0.000,0.745,0.435,64.548
D. Ward,gk,1,0.516,11.000,0.000,1.000,0.484,64.903
I. Akinfeev,gk,8,0.573,9.500,0.000,0.600,0.427,66.116
M. McGovern,gk,4,0.647,7.750,0.000,0.895,0.353,64.159
W. Szczęsny,gk,18,0.654,6.278,0.000,0.766,0.346,66.662
A. Pyatov,gk,3,0.562,9.333,0.000,0.865,0.438,64.448
M. Neuer,gk,12,0.549,5.167,0.000,0.441,0.451,63.904
D. Subašić,gk,44,0.615,6.932,0.000,0.604,0.385,69.460
V. Babacan,gk,3,0.591,8.000,0.000,0.718,0.409,64.180
D. Randolph,gk,4,0.642,11.750,0.000,0.777,0.358,65.144
A. Isaksson,gk,3,0.549,10.333,0.000,0.694,0.451,64.551
G. Buffon,gk,23,0.558,5.130,0.000,0.522,0.442,65.205
S. Sirigu,gk,38,0.643,8.842,0.000,0.615,0.357,71.622
R. Almer,gk,3,0.619,7.333,0.000,0.129,0.381,63.866
G. Király,gk,4,0.543,6.500,0.000,0.627,0.457,63.353
H. Halldórsson,gk,8,0.616,8.250,0.000,0.757,0.384,65.927
Rui Patrício,gk,11,0.674,6.545,0.000,0.819,0.326,65.930
B. Costil,gk,34,0.613,8.235,0.000,0.676,0.387,70.515
A. Letellier,gk,13,0.581,5.077,0.000,0.746,0.419,64.527
M. Maignan,gk,34,0.624,4.971,0.000,0.527,0.376,67.065
M. Dupé,gk,1,0.480,5.000,0.000,1.000,0.520,64.414
B. Kamara,gk,18,0.605,7.889,0.000,0.715,0.395,67.357
A. Lopes,gk,32,0.554,5.188,0.000,0.492,0.446,66.330
B. Reynet,gk,38,0.688,11.184,0.000,0.767,0.312,74.949
S. Mandanda,gk,32,0.651,7.344,0.000,0.750,0.349,70.104
K. Johnsson,gk,38,0.662,7.579,0.000,0.641,0.338,70.594
T. Didillon,gk,9,0.685,5.889,0.000,0.740,0.315,65.310
A. Lafont,gk,38,0.717,7.947,0.000,0.738,0.283,71.875
R. Vercoutre,gk,34,0.719,10.500,0.000,0.754,0.281,74.224
B. Lecomte,gk,38,0.630,7.500,0.000,0.667,0.370,70.153
R. Gurtner,gk,37,0.597,9.919,0.000,0.691,0.403,72.259
A. Aréola,gk,22,0.481,2.591,0.000,0.338,0.519,61.851
S. Ruffier,gk,33,0.678,9.000,0.000,0.735,0.322,72.106
M. Samassa,gk,21,0.609,6.238,0.000,0.610,0.391,66.477
A. Diallo,gk,3,0.459,5.667,0.000,0.667,0.541,63.344
Y. Cardinale,gk,7,0.532,3.857,0.000,0.680,0.468,63.469
H. Koffi,gk,4,0.426,8.500,0.000,0.454,0.574,63.418
E. Kawashima,gk,33,0.715,7.697,0.000,0.727,0.285,71.239
R. M'Bolhi,gk,1,0.393,8.000,0.000,1.000,0.607,64.563
T. Koubek,gk,34,0.586,7.441,0.000,0.572,0.414,69.179
Y. Pelé,gk,10,0.625,4.400,0.000,0.562,0.375,64.056
D. Benaglio,gk,2,0.567,5.000,0.000,0.871,0.433,63.995
M. Michel,gk,7,0.683,6.143,0.000,0.746,0.317,65.219
W. Benítez,gk,23,0.565,3.826,0.000,0.522,0.435,64.162
K. Trapp,gk,4,0.423,1.500,0.000,0.143,0.577,61.380
A. Oukidja,gk,17,0.639,7.471,0.000,0.622,0.361,67.024
J. Prior,gk,2,0.500,6.000,0.000,0.764,0.500,63.993
J. Moulin,gk,5,0.460,6.000,0.000,0.831,0.540,64.218
L. Bonnefoi,gk,4,0.528,4.000,0.000,0.695,0.472,62.673
B. Samba,gk,4,0.440,7.500,0.000,0.935,0.560,63.453
L. Butelle,gk,19,0.538,5.789,0.000,0.613,0.462,65.141
J. Bouet,gk,1,0.407,7.000,0.000,1.000,0.593,64.500
Q. Beunardeau,gk,1,0.552,9.000,0.000,1.000,0.448,64.784
E. Zelazny,gk,17,0.711,9.000,0.000,0.825,0.289,69.074
S. Sy,gk,3,0.472,5.333,0.000,0.852,0.528,63.384
M. Gorgelin,gk,3,0.412,4.667,0.000,0.534,0.588,62.961
B. Leno,gk,33,0.753,11.061,0.000,0.790,0.247,75.161
S. Ulreich,gk,28,0.616,9.250,0.000,0.680,0.384,70.787
J. Pavlenka,gk,34,0.681,10.029,0.000,0.772,0.319,73.334
O. Baumann,gk,34,0.597,11.294,0.000,0.692,0.403,73.421
R. Zieler,gk,34,0.697,14.176,0.000,0.766,0.303,77.684
R. Jarstein,gk,31,0.732,14.774,0.000,0.794,0.268,78.288
L. Hradecky,gk,34,0.735,11.059,0.000,0.837,0.265,75.146
A. Schwolow,gk,33,0.736,13.303,0.000,0.850,0.264,77.309
T. Horn,gk,33,0.702,11.818,0.061,0.715,0.298,75.339
P. Gulácsi,gk,33,0.681,9.545,0.000,0.733,0.319,72.673
R. Fährmann,gk,34,0.677,7.706,0.000,0.713,0.323,70.829
M. Hitz,gk,31,0.701,9.806,0.000,0.776,0.299,73.060
C. Mathenia,gk,24,0.637,8.917,0.000,0.737,0.363,69.851
P. Tschauner,gk,31,0.751,10.613,0.000,0.816,0.249,74.505
R. Adler,gk,14,0.516,7.429,0.000,0.670,0.484,65.547
K. Casteels,gk,34,0.672,11.353,0.000,0.763,0.328,74.540
R. Bürki,gk,33,0.592,8.303,0.000,0.632,0.408,70.178
T. Sippel,gk,5,0.556,10.400,0.000,0.795,0.444,65.967
