Player,PrimaryPosition,Games,GroundDuelAcc,AerialDuelAcc,GroundDuelsPG,ClearancesPG,FoulsPG,Consistency,SlidingTacklesPG,SlidingTackleAcc,InterceptionsPG,AnticipationRatio,Rating
B. Leno,gk,33,0.389,0.679,0.09,0.545,0.030,0.000,0.00,0.400,1.30,0.400,65.803
Wendell,rb,26,0.479,0.532,5.69,1.538,1.192,0.395,0.77,0.457,5.00,0.500,79.061
S. Rudy,cm,26,0.520,0.581,5.12,0.077,0.846,0.405,0.62,0.613,2.62,0.541,78.796
C. Tolisso,cam,31,0.402,0.476,3.45,0.161,0.806,0.197,0.19,0.333,2.35,0.517,69.236
C. Aránguiz,cm,27,0.487,0.356,7.89,0.926,1.519,0.614,0.89,0.513,5.19,0.303,81.509
A. Vidal,rcm,22,0.497,0.593,7.45,0.455,2.045,0.542,1.64,0.451,4.82,0.556,83.393
J. Tah,lb,28,0.650,0.681,4.46,2.321,0.500,0.643,0.14,0.316,4.11,0.633,80.994
L. Bailey,rw,30,0.407,0.400,2.20,0.133,0.867,0.171,0.13,0.421,2.43,0.243,67.651
N. Süle,cb,28,0.643,0.680,5.46,1.143,0.536,0.650,0.29,0.478,3.32,0.658,82.504
F. Ribéry,ram,20,0.435,0.478,2.70,0.250,0.650,0.282,0.05,0.375,1.00,0.304,69.879
D. Kohr,cm,28,0.368,0.483,4.89,0.607,1.679,0.420,0.32,0.375,3.39,0.391,71.470
S. Ulreich,gk,29,0.421,0.593,0.14,0.345,0.034,0.000,0.03,0.438,1.21,0.400,66.789
B. Henrichs,cb,23,0.538,0.639,5.09,1.261,0.696,0.424,0.78,0.606,3.26,0.667,81.275
J. Brandt,cam,37,0.427,0.452,2.57,0.162,0.324,0.284,0.08,0.389,1.54,0.250,68.833
K. Kampl,cam,26,0.500,0.420,5.65,0.577,1.077,0.531,0.46,0.481,4.27,0.444,77.526
A. Robben,lam,21,0.510,0.500,1.62,0.095,0.381,0.277,0.19,0.421,1.14,0.300,71.367
Rafinha,cb,27,0.543,0.522,4.22,0.667,0.889,0.539,0.89,0.538,3.41,0.609,80.121
M. Kruse,rw,29,0.402,0.372,2.66,0.207,0.621,0.074,0.00,0.400,0.79,0.158,66.700
M. Eggestein,lcm,33,0.486,0.563,7.15,1.091,1.455,0.600,0.45,0.333,4.00,0.250,78.540
R. Bauer,lb,16,0.557,0.449,5.69,1.000,0.812,0.582,0.56,0.583,3.38,0.591,79.787
F. Kainz,ram,29,0.452,0.441,3.76,0.483,1.241,0.344,0.38,0.385,1.93,0.320,71.935
N. Amiri,ram,28,0.404,0.432,5.04,0.214,1.429,0.350,0.43,0.370,2.14,0.391,72.006
S. Zuber,rcm,23,0.511,0.372,5.13,1.087,0.522,0.502,0.30,0.318,4.09,0.364,75.971
K. Vogt,cb,31,0.513,0.586,5.55,2.774,0.839,0.530,0.19,0.429,6.00,0.588,79.755
B. Hübner,rb,27,0.548,0.683,8.78,2.333,1.778,0.629,1.33,0.510,6.22,0.712,88.669
D. Geiger,cm,21,0.409,0.375,8.48,0.190,2.571,0.458,0.76,0.323,3.14,0.462,75.802
H. Nordtveit,cdm,15,0.382,0.564,4.07,2.133,0.667,0.144,0.53,0.522,4.87,0.389,74.881
J. Toljan,cb,18,0.444,0.407,6.06,1.722,0.500,0.293,0.28,0.400,4.39,0.474,75.826
K. Demirbay,cm,19,0.424,0.548,7.89,0.684,1.526,0.545,0.16,0.333,3.42,0.414,75.655
T. Delaney,rcm,36,0.503,0.602,8.64,1.556,2.639,0.668,0.64,0.500,5.33,0.591,83.027
L. Augustinsson,rb,34,0.551,0.545,5.85,1.235,0.912,0.563,0.29,0.400,3.56,0.643,79.374
M. Uth,lw,31,0.428,0.387,4.19,0.419,1.677,0.408,0.26,0.304,1.74,0.175,69.878
J. Pavlenka,gk,34,0.400,0.700,0.00,0.324,0.029,1.000,0.03,0.438,1.91,0.400,70.946
M. Veljkovic,cb,31,0.565,0.616,6.94,2.387,0.677,0.609,0.23,0.364,4.45,0.735,82.224
L. Sané,cb,11,0.560,0.633,5.45,2.909,0.636,0.442,0.55,0.476,5.55,0.565,79.847
F. Bartels,lam,14,0.406,0.372,3.50,0.071,0.714,0.184,0.57,0.435,1.57,0.286,72.101
O. Baumann,gk,34,0.353,0.630,0.06,0.324,0.000,0.000,0.00,0.400,1.44,0.400,64.491
P. Bargfrede,cdm,27,0.502,0.561,6.89,1.037,1.593,0.527,0.41,0.423,5.44,0.594,78.976
S. Gnabry,cam,22,0.535,0.283,3.91,0.091,0.818,0.354,0.09,0.412,1.64,0.267,72.459
E. Polanski,cm,9,0.412,0.389,2.11,0.333,0.444,0.003,0.22,0.412,1.67,0.368,70.972
J. Gondorf,cam,20,0.359,0.471,3.85,0.450,1.050,0.101,0.45,0.250,1.80,0.241,69.331
A. Jóhannsson,lw,12,0.389,0.459,1.75,0.500,0.333,0.468,0.25,0.333,0.67,0.368,70.979
A. Esswein,cam,16,0.397,0.564,3.62,0.312,0.750,0.059,0.31,0.350,1.12,0.318,70.765
Ailton,rb,5,0.485,0.476,3.60,0.400,0.600,0.511,0.20,0.438,2.60,0.438,74.565
M. Kamiński,rb,22,0.644,0.556,4.05,1.682,0.318,0.510,0.23,0.500,3.59,0.615,80.085
M. Leckie,lw,29,0.420,0.597,5.48,0.862,1.724,0.486,0.62,0.364,3.31,0.270,75.222
P. Skjelbred,cm,28,0.480,0.520,7.36,0.607,1.500,0.589,1.43,0.455,3.79,0.581,83.286
V. Ibišević,st,27,0.403,0.460,1.93,0.667,1.593,0.277,0.30,0.348,1.30,0.267,67.879
R. Zieler,gk,34,0.474,0.636,0.12,0.265,0.088,0.333,0.03,0.375,1.85,0.400,68.783
S. Kalou,rw,31,0.414,0.422,2.71,0.484,0.677,0.171,0.10,0.444,2.39,0.219,68.857
C. Gentner,cm,27,0.434,0.490,8.74,1.407,1.963,0.636,1.44,0.481,5.48,0.429,84.233
T. Asano,lw,15,0.422,0.339,2.00,0.133,0.733,0.188,0.13,0.353,1.00,0.240,68.942
M. Plattenhardt,rb,34,0.540,0.652,6.15,1.588,1.000,0.587,0.21,0.455,3.56,0.594,80.188
K. Rekik,cb,26,0.580,0.620,4.46,2.846,1.000,0.528,0.85,0.486,4.92,0.676,82.964
S. Langkamp,cb,20,0.522,0.735,4.90,2.750,0.750,0.302,0.50,0.440,5.25,0.609,79.554
M. Weiser,lam,24,0.463,0.385,8.29,0.875,1.292,0.493,0.38,0.500,4.83,0.432,78.761
B. Pavard,cb,40,0.633,0.627,6.97,3.250,0.825,0.655,0.97,0.648,6.65,0.785,91.974
J. Brekalo,cam,27,0.479,0.302,3.78,0.074,0.741,0.310,0.04,0.438,1.07,0.310,70.779
M. Zimmermann,lcm,3,0.500,0.471,3.00,1.000,0.000,0.674,0.67,0.353,1.33,0.375,75.405
C. Akolo,lw,22,0.421,0.362,2.77,0.091,0.591,0.422,0.27,0.381,1.14,0.219,70.382
S. Terodde,st,30,0.447,0.453,2.63,0.267,1.567,0.286,0.67,0.429,0.97,0.176,71.129
O. Mangala,lcm,20,0.418,0.361,3.80,0.550,0.850,0.168,0.50,0.400,1.85,0.417,71.859
R. Jarstein,gk,31,0.353,0.655,0.06,0.194,0.097,0.000,0.06,0.471,1.32,0.400,65.483
D. Aogo,rb,29,0.420,0.553,4.00,1.000,1.069,0.066,0.55,0.355,3.24,0.500,72.448
N. Stark,lb,26,0.593,0.636,6.69,4.231,1.000,0.620,0.73,0.500,6.54,0.679,86.947
H. Badstuber,cb,27,0.584,0.687,4.96,2.593,0.852,0.640,1.07,0.545,5.63,0.643,85.901
A. Donis,lw,18,0.391,0.327,3.00,0.444,1.056,0.000,0.56,0.480,0.83,0.318,70.263
G. Haraguchi,cam,10,0.508,0.370,4.40,0.600,0.900,0.306,1.40,0.414,2.20,0.261,77.219
J. Torunarigha,rb,12,0.686,0.603,7.50,2.333,0.833,0.681,0.33,0.526,4.00,0.667,82.957
J. Haberer,cam,33,0.396,0.432,6.82,1.545,2.212,0.410,0.36,0.370,3.91,0.350,74.099
C. Günter,rb,34,0.539,0.391,6.32,1.588,0.676,0.552,0.35,0.407,3.71,0.452,79.579
D. Abraham,cb,27,0.571,0.691,5.41,2.704,0.444,0.491,0.26,0.545,6.22,0.606,82.492
J. Schuster,cdm,18,0.493,0.500,3.33,2.722,0.444,0.332,0.33,0.429,4.72,0.571,76.214
A. Schwolow,gk,33,0.375,0.654,0.03,0.242,0.000,1.000,0.03,0.438,1.45,0.400,70.103
P. Lienhart,lb,11,0.524,0.522,4.36,4.000,0.909,0.649,0.82,0.458,5.91,0.500,80.004
M. Kempf,rb,11,0.516,0.562,4.45,3.000,0.545,0.371,0.91,0.480,6.64,0.565,79.502
T. Chandler,cb,24,0.505,0.524,3.75,0.958,0.958,0.368,0.62,0.467,3.21,0.607,76.504
J. de Guzmán,cm,16,0.398,0.565,5.19,0.562,1.000,0.433,0.25,0.368,2.25,0.476,73.462
M. Frantz,cm,15,0.404,0.553,4.93,0.600,1.333,0.745,0.47,0.455,2.53,0.409,75.352
N. Höfler,cm,28,0.461,0.629,6.82,1.571,1.714,0.520,0.79,0.405,5.11,0.618,80.177
T. Kleindienst,st,22,0.449,0.557,3.77,0.727,1.500,0.402,0.55,0.481,1.82,0.242,74.014
D. Kamada,cam,3,0.409,0.348,2.33,0.000,0.333,0.000,0.00,0.400,0.67,0.444,72.837
M. Hasebe,cdm,28,0.520,0.400,5.57,1.464,0.893,0.582,0.21,0.381,5.82,0.560,77.678
F. Niederlechner,lw,10,0.333,0.383,3.30,0.100,1.700,0.053,0.60,0.429,1.10,0.300,70.497
J. Willems,rb,23,0.566,0.459,6.26,1.087,1.087,0.599,0.35,0.478,4.30,0.321,79.518
P. Stenzel,lb,25,0.485,0.578,7.24,1.440,1.000,0.571,0.16,0.474,4.20,0.560,79.099
M. Gaćinović,cam,29,0.526,0.444,5.52,0.483,0.862,0.488,0.41,0.444,2.83,0.433,77.352
S. Haller,st,31,0.475,0.522,2.77,0.645,1.742,0.314,0.42,0.536,1.35,0.131,72.115
L. Hradecky,gk,34,0.421,0.667,0.12,0.500,0.029,0.134,0.00,0.400,2.21,0.438,67.249
N. Petersen,st,32,0.467,0.416,2.88,0.906,0.625,0.303,0.25,0.478,2.59,0.312,72.316
K. Boateng,cam,31,0.364,0.530,4.84,1.161,2.290,0.226,0.32,0.320,3.52,0.280,69.774
M. Terrazzino,rw,24,0.438,0.478,4.04,0.417,0.542,0.271,0.58,0.345,1.83,0.368,73.307
D. da Costa,lb,17,0.608,0.540,6.47,1.118,0.647,0.540,0.18,0.500,4.24,0.556,80.101
B. Hrgota,rw,6,0.438,0.233,2.83,0.167,1.000,0.266,0.50,0.389,0.67,0.353,72.723
Raffael,st,27,0.545,0.359,4.00,0.037,0.593,0.543,0.52,0.448,1.26,0.229,75.935
C. Kramer,cm,27,0.500,0.507,8.19,0.926,1.630,0.607,0.96,0.488,4.19,0.514,82.768
M. Ginter,lb,34,0.576,0.643,4.56,2.382,0.235,0.513,0.38,0.500,4.82,0.583,82.049
J. Vestergaard,cb,32,0.552,0.684,5.19,3.125,0.812,0.641,0.47,0.467,5.91,0.667,83.251
D. Zakaria,cm,32,0.468,0.537,7.28,0.781,1.906,0.519,0.59,0.324,3.91,0.551,77.839
N. Elvedi,cb,33,0.502,0.650,6.06,2.242,0.606,0.608,0.76,0.575,5.15,0.515,84.105
I. Traoré,lam,7,0.440,0.375,1.43,0.000,0.143,0.000,0.14,0.438,0.57,0.353,71.335
K. Rausch,rb,12,0.553,0.545,5.83,1.667,0.917,0.662,0.17,0.412,4.83,0.450,78.029
L. Stindl,lw,31,0.469,0.468,5.77,0.742,2.032,0.507,0.52,0.355,3.35,0.312,75.193
M. Jojić,cam,25,0.368,0.475,4.84,0.400,1.040,0.481,0.56,0.448,2.56,0.417,73.705
L. Bittencourt,ram,22,0.421,0.378,6.55,0.364,1.636,0.525,1.00,0.459,1.95,0.267,77.131
J. Córdoba,st,18,0.558,0.418,2.06,0.278,1.556,0.494,0.22,0.474,0.89,0.226,72.636
O. Wendt,rb,28,0.485,0.552,6.61,1.714,1.143,0.540,0.32,0.333,4.21,0.565,78.180
T. Horn,gk,34,0.318,0.656,0.21,0.206,0.029,0.000,0.09,0.389,1.47,0.400,64.167
D. Heintz,rb,31,0.629,0.593,8.48,2.452,0.774,0.652,0.84,0.488,6.06,0.788,89.471
F. Sørensen,lb,28,0.591,0.633,7.75,3.321,1.393,0.660,0.64,0.394,5.32,0.782,85.930
M. Risse,lam,16,0.418,0.375,4.00,0.750,0.625,0.240,0.81,0.321,2.62,0.375,73.700
L. Klünter,lb,19,0.381,0.596,5.42,0.737,1.158,0.277,0.42,0.348,3.11,0.545,73.481
T. Hazard,rw,36,0.503,0.394,4.94,0.444,0.694,0.477,0.08,0.444,2.97,0.244,74.429
M. Lehmann,cdm,20,0.423,0.488,4.45,1.250,0.550,0.244,0.60,0.407,3.95,0.542,75.074
J. Horn,rb,11,0.446,0.472,4.55,1.182,0.455,0.319,0.18,0.471,4.27,0.400,74.649
S. Guirassy,rw,15,0.489,0.530,2.13,0.267,1.333,0.443,0.13,0.412,1.07,0.370,71.655
S. Zoller,rw,17,0.421,0.481,2.47,0.176,0.941,0.136,0.65,0.500,0.94,0.320,71.893
P. Herrmann,lam,23,0.405,0.406,4.39,0.261,0.913,0.366,0.78,0.576,1.91,0.458,75.069
R. Bobadilla,st,13,0.410,0.268,1.85,0.000,1.308,0.000,0.00,0.400,0.77,0.261,67.525
J. Hofmann,lam,23,0.437,0.314,3.13,0.609,0.348,0.247,0.13,0.500,2.00,0.333,71.223
F. Di Santo,st,30,0.407,0.521,3.10,0.533,1.900,0.199,0.43,0.393,1.33,0.258,69.331
Naldo,cb,34,0.536,0.778,4.44,2.941,0.971,0.574,0.38,0.393,6.91,0.767,81.348
W. Orban,cb,26,0.541,0.698,5.04,2.923,1.038,0.559,0.81,0.556,6.31,0.750,83.855
M. Nastasić,rb,24,0.578,0.612,6.88,2.500,1.500,0.718,0.33,0.522,4.71,0.743,83.006
Y. Poulsen,lw,33,0.405,0.574,3.52,0.212,1.273,0.161,0.15,0.450,1.79,0.149,69.142
T. Werner,st,35,0.441,0.431,2.49,0.171,0.743,0.224,0.09,0.333,1.49,0.149,67.731
N. Keïta,cam,27,0.455,0.375,6.04,0.296,1.963,0.481,0.19,0.450,3.52,0.459,73.754
M. Halstenberg,rb,15,0.483,0.670,4.93,1.333,0.667,0.565,0.13,0.412,4.73,0.542,76.598
R. Fährmann,gk,34,0.400,0.743,0.15,0.324,0.029,0.000,0.00,0.400,1.32,0.400,66.134
L. Klostermann,cb,26,0.476,0.602,5.81,1.615,0.538,0.358,0.19,0.350,5.46,0.565,76.954
N. Bentaleb,cm,16,0.415,0.585,5.69,1.125,1.625,0.689,0.69,0.308,4.25,0.481,76.438
K. Laimer,lcm,22,0.470,0.441,8.41,0.818,1.545,0.415,0.14,0.444,3.55,0.346,76.826
D. Upamecano,rb,28,0.560,0.676,7.18,2.071,1.214,0.595,0.00,0.400,4.79,0.738,80.739
T. Kehrer,cb,28,0.593,0.570,9.29,1.464,1.250,0.687,1.25,0.520,5.61,0.702,89.526
L. Goretzka,lcm,27,0.414,0.576,6.33,0.667,1.296,0.512,0.70,0.324,4.81,0.457,76.873
D. Caligiuri,lcm,33,0.484,0.605,9.82,1.091,1.242,0.669,0.52,0.531,5.85,0.523,84.611
A. Harit,cam,32,0.431,0.436,4.53,0.125,0.656,0.338,0.12,0.526,2.00,0.256,72.342
B. Oczipka,rb,29,0.519,0.478,4.93,0.724,0.759,0.520,1.24,0.569,4.10,0.543,82.261
P. Gulácsi,gk,33,0.353,0.591,0.06,0.182,0.030,0.000,0.00,0.400,1.21,0.400,64.198
F. Reese,lw,7,0.455,0.273,1.00,0.286,0.429,0.293,0.00,0.400,0.14,0.400,71.181
Bruma,rw,28,0.554,0.333,2.43,0.321,0.393,0.352,0.04,0.375,2.18,0.242,71.615
J. Augustin,st,25,0.415,0.275,2.00,0.080,0.880,0.166,0.04,0.438,1.24,0.182,66.898
W. McKennie,cm,22,0.465,0.616,5.86,1.000,1.682,0.404,0.77,0.375,3.14,0.290,77.044
M. Meyer,cm,24,0.500,0.471,5.62,0.583,1.000,0.494,0.67,0.419,4.38,0.636,78.241
J. Gouweleeuw,cb,27,0.607,0.571,8.11,2.370,1.185,0.645,0.44,0.444,5.78,0.755,85.142
D. Diekmeier,lb,22,0.479,0.600,4.73,1.455,0.818,0.478,0.82,0.545,3.36,0.519,79.355
Ja-Cheol Koo,cam,30,0.463,0.507,4.97,0.600,1.200,0.432,1.17,0.460,3.50,0.444,78.870
A. Hahn,lw,23,0.418,0.517,4.65,0.739,1.609,0.648,0.78,0.364,2.43,0.320,75.313
Caiuby,ram,33,0.435,0.608,5.33,0.455,2.121,0.426,0.45,0.367,2.82,0.220,73.410
D. Baier,rcm,29,0.457,0.517,7.03,1.552,1.586,0.541,1.79,0.403,5.93,0.587,84.763
K. Papadopoulos,cb,29,0.485,0.672,6.31,3.828,1.241,0.504,0.83,0.487,7.38,0.727,84.247
P. Max,rb,33,0.506,0.524,6.55,1.636,0.879,0.510,1.30,0.517,3.36,0.656,84.739
R. Framberger,lb,9,0.563,0.590,6.22,1.333,1.000,0.617,0.78,0.409,3.22,0.474,79.077
R. van Drongelen,rb,18,0.557,0.553,5.56,2.611,0.667,0.519,0.11,0.471,5.06,0.478,79.200
B. Wood,st,24,0.415,0.390,2.08,0.458,1.250,0.213,0.08,0.412,0.88,0.125,67.545
Walace,rcm,18,0.468,0.571,6.17,0.722,1.167,0.420,0.11,0.353,4.61,0.400,75.113
F. Kostić,ram,33,0.509,0.439,4.79,0.333,1.121,0.523,0.36,0.481,2.12,0.242,75.636
M. Hitz,gk,31,0.350,0.690,0.16,0.323,0.129,0.000,0.00,0.400,1.29,0.400,64.916
G. Jung,cb,30,0.502,0.593,6.33,1.400,2.033,0.451,0.80,0.436,4.50,0.484,79.728
N. Müller,lam,2,0.471,0.375,1.00,0.000,0.000,1.000,0.00,0.400,0.50,0.400,74.318
M. Gregoritsch,rw,32,0.444,0.560,2.62,1.219,0.625,0.290,0.19,0.381,3.19,0.273,71.457
J. Schmid,lcm,25,0.465,0.561,3.96,0.600,0.480,0.402,0.04,0.438,2.60,0.444,73.417
C. Mathenia,gk,24,0.333,0.524,0.12,0.250,0.125,0.000,0.00,0.400,1.12,0.400,64.649
A. Hunt,cam,29,0.474,0.419,4.14,0.690,0.966,0.467,0.41,0.407,2.59,0.406,74.315
L. Waldschmidt,rw,21,0.393,0.429,2.19,0.095,0.667,0.193,0.00,0.400,0.67,0.333,67.769
S. Córdova,st,26,0.413,0.380,1.19,0.192,0.769,0.141,0.08,0.353,0.50,0.231,65.973
E. Thommy,cam,20,0.444,0.316,4.20,0.200,0.700,0.345,0.15,0.333,2.50,0.333,71.343
S. Schipplock,st,10,0.333,0.509,2.40,0.100,0.900,0.023,0.00,0.400,0.40,0.304,68.903
N. Füllkrug,st,34,0.452,0.552,2.62,0.529,1.706,0.231,0.21,0.318,1.53,0.158,68.400
P. Schwegler,cm,29,0.475,0.688,7.76,1.207,2.138,0.431,1.90,0.629,5.03,0.667,87.257
F. Hübner,lb,9,0.520,0.538,3.89,1.111,0.667,0.634,0.22,0.412,2.00,0.571,75.712
P. Tschauner,gk,31,0.389,0.609,0.10,0.129,0.032,0.000,0.03,0.375,1.74,0.400,65.356
A. Diallo,rb,27,0.591,0.673,8.78,1.815,2.074,0.718,0.44,0.481,4.30,0.784,84.739
V. Fischer,rw,11,0.406,0.310,1.55,0.091,0.364,0.216,0.00,0.400,0.82,0.421,69.543
J. Korb,lb,28,0.414,0.437,8.18,1.571,1.536,0.547,0.79,0.405,4.18,0.615,79.829
F. Klaus,cam,28,0.437,0.406,4.86,0.536,1.036,0.333,0.50,0.552,2.43,0.333,74.708
W. Anton,cb,27,0.620,0.650,9.00,1.963,0.704,0.691,0.22,0.429,7.04,0.700,86.137
G. Donati,lb,29,0.464,0.594,5.21,1.552,0.759,0.433,0.59,0.406,4.83,0.655,78.308
D. Brosinski,rb,29,0.506,0.500,5.48,2.172,0.517,0.422,0.31,0.500,4.48,0.500,79.055
D. Latza,rcm,29,0.484,0.582,8.24,1.172,1.897,0.693,0.83,0.410,4.93,0.463,82.196
S. Bell,cb,25,0.508,0.689,7.36,2.960,1.720,0.499,0.16,0.421,6.40,0.745,80.564
P. De Blasis,rw,25,0.512,0.416,4.48,0.840,1.120,0.480,0.36,0.417,2.56,0.242,75.108
R. Adler,gk,14,0.389,0.609,0.21,0.429,0.071,0.000,0.00,0.400,2.14,0.400,68.412
Felipe,rb,6,0.543,0.632,9.17,2.333,1.500,0.454,0.50,0.389,5.67,0.640,78.788
K. Karaman,rw,21,0.508,0.500,2.10,0.381,0.619,0.215,0.33,0.500,1.05,0.346,72.611
Y. Muto,rw,28,0.441,0.391,3.11,0.286,1.286,0.363,0.07,0.353,1.07,0.191,68.808
M. Ostrzolek,rb,27,0.552,0.517,6.96,1.444,1.148,0.603,0.33,0.458,4.70,0.743,81.048
A. Maxim,cam,22,0.352,0.196,3.32,0.182,0.955,0.000,0.41,0.417,1.27,0.333,67.823
R. Quaison,cam,24,0.402,0.382,2.79,0.292,1.292,0.049,0.29,0.318,1.25,0.162,67.425
L. Öztunali,lam,25,0.486,0.452,3.60,0.080,1.320,0.445,0.20,0.450,1.64,0.176,72.161
M. Bakalorz,cm,28,0.506,0.578,4.96,0.929,1.179,0.359,0.46,0.464,4.21,0.447,77.044
K. Kodro,st,7,0.400,0.457,0.71,0.000,0.429,0.000,0.00,0.400,0.43,0.316,70.093
C. Benschop,lw,7,0.379,0.548,2.00,0.429,0.571,0.083,0.14,0.375,0.86,0.353,71.264
S. Papastathopoulos,lb,30,0.567,0.685,5.97,2.667,1.267,0.532,1.23,0.577,4.73,0.645,86.835
Bartra,cb,28,0.571,0.738,7.04,2.964,1.000,0.536,0.61,0.500,6.43,0.675,85.545
D. Zagadou,rb,11,0.556,0.603,5.18,2.091,1.182,0.519,0.00,0.400,5.55,0.609,76.960
D. Didavi,cam,30,0.421,0.382,3.70,0.300,1.200,0.317,1.07,0.383,1.33,0.226,73.561
C. Pulisic,lam,32,0.542,0.267,3.62,0.156,0.469,0.485,0.34,0.462,2.06,0.324,74.680
P. Verhaegh,lb,31,0.539,0.573,4.84,1.581,0.710,0.528,0.26,0.435,4.13,0.686,78.695
Camacho,cdm,11,0.515,0.701,7.64,2.636,1.273,0.554,1.09,0.556,8.55,0.667,82.940
M. Philipp,rw,20,0.494,0.443,3.10,0.050,0.800,0.396,0.25,0.350,0.75,0.320,71.944
Y. Gerhardt,rb,17,0.472,0.472,5.35,1.000,0.647,0.540,0.24,0.421,4.06,0.435,76.059
R. Bazoer,cm,11,0.441,0.429,4.00,0.455,1.091,0.534,0.55,0.381,0.91,0.476,74.073
G. Castro,cam,19,0.419,0.333,4.74,0.368,0.947,0.215,0.53,0.360,2.58,0.500,72.663
F. Uduokhai,cb,19,0.530,0.650,7.05,2.211,0.947,0.568,0.68,0.536,5.79,0.677,83.004
R. Knoche,cb,24,0.597,0.659,5.58,2.333,0.750,0.695,0.08,0.412,5.92,0.655,81.277
K. Casteels,gk,34,0.389,0.750,0.09,0.441,0.029,0.000,0.03,0.375,1.82,0.400,66.008
R. Bürki,gk,33,0.316,0.630,0.12,0.394,0.152,0.000,0.03,0.375,1.67,0.400,63.683
K. Hinds,rw,1,0.455,0.364,7.00,0.000,0.000,1.000,0.00,0.400,2.00,0.400,75.192
L. Dimata,rw,21,0.400,0.392,2.14,0.238,1.190,0.212,0.10,0.412,0.86,0.222,67.730
M. Dahoud,ram,23,0.437,0.368,5.22,0.217,1.304,0.212,0.00,0.400,2.00,0.433,70.814
J. Guilavogui,lcm,29,0.540,0.723,6.38,1.483,1.586,0.510,0.21,0.286,6.17,0.558,78.606
M. Arnold,rcm,29,0.394,0.528,6.48,0.897,1.759,0.453,0.14,0.421,3.62,0.500,73.794
F. Passlack,lcm,3,0.520,0.438,3.33,0.667,0.000,0.515,0.00,0.400,1.00,0.438,74.641
S. Kagawa,cam,22,0.563,0.270,3.27,0.227,0.455,0.447,0.23,0.450,0.95,0.310,73.976
Ö. Toprak,cb,26,0.541,0.667,4.54,2.923,0.808,0.466,0.69,0.424,5.42,0.643,81.388
D. Demme,cm,30,0.506,0.348,7.33,0.833,1.467,0.641,0.67,0.429,4.87,0.514,80.222
O. Bulut,lam,1,0.375,0.353,1.00,0.000,0.000,1.000,0.00,0.400,0.00,0.375,74.400
F. Kath,ram,24,0.395,0.484,2.75,0.000,0.833,0.243,0.54,0.464,0.92,0.381,70.940
D. Kaiser,lam,9,0.303,0.385,2.00,0.556,0.444,0.020,0.11,0.375,0.89,0.400,69.187
Y. Ōsako,st,29,0.435,0.426,2.66,0.483,0.966,0.126,0.17,0.400,1.48,0.115,68.591
C. Clemens,lcm,14,0.443,0.379,3.29,0.357,0.857,0.451,0.29,0.368,1.79,0.412,72.301
L. Holtby,cam,16,0.472,0.373,5.81,0.562,1.188,0.533,0.31,0.550,2.56,0.500,76.082
J. Eggestein,st,7,0.350,0.280,0.71,0.143,0.000,0.000,0.00,0.400,0.86,0.375,69.566
M. Tisserand,cb,16,0.398,0.615,5.50,1.688,1.500,0.302,0.19,0.333,5.00,0.679,73.943
T. Tawatha,rb,12,0.550,0.419,3.75,0.667,0.583,0.487,0.00,0.400,2.25,0.471,74.436
L. Rupp,cm,21,0.528,0.306,6.05,0.571,1.524,0.550,0.24,0.400,2.76,0.364,75.617
S. Wagner,rw,25,0.548,0.451,2.32,0.440,2.080,0.429,0.08,0.471,1.20,0.258,71.236
E. Bičakčić,cb,9,0.397,0.535,6.44,2.444,1.111,0.604,1.22,0.500,4.78,0.500,79.160
F. Grillitsch,cm,25,0.539,0.495,8.08,0.720,1.160,0.514,0.76,0.471,5.00,0.536,82.365
André Ramalho,cb,3,0.429,0.353,2.00,0.333,0.000,0.108,0.33,0.438,0.33,0.471,73.598
S. Kießling,st,8,0.450,0.516,0.62,0.125,0.125,0.087,0.00,0.400,0.50,0.438,70.835
L. Bénes,cm,2,0.350,0.353,2.50,0.500,1.000,1.000,0.00,0.400,1.50,0.438,74.015
M. Heller,lam,24,0.540,0.222,4.62,0.417,0.750,0.480,0.04,0.375,1.62,0.357,73.399
R. Khedira,cdm,30,0.483,0.541,6.40,1.700,1.567,0.542,0.63,0.382,5.60,0.613,79.574
F. Johnson,rcm,10,0.474,0.353,2.30,0.100,0.200,0.121,0.20,0.412,2.10,0.318,71.869
S. Sané,cb,35,0.562,0.846,6.03,4.029,1.057,0.581,0.29,0.520,8.57,0.766,85.846
G. Burgstaller,st,32,0.444,0.333,2.91,0.250,1.375,0.290,0.31,0.400,1.69,0.090,69.146
Jonathas,rw,12,0.382,0.471,1.58,0.167,1.750,0.000,0.08,0.438,0.67,0.286,68.044
S. Maier,rcm,10,0.471,0.400,3.60,0.000,0.400,0.394,0.70,0.364,1.40,0.500,74.497
T. Baumgartl,cb,29,0.551,0.648,9.00,2.655,1.379,0.622,1.38,0.582,6.24,0.738,90.641
B. Özcan,ram,17,0.500,0.311,3.12,0.235,0.529,0.406,0.00,0.400,1.47,0.259,71.683
Javi Martínez,cm,22,0.596,0.664,4.50,1.409,0.682,0.535,0.82,0.424,5.05,0.567,81.611
N. Schulz,ram,27,0.507,0.414,4.70,0.481,0.815,0.445,0.67,0.455,2.67,0.562,77.125
J. Rodríguez,cam,26,0.415,0.372,3.96,0.115,0.962,0.287,0.58,0.433,1.77,0.370,72.188
P. Ochs,lw,3,0.542,0.333,3.00,0.000,0.000,0.628,0.00,0.400,1.00,0.353,74.513
