Player,PrimaryPosition,Games,GroundDuelAcc,AerialDuelAcc,GroundDuelsPG,ClearancesPG,FoulsPG,Consistency,SlidingTacklesPG,SlidingTackleAcc,InterceptionsPG,AnticipationRatio,Rating
J. Rivierez,lb,26,0.484,0.508,9.12,1.885,1.308,0.664,0.42,0.385,4.46,0.583,81.707
M. Niakhaté,rb,35,0.635,0.634,6.54,2.800,1.029,0.653,0.69,0.667,5.66,0.675,88.688
Jonathan Cafu,rw,18,0.382,0.387,3.39,0.056,0.944,0.000,0.06,0.375,0.94,0.207,67.865
D. Da Silva,cb,32,0.582,0.667,6.41,3.375,1.219,0.712,0.91,0.545,6.28,0.593,87.808
H. Maïga,lcm,13,0.463,0.475,8.31,0.462,1.923,0.442,0.46,0.476,2.69,0.429,77.048
Gabriel Silva,rb,25,0.497,0.494,6.80,1.440,1.280,0.649,0.32,0.304,4.68,0.676,78.331
A. Bouka Moutou,rb,6,0.477,0.441,4.83,1.000,0.167,0.237,0.83,0.350,2.67,0.471,75.828
A. Diakhaby,rw,21,0.492,0.418,2.29,0.095,0.667,0.385,0.19,0.474,1.38,0.286,71.788
F. Chafik,lb,23,0.578,0.598,8.30,1.174,0.957,0.613,1.65,0.547,3.78,0.690,88.677
Gil Dias,lw,28,0.480,0.451,4.82,0.286,0.893,0.550,0.32,0.417,1.54,0.320,74.723
É. Didot,cm,23,0.494,0.559,6.13,1.174,1.130,0.431,0.17,0.421,3.70,0.500,76.659
Neymar,rw,25,0.373,0.500,4.12,0.040,1.160,0.373,0.04,0.375,0.88,0.222,69.062
Lucas Lima,rb,33,0.524,0.509,7.82,1.303,0.848,0.622,0.45,0.433,4.85,0.512,82.159
Y. Bammou,rw,16,0.413,0.415,3.75,0.438,1.188,0.110,0.00,0.400,2.62,0.300,69.889
S. Moutoussamy,cm,7,0.511,0.450,4.57,0.286,0.714,0.375,0.14,0.375,3.43,0.389,74.458
L. Ocampos,rw,31,0.482,0.463,7.55,0.452,1.258,0.525,0.81,0.475,3.77,0.243,80.302
R. Cabella,cam,29,0.513,0.353,6.34,0.138,0.828,0.554,0.17,0.400,2.00,0.367,75.876
J. Seri,cm,31,0.420,0.490,4.58,0.290,0.742,0.266,0.65,0.314,2.61,0.345,73.197
F. Bellugou,cb,30,0.470,0.554,5.67,0.867,1.067,0.446,0.47,0.310,3.83,0.556,76.301
C. Traoré,rb,34,0.481,0.518,7.94,2.706,0.912,0.545,0.32,0.462,6.35,0.744,82.453
H. Mahou,ram,3,0.400,0.412,1.67,0.000,0.333,0.000,0.67,0.353,0.00,0.400,73.315
C. Jallet,rb,15,0.525,0.567,5.60,1.467,0.800,0.802,0.33,0.350,5.07,0.450,78.542
A. Confais,lcm,15,0.415,0.417,3.33,0.267,0.467,0.065,0.60,0.375,1.47,0.474,72.039
Mexer,cb,17,0.533,0.691,2.65,2.412,0.353,0.305,0.29,0.400,4.76,0.526,76.423
K. Tete,lb,22,0.619,0.593,6.95,1.273,0.864,0.574,1.18,0.561,3.45,0.567,85.992
Y. Bissouma,lcm,24,0.534,0.581,6.79,0.500,1.458,0.523,0.54,0.464,3.46,0.484,79.482
J. Grimm,lcm,22,0.451,0.655,3.45,0.864,0.909,0.307,0.68,0.533,2.82,0.458,75.803
Y. Cahuzac,cdm,20,0.503,0.558,6.50,1.700,1.450,0.545,0.25,0.500,5.20,0.556,78.700
O. Toivonen,st,28,0.410,0.591,1.64,0.464,1.143,0.088,0.07,0.471,0.96,0.333,67.642
C. Michelin,lb,7,0.392,0.500,5.14,1.429,1.143,0.211,1.71,0.407,2.43,0.471,76.982
G. Sio,st,33,0.475,0.558,2.55,0.455,1.727,0.310,0.09,0.333,1.12,0.160,68.686
R. Aguilar,lb,31,0.596,0.505,8.45,1.839,0.935,0.638,0.71,0.486,4.23,0.400,86.036
N. Pépé,lw,36,0.452,0.388,3.64,0.389,0.806,0.256,0.11,0.368,1.89,0.235,69.852
Y. Aït Bennasser,cm,27,0.478,0.558,6.96,0.704,0.889,0.379,0.19,0.350,3.93,0.379,76.356
H. Koffi,gk,4,0.400,0.526,0.00,0.000,0.000,1.000,0.00,0.400,2.75,0.400,73.345
I. Faraj,lam,7,0.500,0.400,2.43,0.714,0.143,0.320,0.14,0.438,0.86,0.438,73.569
M. Diakhaby,cb,11,0.590,0.600,4.18,2.909,0.636,0.353,0.82,0.458,5.00,0.609,79.763
J. Amavi,rb,27,0.524,0.659,6.52,1.556,1.111,0.551,0.52,0.517,5.04,0.690,81.761
B. Sarr,lcm,29,0.613,0.580,6.79,0.655,1.345,0.592,0.76,0.459,3.03,0.568,83.074
Dória,rb,3,0.391,0.450,2.67,1.000,0.000,0.000,0.33,0.375,1.67,0.400,73.630
A. Jallow,rcm,2,0.346,0.500,5.50,0.500,1.000,0.906,0.50,0.438,1.50,0.400,75.033
Cafú,rcm,10,0.393,0.452,4.10,0.700,1.500,0.219,0.40,0.421,3.20,0.375,72.595
R. Ghezzal,lam,26,0.513,0.388,3.92,0.038,0.808,0.309,0.12,0.389,1.77,0.400,72.185
M. Udol,rb,6,0.533,0.478,7.50,1.500,1.333,0.385,0.33,0.353,4.33,0.389,76.623
F. Píriz,cm,15,0.416,0.520,6.53,0.533,1.000,0.270,0.47,0.364,3.07,0.450,74.958
K. Dolly,rw,17,0.544,0.444,2.47,0.059,0.176,0.275,0.06,0.438,1.06,0.304,72.553
W. Sneijder,ram,5,0.345,0.375,2.80,0.200,0.800,0.000,0.20,0.375,0.80,0.400,71.590
M. Balotelli,rw,28,0.270,0.468,1.71,0.643,2.250,0.000,0.04,0.375,1.54,0.163,61.706
