Player,PrimaryPosition,Games,Accelerations,LongCarries,Duels,WideRuns,CounterAttacks,AvgCarryDistance,RawRating
D. Srna,lb,4,0.50,0.50,8.25,1.25,0.25,13.51,70.016
V. Ćorluka,lb,8,0.25,0.38,1.50,0.50,1.00,16.64,46.060
M. Topal,cdm,3,0.33,0.00,2.33,0.67,2.00,7.67,49.410
I. Rakitić,lcm,46,0.52,1.28,5.30,1.24,1.11,17.79,67.940
H. Çalhanoğlu,ram,33,0.48,1.06,5.94,2.03,1.24,14.15,68.917
O. Özyakup,cm,3,0.67,0.33,4.67,0.67,0.33,12.31,61.387
M. Brozović,rcm,40,0.47,0.88,4.33,1.15,1.68,16.44,64.436
O. Tufan,lcm,3,1.00,0.67,5.33,0.33,0.33,14.93,66.473
M. Badelj,cm,34,0.12,1.50,5.24,0.88,1.29,15.54,65.858
I. Perišić,ram,48,1.17,1.44,8.40,3.29,2.27,15.81,77.315
M. Mandžukić,rw,41,0.44,0.80,6.00,1.44,0.90,16.29,67.299
L. Modrić,lcm,36,1.22,1.81,7.36,1.17,1.39,18.48,75.402
V. Babacan,gk,3,0.00,0.00,0.00,0.00,0.00,0.00,30.000
H. Balta,rcb,3,0.00,0.00,0.67,0.00,1.00,13.69,30.000
G. Gönül,lb,3,0.00,0.33,4.67,1.33,1.00,23.67,60.054
I. Strinić,rb,26,0.19,1.35,4.15,3.35,0.27,17.30,65.100
D. Vida,rb,9,0.00,0.56,0.44,0.44,0.11,16.97,32.470
D. Subašić,gk,44,0.00,0.89,0.09,0.02,0.18,30.82,37.993
V. Şen,ram,2,0.00,0.50,6.00,2.00,0.50,15.50,63.703
B. Yılmaz,st,3,0.33,0.00,7.67,1.00,2.00,11.19,67.865
E. Mor,rs,25,1.16,0.56,7.12,0.96,1.76,17.82,72.392
A. Kramarić,rs,44,0.64,1.14,6.48,1.50,1.57,16.87,70.846
G. Schildenfeld,rcb,2,0.00,0.00,0.00,0.00,0.00,0.00,30.000
M. Pjaca,st,13,0.46,0.23,6.92,0.23,0.77,12.57,65.639
Piqué,lb,38,0.34,3.11,1.87,0.79,0.47,21.06,64.454
Nolito,rw,34,0.15,0.71,7.97,1.76,1.24,15.70,70.027
Jordi Alba,rb,41,0.49,1.02,2.78,3.22,0.51,15.59,62.069
Sergio Ramos,rb,34,0.26,2.56,1.71,1.00,0.79,21.09,61.998
T. Gebre Selassie,lb,33,0.45,0.70,4.52,2.58,0.42,13.33,63.934
Iniesta,ram,38,0.55,1.13,8.55,1.47,0.87,16.70,73.173
Juanfran,lb,21,0.24,0.95,3.67,2.90,0.52,15.63,62.082
Sergio Busquets,cm,39,0.00,1.15,4.15,1.05,0.77,17.22,60.493
V. Darida,cm,24,0.62,0.71,5.67,1.25,1.50,14.18,67.481
T. Rosický,cm,2,2.50,0.00,6.50,1.00,0.50,8.82,73.602
T. Necid,st,3,0.33,0.33,4.67,0.33,1.00,18.32,60.263
T. Sivok,lcb,3,0.00,0.33,0.00,0.33,0.33,8.83,30.000
L. Krejčí,rw,15,0.33,0.07,2.40,1.40,0.20,9.45,47.947
D. Limberský,rb,2,1.00,1.00,2.00,1.50,0.00,13.21,59.712
J. Plašil,cm,25,0.48,1.08,2.28,0.44,0.56,17.15,56.360
R. Hubník,rb,3,0.00,0.67,1.00,0.00,0.33,16.00,37.239
P. Kadeřábek,lb,31,1.10,0.84,2.77,1.71,0.94,16.49,64.084
Aduriz,st,36,0.17,0.42,4.78,0.81,0.58,13.00,58.894
Thiago Alcântara,cam,23,0.22,1.13,5.65,1.17,0.57,16.09,65.672
D. Lafata,st,2,0.00,0.50,2.00,0.00,0.00,26.43,44.881
J. Šural,lw,3,0.00,0.00,2.33,0.00,0.00,19.37,39.771
D. Pavelka,cm,2,0.50,0.00,1.00,0.00,0.00,0.00,31.034
J. Skalák,lam,1,0.00,0.00,5.00,1.00,0.00,8.21,54.172
M. Kovačić,rcm,28,0.82,1.11,5.14,0.96,0.61,17.14,67.741
M. Škoda,ls,2,0.00,0.00,1.00,0.00,0.00,7.67,30.000
Š. Vrsaljko,lb,29,0.55,1.21,3.76,2.48,0.48,17.10,65.001
N. Şahin,rcm,19,0.00,1.05,2.63,0.68,0.58,16.87,53.208
O. Şahan,lam,2,1.00,1.00,2.00,0.50,2.00,13.75,61.353
Bruno,cm,2,0.00,0.00,1.00,0.50,0.00,16.41,30.000
Koke,cm,39,0.28,1.21,5.21,1.92,1.49,14.79,67.024
Y. Mallı,cam,32,1.66,1.22,8.59,1.56,2.16,16.76,77.538
T. Jedvaj,lb,12,0.50,1.33,1.58,1.67,0.42,18.09,57.553
M. Rog,lcm,28,0.21,0.04,1.93,0.21,0.32,10.75,39.927
N. Kalinić,st,33,0.12,0.24,5.79,0.24,0.76,12.90,60.316
D. Čop,st,3,0.00,0.33,2.00,0.67,0.67,14.46,43.756
B. Dočkal,lam,1,0.00,0.00,6.00,3.00,0.00,9.51,61.466
D. Pudil,rb,1,1.00,1.00,0.00,2.00,0.00,13.86,53.241
İ. Köybaşı,rb,1,0.00,0.00,7.00,0.00,0.00,0.00,58.333
D. Kolář,cm,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
K. Källström,rcm,3,0.00,1.00,1.67,0.33,0.00,21.96,46.985
A. Granqvist,rb,8,0.50,2.25,1.12,0.25,0.12,19.83,58.086
M. Lustig,lb,5,0.00,0.80,0.80,1.00,0.00,14.86,39.343
S. Larsson,lcm,7,0.14,1.14,2.86,1.14,0.43,21.28,57.550
D. Randolph,gk,4,0.00,0.75,0.25,0.00,0.25,14.17,30.638
E. Forsberg,ram,29,0.59,0.69,9.21,1.10,1.03,15.26,73.030
J. O'Shea,lcb,3,0.00,0.00,0.00,0.00,0.00,5.95,30.000
M. Berg,st,8,0.12,0.88,4.88,0.88,1.62,19.02,63.506
W. Hoolahan,cam,4,0.75,0.75,4.75,0.75,0.25,14.27,64.193
G. Whelan,cm,2,0.00,0.50,2.00,0.50,0.50,15.62,44.634
A. Isaksson,gk,3,0.00,0.33,0.33,0.00,0.00,12.75,30.000
O. Lewicki,lcm,2,0.00,0.50,0.50,1.00,0.50,21.22,37.973
E. Johansson,lb,3,0.33,1.00,0.67,0.00,0.00,24.21,45.715
J. Guidetti,st,30,0.17,0.30,4.13,0.47,1.23,14.27,56.761
A. McGeady,lam,3,0.33,0.00,2.67,0.00,0.00,5.37,42.977
A. Ekdal,cm,27,0.37,1.15,5.15,0.37,0.81,16.30,64.798
R. Keane,rs,2,0.00,0.50,1.00,0.50,0.00,27.20,40.191
D. De Rossi,cm,25,0.12,1.60,1.48,0.48,0.44,19.20,52.829
L. Ciman,lb,1,1.00,2.00,0.00,0.00,6.00,25.68,66.180
G. Chiellini,rb,29,0.83,1.59,1.69,0.62,0.55,19.58,60.639
G. Pellè,st,4,0.50,0.75,10.75,1.50,2.00,12.71,75.622
G. Buffon,gk,25,0.00,0.36,0.08,0.04,0.28,37.95,34.874
A. Barzagli,lcb,30,0.03,0.57,0.63,0.33,0.30,19.70,36.455
A. Witsel,cm,11,0.27,0.82,4.00,0.36,0.91,15.63,59.438
T. Vermaelen,rb,21,0.05,0.57,0.67,0.48,0.33,15.74,36.179
R. Nainggolan,cam,36,0.92,1.00,9.36,1.22,2.00,15.02,75.627
E. Giaccherini,ram,21,0.76,0.76,6.29,1.67,1.48,13.88,69.877
Eder,st,32,0.38,0.22,3.25,0.28,1.12,13.72,54.148
L. Bonucci,lcb,40,0.10,1.90,1.00,0.45,0.38,18.72,52.147
A. Candreva,lam,38,1.79,1.03,7.50,2.82,1.74,16.32,76.858
M. Parolo,lcm,35,0.17,1.51,2.71,1.51,1.06,15.94,59.990
M. De Sciglio,lb,16,0.50,1.00,3.06,2.81,0.88,15.85,62.822
D. Mertens,st,49,0.33,0.65,7.20,0.51,1.33,13.77,67.963
Y. Carrasco,rs,26,0.85,0.81,9.23,1.96,1.58,13.36,74.993
C. Immobile,rs,35,1.23,1.00,7.69,1.40,2.83,14.66,75.130
T. Motta,cm,23,0.00,0.96,1.74,0.48,1.22,16.73,49.282
A. Florenzi,lam,36,1.25,1.28,2.97,2.56,0.69,16.35,67.651
S. Zaza,st,36,0.31,0.44,6.58,0.81,2.00,13.88,66.911
J. Durmaz,cam,23,0.48,1.09,4.17,2.00,0.57,17.85,64.727
S. Sturaro,lcm,15,0.33,0.80,4.40,1.20,0.53,15.76,61.796
T. Meunier,lb,33,1.03,1.15,3.24,2.27,0.64,17.22,66.355
D. Murphy,st,2,0.50,0.00,9.00,0.50,1.50,3.00,69.512
F. Bernardeschi,lam,23,0.48,0.74,6.52,1.83,0.61,16.06,68.448
R. Keogh,rcb,2,0.00,0.00,0.50,0.00,0.00,11.88,30.000
S. Sirigu,gk,38,0.00,0.37,0.11,0.00,0.13,23.12,30.000
L. Insigne,rw,40,1.65,1.73,9.30,3.48,1.65,17.05,79.531
S. El Shaarawy,rs,34,0.85,0.88,7.12,2.24,1.47,15.69,72.544
S. Quinn,lam,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
E. Zengin,ram,1,0.00,0.00,1.00,0.00,0.00,0.00,30.000
Z. Junuzović,cam,25,0.68,0.40,4.32,1.20,1.56,12.69,63.329
D. Alaba,rb,26,0.92,0.77,5.15,1.81,0.81,15.05,68.103
Á. Lang,lcb,7,0.14,0.86,2.29,0.43,0.29,16.02,50.429
G. Király,gk,4,0.00,0.25,0.00,0.00,0.25,21.78,30.000
R. Guzmics,rcb,4,0.25,0.75,0.50,0.25,0.00,31.48,44.129
Á. Nagy,rcm,15,0.80,0.47,2.93,2.07,0.47,12.94,60.151
J. Baumgartlinger,cm,25,0.04,1.04,2.92,1.24,0.32,16.64,55.326
Z. Gera,cm,4,0.00,0.25,4.25,0.50,1.00,12.52,54.550
L. Kleinheisler,cam,2,0.50,0.50,18.50,2.50,2.50,10.71,82.478
A. Fiola,lb,1,3.00,0.00,1.00,0.00,3.00,6.05,67.326
M. Hinteregger,rb,33,0.21,2.45,1.42,1.55,0.61,20.75,60.783
M. Janko,st,2,0.00,0.00,2.00,0.00,0.00,16.84,36.241
Á. Szalai,st,22,0.05,0.45,7.32,0.77,0.64,14.48,65.618
M. Harnik,ls,32,0.31,0.59,4.22,1.59,1.44,12.25,61.593
T. Kádár,rb,3,0.00,0.67,5.00,1.67,1.67,11.96,62.306
F. Klein,lb,3,0.33,0.67,4.00,2.33,0.00,9.83,59.973
R. Almer,gk,3,0.00,0.00,0.00,0.00,0.00,6.80,30.000
K. Németh,rw,2,0.50,0.00,8.50,1.50,2.50,6.47,70.715
B. Dzsudzsák,cam,4,1.25,0.50,9.75,2.25,1.25,11.93,76.158
M. Sabitzer,lam,25,0.36,0.76,7.96,2.16,1.40,13.36,71.344
R. Okotie,st,1,0.00,0.00,4.00,0.00,1.00,4.87,48.683
T. Priskin,st,2,0.00,1.50,5.00,1.00,1.00,17.08,64.549
A. Schöpf,cm,18,0.44,0.94,4.89,2.22,0.83,15.84,66.070
Z. Stieber,ram,3,0.67,0.00,2.00,1.33,1.00,7.37,50.989
Á. Pintér,rcm,3,0.67,0.33,4.00,0.00,0.33,19.81,59.428
A. Skúlason,rb,7,0.43,0.57,1.43,1.43,0.00,26.32,51.865
André Gomes,rcm,21,0.24,0.62,5.38,1.29,0.76,13.93,63.303
K. Sigþórsson,ls,7,0.00,0.29,4.00,1.00,0.71,11.96,54.059
Danilo Pereira,cm,5,0.00,0.20,1.00,0.00,0.40,15.60,31.320
Cristiano Ronaldo,rs,38,1.13,1.05,8.97,1.82,2.97,15.77,76.814
A. Gunnarsson,lcm,8,0.12,0.88,2.38,0.50,0.38,16.02,51.166
Raphaël Guerreiro,rb,18,0.83,0.83,5.94,3.33,1.11,13.88,70.920
Ricardo Carvalho,rb,3,0.00,0.33,0.33,0.33,0.33,17.31,30.000
B. Sævarsson,lb,8,0.38,1.00,2.62,1.25,0.12,17.95,57.072
Pepe,lb,10,0.00,1.00,2.50,0.90,0.80,15.01,52.833
João Moutinho,cm,42,0.31,1.17,3.38,1.24,1.36,16.44,61.611
B. Bjarnason,rcm,8,0.38,0.50,5.62,1.88,1.00,11.60,65.108
Nani,cam,25,0.36,0.44,5.88,1.04,1.48,12.02,65.038
H. Halldórsson,gk,8,0.00,0.88,0.38,0.00,0.50,37.98,43.415
Rui Patrício,gk,11,0.00,0.27,0.18,0.00,0.45,14.53,30.000
Vieirinha,lam,3,0.00,0.00,6.00,1.67,0.67,8.18,60.241
J. Böðvarsson,st,6,0.33,0.50,6.67,0.67,1.17,16.06,66.600
K. Árnason,lcb,7,0.00,0.57,0.43,0.14,0.57,14.25,32.023
R. Sigurðsson,rcb,8,0.00,0.62,0.50,0.25,0.00,14.55,31.413
Ricardo Quaresma,lw,10,0.30,0.10,8.10,1.00,1.00,9.90,67.731
A. Finnbogason,st,28,0.32,0.75,8.46,0.82,1.43,13.82,70.945
Éder,ls,3,0.00,0.00,3.33,0.00,0.00,12.01,44.032
E. Bjarnason,rcm,3,0.00,0.00,2.67,0.33,0.67,14.49,43.764
R. Juhász,lb,3,0.00,0.67,0.67,0.00,0.00,45.21,43.992
E. Hallfreðsson,rcm,22,0.09,0.64,3.14,0.45,0.91,13.87,53.244
D. Böde,rs,2,0.00,0.00,2.50,0.00,0.00,0.00,33.333
N. Nikolić,rs,2,0.00,0.50,0.50,0.50,0.00,17.11,32.024
E. Guðjohnsen,st,2,0.00,0.00,2.00,0.00,1.00,0.00,33.333
William Carvalho,cm,9,0.11,0.56,4.11,0.44,1.89,14.32,58.695
S. Ilsanker,lcm,22,0.18,0.82,1.73,0.55,0.91,16.22,49.734
L. Hinterseer,lw,1,0.00,0.00,1.00,0.00,0.00,0.00,30.000
Rafa Silva,ram,1,1.00,0.00,3.00,0.00,0.00,0.00,52.381
Eliseu,rb,2,0.00,0.00,5.50,2.00,0.00,6.69,57.751
M. Korhut,rb,1,0.00,1.00,1.00,2.00,0.00,17.11,46.554
Á. Elek,lcm,2,0.50,0.00,1.50,0.50,0.50,9.60,42.726
G. Lovrencsics,ram,2,1.00,0.00,7.00,0.50,1.50,4.66,68.220
B. Bese,lb,1,0.00,0.00,3.00,1.00,0.00,3.69,42.425
J. Jantscher,lam,1,0.00,0.00,4.00,0.00,0.00,10.73,47.571
A. Traustason,rcm,3,0.33,0.00,2.00,0.00,0.33,12.24,41.941
S. Ingason,lcb,4,0.00,1.00,0.25,0.25,0.75,16.38,38.033
E. Derdiyok,st,1,0.00,1.00,7.00,0.00,2.00,33.37,69.076
J. Greguš,rcm,1,0.00,0.00,1.00,0.00,2.00,10.31,33.469
S. Šesták,st,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
L. Podolski,rw,1,0.00,0.00,4.00,1.00,0.00,8.65,49.661
K. Saláta,rcb,1,0.00,0.00,0.00,1.00,0.00,11.11,30.000
Lucas Vázquez,lw,36,0.33,0.58,7.28,1.64,1.11,14.90,68.956
J. Denayer,rb,1,0.00,1.00,0.00,0.00,0.00,34.51,39.214
J. Lukaku,rb,31,0.55,0.68,5.52,1.94,0.52,18.36,66.771
S. Umtiti,rb,34,0.21,2.65,2.00,1.03,0.59,20.08,62.400
Bruno Alves,rb,1,0.00,0.00,0.00,0.00,4.00,0.00,30.000
B. Guillaume,st,16,0.25,0.38,3.00,0.50,1.38,14.56,53.930
R. Thomas,rb,28,0.11,1.00,1.00,0.32,0.61,17.24,45.019
L. Lerager,lcm,37,0.35,1.08,3.92,1.16,1.11,16.43,62.618
L. Coulibaly,lcm,20,1.00,0.60,4.10,0.65,1.30,15.78,64.946
Y. Sabaly,lb,38,1.42,1.42,6.89,3.42,1.00,15.31,75.675
Y. Sankharé,rcm,29,0.55,0.55,4.24,0.48,1.28,14.59,61.707
V. Manceau,lb,33,1.00,0.91,2.67,2.45,0.82,13.73,63.907
A. Letellier,gk,13,0.00,0.77,0.00,0.00,0.15,27.12,34.096
I. Traoré,lb,32,0.16,0.84,1.25,0.47,0.53,15.70,45.601
B. Santamaria,cm,31,0.52,1.06,3.74,0.74,0.61,16.15,61.872
V. Jovanović,rcb,16,0.31,2.56,1.19,0.94,0.25,21.00,59.860
J. Toulalan,cdm,21,0.33,1.81,2.19,1.05,0.62,19.43,60.137
B. Costil,gk,36,0.00,0.97,0.08,0.03,0.31,34.43,40.687
V. Vada,lcm,21,0.38,0.33,3.33,0.67,0.52,14.07,54.891
Malcom,lw,35,2.20,1.77,15.94,3.06,3.06,16.99,85.926
P. Capelle,cm,28,0.93,0.79,6.54,2.25,1.43,13.49,71.509
T. Pellenard,rb,18,0.56,1.39,4.17,2.83,0.56,18.15,67.193
A. Mendy,st,16,0.00,0.25,6.94,0.56,0.56,13.21,63.061
G. Sunu,st,20,0.50,0.50,5.00,1.25,0.55,14.90,63.357
T. Mangani,rcm,35,0.20,0.63,4.43,1.63,1.51,13.90,61.942
F. Kamano,rw,35,1.20,0.80,10.71,2.46,1.46,15.31,77.912
A. Fulgini,cam,29,0.55,0.41,6.00,1.21,1.41,14.06,66.696
K. Toko Ekambi,rs,37,0.97,1.32,13.62,2.30,2.57,14.56,80.917
F. Tait,cam,31,1.39,2.00,9.94,4.10,2.42,15.98,80.361
M. Pavlović,rcb,24,0.08,0.75,0.50,0.25,0.38,20.37,38.758
G. Laborde,st,20,0.55,0.35,5.65,0.75,0.55,15.70,64.248
T. Touré,st,8,0.12,0.12,3.25,1.12,0.62,11.01,50.862
E. Sala,st,36,0.28,0.83,10.81,1.97,1.92,12.47,75.391
P. Nakoulma,st,18,1.56,0.78,10.78,1.72,1.72,13.24,78.464
Diego Carlos,lcb,28,0.18,1.14,1.36,0.46,0.64,15.40,49.196
A. Kačaniklić,lam,9,0.33,0.44,4.00,1.00,0.78,15.58,58.909
F. Touré,rb,27,0.30,0.93,4.37,2.33,0.74,16.36,63.912
J. Alonso,rb,34,0.00,1.32,1.47,0.91,0.59,18.74,50.703
Luiz Araújo,rw,34,1.18,1.29,9.00,2.15,1.50,17.70,76.842
N. de Préville,rs,33,1.12,0.85,10.73,1.94,1.67,15.50,77.660
V. Rongier,cm,32,0.31,0.94,6.22,1.62,1.16,13.98,67.734
A. Touré,cm,36,0.17,1.22,6.11,1.39,0.83,13.74,67.017
M. Maignan,gk,34,0.00,0.62,0.50,0.00,0.68,36.67,41.847
K. Djidji,rcb,29,0.34,0.86,2.31,1.97,0.31,15.25,56.010
N. Pallois,rcb,28,0.11,1.04,1.29,0.93,0.54,15.97,48.120
Edgar Ié,lb,35,0.11,2.31,2.91,2.69,0.89,17.52,65.116
Thiago Mendes,cam,31,0.61,1.35,11.35,1.55,1.52,15.77,77.518
I. Amadou,cdm,30,0.53,1.17,2.53,0.53,0.67,17.12,58.585
K. Malcuit,lb,23,1.83,2.09,10.52,3.78,1.39,17.87,81.272
Y. Benzia,st,31,0.84,1.19,9.26,2.10,1.74,15.64,76.015
A. El Ghazi,ls,27,1.07,0.67,7.37,1.89,1.19,14.82,72.727
L. Dubois,lb,34,1.53,2.24,5.15,4.00,1.53,17.47,76.147
M. Dupé,gk,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
J. Iloki,lam,26,0.73,0.65,3.38,2.08,1.42,14.74,63.449
R. Kouamé,rb,6,0.83,0.67,3.17,1.67,0.83,16.78,62.517
A. Thomasson,ram,36,0.25,1.31,5.81,3.11,1.67,14.36,69.690
G. Gillet,rcm,1,0.00,1.00,0.00,0.00,0.00,33.62,38.883
E. Ponce,st,27,0.11,0.07,4.78,0.19,0.63,11.18,55.088
C. Awaziem,lcb,22,0.09,1.09,1.73,1.18,0.27,18.48,51.183
Thiago Maia,rcm,34,0.50,1.50,5.74,1.65,1.09,16.28,69.544
I. Saadi,st,26,0.15,0.31,3.35,0.58,1.12,12.55,53.123
J. Martin,cm,36,0.28,1.14,5.36,1.69,1.72,16.54,67.318
K. Lala,lcb,31,1.48,2.10,8.42,4.42,1.00,17.35,79.037
Marçal,rb,18,0.28,1.61,3.61,2.89,1.17,18.36,65.912
M. Depay,rw,36,1.33,1.11,12.42,2.56,2.92,15.54,80.717
J. Aholou,cm,35,0.66,0.71,4.71,0.94,0.91,13.86,64.414
Sergi Darder,cm,38,0.18,1.42,3.95,1.24,1.08,17.40,63.146
Mariano Díaz,rs,34,0.68,0.65,6.26,0.91,1.88,15.45,68.936
B. Traoré,lw,31,0.84,2.03,8.71,4.19,2.23,16.93,78.176
P. Martinez,rb,24,0.54,1.04,1.67,1.17,0.71,18.39,56.295
B. Kamara,gk,19,0.00,1.16,0.11,0.00,0.26,35.94,42.991
N. Fekir,cam,36,0.92,1.11,15.56,1.47,2.17,16.82,81.600
Rafael,lb,24,1.12,1.04,5.67,2.88,0.75,15.84,71.665
Y. Salmier,lcb,14,0.14,1.00,0.71,0.57,0.79,17.32,45.150
Marcelo,lb,35,0.06,2.06,0.77,1.03,0.97,19.21,54.381
D. Liénard,rcm,33,0.88,1.00,6.45,2.73,1.45,13.52,72.096
B. Corgnet,cam,18,0.44,1.00,7.67,1.78,1.83,16.34,72.068
L. Tousart,cm,37,0.14,1.27,2.49,0.65,1.05,17.38,56.332
K. Mangane,lb,20,0.15,1.75,1.15,0.80,0.95,17.35,54.097
J. Morel,rb,33,0.09,1.82,1.09,0.64,0.70,20.22,53.371
Nuno Da Costa,ls,26,0.38,0.96,9.92,2.23,1.92,13.83,75.119
A. Lopes,gk,34,0.00,0.85,0.06,0.03,0.29,38.29,40.578
I. Sacko,st,21,0.38,0.67,4.52,1.48,0.86,14.83,62.643
M. Maolida,rs,13,0.15,0.46,5.54,0.62,0.69,18.79,62.146
A. Gonçalves,lam,29,0.76,0.48,4.59,1.83,1.69,14.01,65.908
M. Cornet,ls,30,0.70,0.63,6.90,1.80,1.50,15.94,70.669
S. Bahoken,st,26,0.38,0.77,6.23,1.38,1.04,16.24,67.469
J. Ferri,lcm,24,0.50,0.38,1.92,0.50,1.50,14.83,52.248
J. Marié,cm,27,0.19,0.78,3.00,1.15,0.63,14.49,55.528
W. Lautoa,rcb,10,0.20,0.50,1.50,1.30,0.10,16.99,46.234
Kwon Chang-Hoon,lam,34,0.68,0.79,6.79,2.15,0.79,13.97,70.319
Luiz Gustavo,rcm,34,0.38,2.15,4.68,1.15,1.44,19.82,69.017
M. Sanson,cam,33,0.85,0.85,8.73,1.67,1.36,14.30,74.162
F. Thauvin,lw,36,1.36,1.61,15.97,3.56,2.75,16.40,83.747
M. Lopez,lcm,24,0.42,1.67,2.83,1.71,1.25,18.53,63.718
V. Germain,ls,35,0.06,0.31,2.03,0.40,1.06,14.48,45.026
R. Amalfitano,cm,33,0.64,1.33,6.48,1.48,0.36,15.63,70.205
O. Haddadi,rb,34,1.03,1.56,3.12,2.91,0.79,18.56,68.375
H. Sakai,lb,36,0.47,0.83,3.14,2.50,0.64,14.88,61.188
B. Reynet,gk,38,0.00,0.95,0.18,0.00,0.34,32.30,40.413
S. Mandanda,gk,32,0.00,0.38,0.00,0.00,0.72,25.56,30.557
Rolando,rb,31,0.19,1.10,0.48,0.45,0.52,19.64,44.926
W. Saïd,st,29,0.45,0.62,5.69,1.14,1.52,15.88,66.359
V. Rosier,lb,36,1.14,1.58,6.42,3.78,0.67,16.02,74.571
B. Jeannot,st,24,0.25,0.29,5.29,0.67,0.67,10.90,60.210
N. Sliti,ram,34,1.68,1.15,13.82,2.44,1.47,15.83,81.807
C. Yamberé,lb,32,0.41,2.62,1.94,1.50,0.66,20.23,64.236
C. Varrault,lb,11,0.18,1.82,1.27,1.18,0.18,21.87,55.476
C. N'Jie,rs,22,0.59,0.32,4.50,0.64,1.82,14.03,62.641
F. Sammaritano,cam,26,0.58,0.46,5.42,1.73,0.69,12.75,65.294
A. Zambo Anguissa,lcm,37,0.43,1.41,6.46,1.43,1.49,15.73,70.405
F. Balmont,lcm,21,0.19,0.52,2.71,0.81,0.57,17.74,52.623
G. Sertic,cdm,7,0.00,0.43,0.57,0.43,0.57,11.95,31.617
R. Cohade,lcm,38,0.82,1.82,5.32,2.05,2.37,18.07,72.517
M. Biševac,lb,10,0.30,1.30,0.70,0.20,0.40,19.99,48.451
G. Hein,ram,3,0.00,0.00,1.67,0.33,0.67,5.41,32.771
J. Ikoko,lb,28,1.11,1.54,4.25,3.18,0.39,16.04,70.430
B. Assou-Ekotto,rb,13,0.00,1.31,2.62,1.92,0.15,18.40,56.655
F. Diagne,lcb,29,0.03,0.86,0.79,0.17,0.62,19.57,41.504
S. Falette,rb,28,0.18,1.57,2.46,1.71,0.39,16.78,58.883
G. Poblete,rcm,25,0.40,0.64,3.68,0.80,0.84,14.29,58.931
Y. Jouffre,lam,4,0.00,0.25,6.50,1.25,0.75,14.02,63.170
Iván Balliu,lb,25,0.64,0.92,3.84,2.12,0.68,15.34,64.253
N. Roux,rs,35,0.51,0.86,7.43,1.77,1.37,15.00,71.134
L. Deaux,cm,26,0.38,1.04,4.38,1.69,0.85,14.62,64.039
J. Sorbon,rb,29,0.03,1.48,1.31,0.55,0.34,17.39,49.690
L. Phiri,cm,22,0.27,0.95,1.73,0.59,0.77,19.67,52.410
C. Kerbrat,lb,37,0.08,2.03,0.86,1.22,0.32,18.83,53.789
Pedro Rebocho,rb,21,0.48,1.38,4.38,3.00,0.57,16.22,67.191
R. Camara,cam,14,0.86,0.57,10.00,1.29,0.93,13.72,74.739
T. Didillon,gk,9,0.00,0.78,0.11,0.00,1.33,30.88,41.095
K. Johnsson,gk,38,0.00,0.92,0.05,0.05,0.21,41.55,42.151
Y. Salibur,lam,22,0.91,1.00,11.95,1.50,1.64,16.22,78.361
M. Coco,cam,29,0.72,0.97,7.76,1.76,1.28,16.02,72.730
J. Briand,rs,37,0.65,1.00,9.49,1.46,1.70,15.07,74.928
L. Blas,cm,31,0.65,1.10,6.23,1.06,0.97,16.81,69.401
I. Niane,rs,30,0.20,0.50,5.17,1.40,0.63,15.59,62.157
F. Mollet,cam,22,0.45,0.82,6.05,1.23,0.82,15.45,67.115
M. Diallo,cm,26,0.12,0.38,1.85,0.54,0.73,12.52,44.271
H. Diallo,ls,1,0.00,0.00,0.00,1.00,0.00,4.82,30.000
M. Thuram,rs,32,0.56,0.78,9.75,1.72,1.28,15.79,74.512
R. Falcao,st,30,0.30,0.60,11.20,1.03,1.53,14.06,74.794
D. Sidibé,lb,28,0.75,1.14,4.96,2.39,1.04,15.38,68.822
Jemerson,rb,33,0.00,2.03,0.82,1.27,0.39,19.33,53.111
Fabinho,cm,34,0.35,1.88,5.21,0.82,1.68,18.12,68.881
F. Moubandje,rb,21,0.33,1.00,3.67,2.38,0.33,18.70,62.384
C. Jean,ls,33,0.55,0.48,4.21,1.33,1.21,15.14,62.498
I. Sangaré,cm,20,0.45,1.80,6.80,1.10,0.65,18.75,71.326
Rony Lopes,cam,38,1.34,0.68,8.16,2.42,1.87,12.22,75.364
A. Delort,st,32,0.22,0.34,9.25,1.31,1.12,12.96,70.895
C. Jullien,rb,30,0.03,1.20,0.70,0.50,0.43,18.24,44.209
Jorge,rb,22,0.86,0.95,8.05,3.18,1.09,14.37,74.348
T. Lemar,ram,31,1.42,1.26,8.97,2.87,2.16,16.45,78.014
K. Mbappé,ls,35,1.26,0.83,12.71,1.63,2.91,13.66,80.043
A. Lafont,gk,38,0.00,0.84,0.08,0.00,0.37,32.16,38.530
K. Amian,lcb,36,0.31,0.75,3.19,1.50,0.25,15.94,57.465
S. Yago,lb,21,0.52,0.86,3.57,2.10,0.43,12.59,61.710
Z. Machach,lam,4,0.50,0.50,7.75,1.00,2.00,15.53,70.634
A. Blin,cm,26,0.15,0.85,2.92,0.92,0.50,15.04,54.712
Somália,lcm,27,1.37,1.15,9.89,2.11,1.33,15.15,77.794
Y. Bodiger,cm,7,0.00,0.29,1.86,0.57,0.00,11.12,38.479
