Player,PrimaryPosition,Games,Accelerations,LongCarries,Duels,WideRuns,CounterAttacks,AvgCarryDistance,RawRating
Roberto Firmino,st,41,0.63,0.90,8.61,1.59,1.61,14.62,73.514
Mohamed Salah,ls,38,1.21,1.08,13.53,1.66,2.50,15.43,80.785
R. Pereyra,cam,32,0.50,0.62,7.12,1.50,0.88,13.95,69.131
T. Cleverley,cm,23,0.43,1.00,2.87,0.70,1.22,18.15,59.417
Kiko Femenía,lb,23,0.83,0.78,3.96,2.13,0.70,15.34,65.219
Richarlison,rw,38,1.03,1.42,14.39,2.79,1.89,16.00,81.641
A. Gray,st,29,0.10,0.28,6.07,0.38,0.86,14.64,61.815
D. Origi,ls,33,0.24,0.48,11.21,0.82,1.00,14.77,73.949
J. Milner,cam,33,0.18,1.21,2.91,1.33,0.82,17.92,58.860
J. Gomez,lb,23,1.13,1.26,3.30,2.00,0.70,18.00,67.255
J. Livermore,lcm,34,0.18,1.24,3.76,0.94,1.21,16.68,61.439
C. Brunt,rcm,26,0.04,0.85,2.69,1.15,0.81,17.77,54.242
N. Aké,rb,38,0.16,2.03,1.13,0.76,0.24,18.83,54.576
C. Daniels,rb,35,1.20,1.71,3.51,3.80,0.31,16.93,70.570
A. Nyom,lb,29,0.41,0.59,5.34,1.59,0.62,14.26,64.476
H. Arter,cm,13,0.38,2.08,3.00,1.15,0.54,19.97,64.085
M. Phillips,lam,30,0.90,1.43,10.63,2.67,1.27,16.51,78.095
A. Begović,gk,38,0.00,0.74,0.00,0.00,0.24,29.60,35.096
S. Cook,lcb,34,0.24,1.88,0.53,0.50,0.21,19.16,51.230
S. Francis,lb,32,0.28,1.25,1.81,1.81,0.41,16.79,55.907
C. Yacob,cm,16,0.00,0.62,1.50,0.38,0.44,19.76,43.387
B. Foster,gk,37,0.00,1.19,0.11,0.05,0.32,35.38,43.504
A. Surman,cm,25,0.24,1.12,2.08,0.64,0.76,15.19,53.787
J. King,st,33,1.39,0.82,17.42,1.52,1.79,14.26,83.051
R. Fraser,cam,26,1.46,0.92,4.92,2.00,0.81,16.03,70.874
Ahmed Hegazy,rcb,41,0.07,1.66,1.98,0.59,0.51,19.97,55.333
J. Rodriguez,st,37,0.65,0.81,7.43,2.00,1.27,13.83,71.586
J. McClean,ram,34,0.56,1.03,5.97,1.85,1.06,18.35,69.297
S. Field,rcm,11,0.00,0.27,3.18,0.64,0.18,14.18,48.501
M. Pugh,ram,20,0.20,1.20,6.00,2.70,0.60,16.46,68.300
B. Afobe,st,17,0.18,0.41,5.06,0.53,0.47,13.13,59.264
C. Dawson,lb,28,0.04,1.18,2.00,1.04,0.50,16.30,52.107
J. Ibe,lam,32,1.06,0.72,10.75,1.28,0.97,13.75,76.522
J. Defoe,st,24,0.17,0.17,4.12,0.17,0.38,11.17,52.923
H. Robson-Kanu,ls,26,0.12,0.46,8.08,0.65,0.46,14.59,67.416
R. Harper,ram,1,0.00,0.00,1.00,0.00,1.00,0.00,30.000
A. Smith,lb,27,0.96,1.41,5.33,3.59,0.30,16.22,71.603
S. Rondón,st,36,0.25,0.56,16.22,1.22,1.83,12.31,79.858
S. Prödl,lcb,23,0.09,1.00,0.52,0.39,0.22,18.41,40.926
L. Mousset,st,23,0.52,0.26,5.74,0.39,0.57,14.11,63.286
E. Capoue,cm,23,0.09,0.43,3.70,0.65,0.43,13.84,53.707
C. Kabasele,rcb,28,0.07,1.46,1.11,0.71,0.14,20.07,49.568
B. Watson,cm,8,0.00,0.62,1.00,0.25,0.50,14.03,37.608
G. Barry,cm,25,0.04,1.20,2.60,0.80,0.60,17.12,54.776
A. Barnes,st,36,0.14,0.53,6.92,1.03,0.61,14.39,65.741
Joselu,st,30,0.03,0.53,5.00,0.87,0.60,12.88,59.220
M. Diamé,cm,31,0.29,0.68,4.87,1.16,0.87,12.51,62.277
J. Murphy,cam,25,0.96,0.68,6.60,1.72,1.44,14.83,71.167
M. Hefele,lcb,2,0.00,0.50,0.00,0.00,0.00,29.20,30.651
I. Slimani,st,16,0.25,0.25,3.81,0.50,0.94,12.98,55.278
A. Robertson,rb,22,1.50,1.45,2.86,3.05,0.73,16.66,69.724
R. Klavan,rb,18,0.00,2.22,1.11,1.22,0.44,20.67,55.797
D. Sturridge,ls,18,0.17,0.39,6.78,0.78,1.00,14.47,65.255
D. Solanke,st,19,0.21,0.42,4.63,0.42,0.74,14.03,58.574
S. Kaikai,ram,1,0.00,0.00,3.00,1.00,0.00,14.40,45.770
J. McArthur,cm,33,0.36,1.27,5.70,1.39,1.45,15.86,68.218
J. Schlupp,rb,24,0.50,1.04,4.79,1.96,0.83,15.57,66.168
M. Holgate,lb,15,0.20,0.40,3.13,1.27,0.27,12.51,52.942
G. Sigurðsson,rcm,35,0.23,0.97,6.89,2.00,1.06,14.56,69.080
M. Bešić,lcm,2,0.00,1.50,2.00,0.00,1.00,41.51,57.719
S. Mustafi,lcb,29,0.07,1.83,1.07,0.55,0.76,19.96,52.989
Jesé Rodríguez,rs,13,0.92,0.69,6.31,1.00,2.38,15.95,70.835
Ramadan Sobhi,ram,27,0.78,0.78,7.15,1.78,1.11,16.23,71.453
A. Iwobi,cam,29,0.86,1.00,7.66,2.28,2.38,13.91,74.138
B. Martins Indi,rcb,17,0.00,0.47,0.71,0.24,0.29,13.25,31.871
Roque Mesa,cm,18,0.28,1.44,2.72,0.83,0.61,18.80,59.168
L. Narsingh,lam,18,0.83,0.17,6.28,1.33,0.56,12.64,67.078
Ander Herrera,lcm,26,0.00,0.92,3.08,0.77,1.04,17.32,55.483
T. Bakayoko,rcm,29,0.66,0.97,6.00,1.00,1.24,16.46,68.808
V. Moses,lam,31,0.87,0.87,8.16,2.39,0.87,14.65,73.693
K. Trippier,lb,30,0.50,1.10,2.97,3.10,0.60,15.12,62.888
Pedro,st,33,1.15,0.42,4.45,0.91,1.00,13.79,65.786
V. Janssen,rw,1,0.00,0.00,0.00,0.00,0.00,0.00,30.000
C. Kouyaté,lcm,36,0.33,0.61,4.72,1.33,0.75,13.17,62.041
M. Antonio,ls,21,1.00,0.90,15.14,2.00,1.33,15.16,81.078
João Mário,cam,38,1.13,0.66,7.74,1.47,2.21,14.03,73.817
P. Højbjerg,cm,23,0.43,0.87,6.78,1.57,1.48,13.95,69.500
W. Hoedt,rb,28,0.32,2.14,2.21,1.14,0.61,20.33,61.901
M. Lemina,cm,25,0.92,1.28,6.68,0.72,0.72,16.69,71.354
A. McCarthy,gk,18,0.00,0.78,0.00,0.00,0.17,32.25,36.406
S. Long,st,34,0.29,0.24,5.26,0.85,0.97,12.33,61.184
J. Hugill,rs,3,0.00,0.00,2.33,0.00,0.00,0.00,31.818
J. Cullen,lcm,2,0.00,0.50,0.50,0.00,0.00,32.11,36.351
G. Carrillo,st,22,0.09,0.27,2.23,0.23,0.36,18.93,45.089
T. Mings,rb,4,0.00,0.50,1.50,0.50,0.25,16.53,40.841
D. Gosling,cm,28,0.25,0.82,4.43,0.75,0.61,13.74,60.478
B. Mendy,rb,8,0.88,0.75,2.75,1.88,1.00,22.75,63.336
A. Lennon,lam,29,0.59,0.76,5.28,1.69,0.62,14.59,66.133
S. Clucas,rcm,29,0.52,0.83,1.93,1.21,0.48,15.58,54.912
M. van der Hoorn,lb,24,0.08,1.79,1.17,1.50,0.25,19.28,54.135
M. Kelly,lb,15,0.13,0.67,0.53,0.60,0.27,17.98,39.019
Lee Chung-Yong,cam,7,0.14,0.29,1.71,0.86,0.00,16.96,43.029
Y. Cabaye,cm,33,0.09,0.79,3.48,1.18,1.67,13.95,58.388
Àngel Rangel,lb,4,0.75,0.75,1.25,1.25,0.00,34.28,56.855
A. Sánchez,rs,31,0.94,0.94,15.74,1.45,2.52,13.72,81.586
L. Koscielny,lcb,32,0.06,1.31,1.44,0.84,0.69,18.07,51.133
L. Karius,gk,19,0.00,0.74,0.16,0.00,0.42,30.69,37.565
F. Coquelin,cm,16,0.19,0.25,3.88,0.38,0.75,14.30,54.530
M. Grujić,rcm,3,0.33,0.00,0.67,0.00,0.67,0.00,30.000
A. King,cm,25,0.04,0.48,1.68,0.16,0.20,16.64,41.260
J. Collins,lcb,15,0.00,1.13,0.27,0.47,0.33,25.06,41.993
M. Lanzini,cam,27,1.11,0.74,8.89,1.78,1.56,14.06,75.183
