Player,PrimaryPosition,Games,pass_acc,through_acc,freekick_acc,assists_pg,avg_pg,consistency,turnover_rate,Rating
M. Gaćinović,cam,29,0.744,0.259,0.400,0.172,20.586,0.813,0.256,77.31
D. Abraham,cb,27,0.857,0.182,0.667,0.037,45.704,0.752,0.143,83.12
D. Kamada,cam,3,0.938,0.000,0.000,0.333,10.667,0.931,0.062,80.73
M. Frantz,cm,15,0.791,0.125,0.500,0.067,14.333,0.847,0.209,78.24
P. Stenzel,lb,25,0.785,0.143,0.429,0.200,33.680,0.874,0.215,80.53
J. de Guzmán,cm,16,0.827,0.350,0.538,0.250,35.125,0.931,0.173,82.35
L. Hradecky,gk,34,0.876,0.000,0.000,0.000,26.029,0.909,0.124,81.21
S. Haller,st,31,0.758,0.200,0.429,0.258,18.097,0.843,0.242,77.97
J. Willems,rb,23,0.766,0.500,0.667,0.609,25.043,0.856,0.234,81.66
M. Hasebe,cdm,28,0.892,0.176,0.000,0.000,46.893,0.920,0.108,84.47
N. Petersen,st,32,0.700,0.667,0.538,0.344,15.531,0.839,0.300,76.96
K. Boateng,cam,31,0.799,0.270,0.600,0.161,32.161,0.860,0.201,80.95
M. Terrazzino,rw,24,0.820,0.214,0.538,0.458,24.500,0.879,0.180,82.12
D. da Costa,lb,17,0.751,0.300,0.278,0.471,32.588,0.845,0.249,80.61
Raffael,st,27,0.831,0.444,0.000,0.481,28.296,0.901,0.169,83.18
C. Kramer,cm,27,0.893,0.318,0.250,0.111,52.556,0.929,0.107,86.16
M. Ginter,lb,34,0.901,0.300,0.000,0.029,56.529,0.915,0.099,86.75
J. Vestergaard,cb,32,0.885,0.310,0.000,0.031,57.156,0.910,0.115,86.12
D. Zakaria,cm,32,0.922,0.600,0.000,0.062,30.656,0.925,0.078,84.79
N. Elvedi,cb,33,0.864,0.600,0.455,0.121,43.697,0.900,0.136,85.11
I. Traoré,lam,7,0.810,0.500,0.700,0.429,16.571,0.816,0.190,80.50
L. Bittencourt,ram,22,0.748,0.043,0.314,0.364,30.000,0.879,0.252,79.62
M. Jojić,cam,25,0.816,0.778,0.438,0.320,22.880,0.873,0.184,81.87
O. Wendt,rb,28,0.799,0.167,0.303,0.179,39.250,0.908,0.201,81.65
K. Rausch,rb,12,0.725,0.200,0.286,0.000,32.750,0.851,0.275,78.21
T. Horn,gk,34,0.822,0.000,0.000,0.000,18.500,0.855,0.178,78.05
D. Heintz,rb,31,0.850,0.250,0.300,0.097,46.581,0.883,0.150,83.94
F. Sørensen,lb,28,0.811,0.111,0.333,0.000,30.464,0.856,0.189,79.72
J. Córdoba,st,18,0.743,0.400,0.667,0.056,9.500,0.766,0.257,76.40
M. Risse,lam,16,0.661,0.355,0.286,0.375,32.625,0.824,0.339,77.91
L. Klünter,lb,19,0.661,0.222,0.138,0.368,21.421,0.651,0.339,75.62
M. Lehmann,cdm,20,0.855,0.167,0.400,0.000,39.250,0.910,0.145,82.23
L. Stindl,lw,31,0.850,0.383,0.429,0.419,48.742,0.916,0.150,86.56
T. Hazard,rw,36,0.777,0.378,0.324,0.417,34.056,0.894,0.223,82.08
J. Horn,rb,11,0.796,0.000,0.600,0.364,26.273,0.810,0.204,80.34
S. Guirassy,rw,15,0.815,0.000,0.000,0.200,13.333,0.870,0.185,78.91
S. Zoller,rw,17,0.729,0.200,0.333,0.294,16.294,0.759,0.271,77.34
R. Bobadilla,st,13,0.784,0.000,0.500,0.154,8.538,0.629,0.216,77.27
P. Herrmann,lam,23,0.700,0.250,0.400,0.217,15.522,0.691,0.300,75.39
J. Hofmann,lam,23,0.735,0.273,0.556,0.130,16.391,0.724,0.265,76.38
F. Di Santo,st,30,0.718,0.357,0.471,0.133,14.167,0.796,0.282,75.51
Naldo,cb,34,0.896,0.308,0.000,0.029,45.676,0.918,0.104,85.21
W. Orban,cb,26,0.865,0.286,0.500,0.115,47.192,0.861,0.135,84.41
T. Werner,st,35,0.699,0.333,0.219,0.343,20.686,0.832,0.301,76.58
N. Keïta,cam,27,0.820,0.291,0.429,0.259,43.333,0.916,0.180,83.55
L. Klostermann,cb,26,0.780,0.273,0.304,0.231,36.346,0.900,0.220,81.05
D. Upamecano,rb,28,0.863,0.400,0.000,0.036,48.393,0.838,0.137,83.87
M. Halstenberg,rb,15,0.802,0.286,0.364,0.133,37.667,0.778,0.198,80.69
T. Kehrer,cb,27,0.866,0.400,1.000,0.037,43.852,0.919,0.134,84.55
L. Goretzka,lcm,27,0.812,0.158,0.357,0.222,31.926,0.909,0.188,81.46
D. Caligiuri,lcm,33,0.737,0.250,0.200,0.212,38.273,0.878,0.263,79.54
Y. Poulsen,lw,33,0.702,0.263,0.500,0.121,16.273,0.752,0.298,74.63
M. Nastasić,rb,24,0.905,0.000,0.000,0.000,45.708,0.913,0.095,84.17
B. Oczipka,rb,29,0.761,0.333,0.440,0.345,35.414,0.882,0.239,81.14
N. Bentaleb,cm,16,0.831,0.300,0.000,0.000,32.188,0.846,0.169,80.42
A. Harit,cam,32,0.834,0.400,0.467,0.375,23.656,0.900,0.166,82.62
P. Gulácsi,gk,33,0.863,0.667,0.000,0.000,22.970,0.864,0.137,81.24
K. Laimer,lcm,22,0.798,0.167,0.571,0.091,27.455,0.842,0.202,79.68
R. Fährmann,gk,34,0.864,0.333,0.000,0.000,17.088,0.902,0.136,80.17
F. Reese,lw,6,0.889,0.000,0.000,0.000,3.000,0.442,0.111,78.67
Bruma,rw,28,0.805,0.385,0.273,0.357,28.036,0.865,0.195,81.62
W. McKennie,cm,22,0.747,0.261,0.500,0.045,21.545,0.700,0.253,76.79
J. Augustin,st,25,0.813,0.667,0.250,0.200,10.040,0.703,0.187,78.60
M. Meyer,cm,24,0.910,0.625,0.333,0.042,42.333,0.768,0.090,84.72
J. Gouweleeuw,cb,27,0.818,0.357,0.625,0.037,40.667,0.875,0.182,82.04
A. Hahn,lw,22,0.573,0.250,0.250,0.182,13.409,0.554,0.427,70.60
D. Baier,rcm,29,0.781,0.188,0.611,0.207,51.414,0.887,0.219,82.88
Ja-Cheol Koo,cam,30,0.837,0.438,0.600,0.100,25.400,0.894,0.163,81.48
P. Max,rb,33,0.725,0.111,0.550,0.485,35.273,0.880,0.275,80.44
R. Framberger,lb,9,0.664,0.250,0.350,0.667,30.111,0.767,0.336,79.10
R. van Drongelen,rb,18,0.777,0.000,0.500,0.000,34.111,0.811,0.223,79.00
F. Kostić,ram,33,0.643,0.300,0.453,0.333,22.727,0.776,0.357,74.74
M. Hitz,gk,31,0.863,0.000,0.000,0.000,22.645,0.911,0.137,80.33
Walace,rcm,18,0.831,0.300,0.500,0.111,32.889,0.865,0.169,81.42
D. Diekmeier,lb,22,0.675,0.500,0.481,0.182,27.727,0.812,0.325,76.79
N. Müller,lam,2,0.833,0.000,0.000,0.000,6.000,1.000,0.167,79.65
K. Papadopoulos,cb,29,0.800,0.333,0.000,0.000,36.483,0.888,0.200,80.27
G. Jung,cb,30,0.813,0.462,0.600,0.033,32.833,0.844,0.187,80.99
Caiuby,ram,33,0.725,0.286,0.550,0.333,27.030,0.867,0.275,78.73
M. Gregoritsch,rw,32,0.746,0.235,0.273,0.094,21.125,0.831,0.254,76.81
J. Schmid,lcm,25,0.770,0.250,0.167,0.240,17.920,0.850,0.230,78.32
B. Wood,st,24,0.783,0.333,0.333,0.083,11.917,0.827,0.217,77.43
C. Mathenia,gk,24,0.814,1.000,0.000,0.000,17.917,0.855,0.186,79.46
A. Hunt,cam,29,0.796,0.318,0.400,0.379,32.448,0.889,0.204,82.11
S. Córdova,st,25,0.771,0.000,0.333,0.080,5.240,0.695,0.229,75.15
L. Waldschmidt,rw,20,0.744,0.500,0.500,0.100,11.150,0.610,0.256,76.02
E. Thommy,cam,20,0.734,0.429,0.273,0.200,17.700,0.829,0.266,77.49
S. Schipplock,st,9,0.642,0.000,0.000,0.000,5.889,0.568,0.358,74.35
N. Füllkrug,st,34,0.696,0.133,0.417,0.294,17.676,0.783,0.304,75.41
P. Schwegler,cm,28,0.844,0.538,0.750,0.036,39.357,0.917,0.156,83.35
F. Hübner,lb,5,0.858,0.000,0.000,0.000,31.000,0.886,0.142,80.35
P. Tschauner,gk,31,0.885,0.000,0.000,0.000,23.065,0.912,0.115,81.14
V. Fischer,rw,11,0.794,0.333,1.000,0.182,9.727,0.821,0.206,79.05
J. Korb,lb,28,0.709,0.429,0.396,0.286,32.036,0.859,0.291,78.66
F. Klaus,cam,28,0.761,0.250,0.375,0.179,21.821,0.866,0.239,78.31
W. Anton,cb,27,0.836,0.000,0.429,0.000,41.667,0.917,0.164,82.02
A. Diallo,rb,27,0.798,0.500,0.591,0.037,38.778,0.896,0.202,81.45
G. Donati,lb,28,0.759,0.188,0.672,0.321,29.607,0.863,0.241,80.09
D. Brosinski,rb,29,0.722,0.348,0.437,0.310,36.207,0.869,0.278,79.67
D. Latza,rcm,29,0.822,0.214,0.429,0.207,39.448,0.921,0.178,82.86
S. Bell,cb,25,0.812,0.267,0.500,0.080,33.600,0.856,0.188,80.89
P. De Blasis,rw,25,0.751,0.304,0.308,0.240,27.640,0.870,0.249,79.10
R. Adler,gk,14,0.812,0.333,0.000,0.071,19.429,0.773,0.188,78.96
Felipe,rb,6,0.829,0.333,0.250,0.167,42.000,0.925,0.171,81.27
K. Karaman,rw,20,0.778,0.250,0.600,0.200,12.400,0.819,0.222,78.15
M. Ostrzolek,rb,27,0.693,0.333,0.482,0.296,35.519,0.877,0.307,78.64
A. Maxim,cam,22,0.832,0.143,0.250,0.136,17.091,0.873,0.168,79.68
Y. Muto,rw,28,0.778,0.300,0.600,0.179,10.929,0.756,0.222,77.32
R. Quaison,cam,23,0.745,0.250,0.000,0.000,11.261,0.709,0.255,74.95
L. Öztunali,lam,25,0.734,0.533,0.267,0.320,18.040,0.721,0.266,77.55
M. Bakalorz,cm,28,0.736,0.217,0.444,0.179,20.964,0.815,0.264,77.15
K. Kodro,st,6,0.818,0.000,0.000,0.000,9.167,0.445,0.182,78.04
C. Benschop,lw,6,0.731,0.500,0.000,0.000,8.667,0.718,0.269,77.68
S. Papastathopoulos,lb,29,0.901,0.278,0.500,0.069,60.690,0.926,0.099,87.49
Bartra,cb,28,0.864,0.346,0.273,0.107,58.536,0.908,0.136,85.95
D. Zagadou,rb,11,0.861,0.000,0.250,0.091,36.545,0.910,0.139,81.58
C. Pulisic,lam,32,0.770,0.333,0.333,0.375,26.656,0.789,0.230,80.01
M. Philipp,rw,20,0.778,0.364,0.000,0.200,13.950,0.826,0.222,78.05
G. Castro,cam,19,0.872,0.450,0.429,0.421,40.158,0.949,0.128,85.21
R. Bazoer,cm,11,0.864,0.333,0.500,0.000,21.455,0.871,0.136,80.59
Y. Gerhardt,rb,17,0.793,0.200,0.200,0.059,31.882,0.901,0.207,79.89
R. Knoche,cb,24,0.891,0.000,0.000,0.000,55.667,0.908,0.109,84.81
K. Casteels,gk,34,0.860,0.500,0.000,0.000,26.382,0.910,0.140,81.53
D. Didavi,cam,30,0.774,0.250,0.276,0.133,28.967,0.869,0.226,79.27
R. Bürki,gk,33,0.870,0.000,0.000,0.000,27.636,0.875,0.130,81.01
K. Hinds,rw,1,0.500,0.000,0.000,0.000,10.000,1.000,0.500,78.95
P. Verhaegh,lb,31,0.810,0.312,0.488,0.226,44.290,0.902,0.190,83.36
F. Uduokhai,cb,19,0.877,0.333,0.000,0.000,45.211,0.804,0.123,82.90
Camacho,cdm,11,0.820,0.273,0.000,0.000,41.364,0.924,0.180,80.97
L. Dimata,rw,20,0.772,0.000,0.000,0.000,9.000,0.802,0.228,75.86
M. Dahoud,ram,23,0.847,0.300,0.500,0.174,28.913,0.905,0.153,82.13
M. Arnold,rcm,29,0.850,0.250,0.400,0.103,42.828,0.904,0.150,83.60
F. Passlack,lcm,3,0.930,0.000,0.000,0.333,14.333,0.897,0.070,80.74
J. Guilavogui,lcm,29,0.873,0.250,0.400,0.207,45.207,0.925,0.127,85.34
S. Kagawa,cam,22,0.879,0.462,0.250,0.273,38.227,0.894,0.121,84.53
Ö. Toprak,cb,26,0.921,0.188,0.000,0.000,66.615,0.785,0.079,86.94
G. Haraguchi,cam,9,0.813,0.000,0.333,0.000,14.889,0.592,0.187,78.16
D. Demme,cm,30,0.842,0.276,0.438,0.200,65.233,0.903,0.158,86.72
O. Bulut,lam,1,0.667,0.000,1.000,0.000,6.000,1.000,0.333,79.43
F. Kath,ram,24,0.735,0.250,0.222,0.125,7.708,0.679,0.265,74.84
D. Kaiser,lam,9,0.735,0.200,0.500,0.111,15.111,0.556,0.265,77.27
Y. Ōsako,st,29,0.757,0.269,0.250,0.310,22.448,0.847,0.243,78.81
C. Clemens,lcm,13,0.736,0.417,0.500,0.308,16.000,0.818,0.264,78.40
J. Eggestein,st,6,0.688,0.000,0.333,0.167,5.333,0.681,0.312,77.06
M. Tisserand,cb,16,0.848,0.250,0.118,0.000,41.125,0.868,0.152,81.75
B. Hrgota,rw,5,0.689,0.000,0.000,0.000,9.000,0.753,0.311,77.32
T. Tawatha,rb,12,0.743,0.000,0.500,0.250,12.667,0.616,0.257,77.16
S. Wagner,rw,25,0.754,0.600,0.000,0.040,16.760,0.740,0.246,76.54
E. Bičakčić,cb,9,0.887,0.000,0.000,0.000,31.444,0.863,0.113,81.02
L. Rupp,cm,21,0.786,0.312,0.364,0.238,21.381,0.849,0.214,79.50
F. Grillitsch,cm,25,0.855,0.160,0.400,0.240,39.440,0.908,0.145,83.75
André Ramalho,cb,3,0.812,0.000,0.000,0.000,5.333,0.844,0.188,79.16
S. Kießling,st,8,0.700,0.000,0.000,0.000,2.500,0.447,0.300,75.27
L. Bénes,cm,2,0.792,1.000,0.500,1.000,12.000,0.951,0.208,80.68
M. Heller,lam,24,0.596,0.500,0.377,0.208,13.833,0.752,0.404,72.45
R. Khedira,cdm,30,0.794,0.000,0.375,0.100,27.333,0.874,0.206,79.25
S. Sané,cb,35,0.875,0.222,0.000,0.029,47.743,0.911,0.125,84.57
G. Burgstaller,st,32,0.754,0.273,0.250,0.219,15.219,0.819,0.246,77.06
Jonathas,rw,12,0.703,0.400,0.333,0.083,10.667,0.748,0.297,76.26
S. Maier,rcm,10,0.757,0.000,1.000,0.000,11.500,0.401,0.243,76.52
T. Baumgartl,cb,29,0.852,0.000,0.143,0.000,47.655,0.895,0.148,82.99
B. Özcan,ram,16,0.835,0.455,0.600,0.250,24.688,0.861,0.165,81.52
Javi Martínez,cm,22,0.917,0.273,0.667,0.182,50.591,0.934,0.083,86.76
N. Schulz,ram,27,0.747,0.167,0.579,0.407,31.815,0.832,0.253,80.19
J. Rodríguez,cam,26,0.884,0.368,0.422,0.500,59.077,0.926,0.116,88.82
P. Ochs,lw,3,0.684,0.000,0.000,0.000,6.333,0.752,0.316,78.14
V. Stocker,cam,3,0.786,0.000,0.000,0.000,4.667,0.518,0.214,78.61
I. Belfodil,st,26,0.697,0.250,0.235,0.269,13.692,0.629,0.303,74.66
V. Sierro,cam,4,0.667,0.000,0.000,0.000,16.500,0.598,0.333,77.60
Y. Ravet,lam,10,0.677,0.333,0.462,0.500,16.100,0.751,0.323,77.88
M. Schmelzer,rb,18,0.841,0.125,0.320,0.056,59.778,0.913,0.159,83.88
C. Söyüncü,rb,26,0.872,0.111,0.333,0.000,40.231,0.905,0.128,83.02
L. Kübler,lb,15,0.813,0.667,0.727,0.000,26.400,0.855,0.187,80.36
C. Salcedo,cb,24,0.865,0.000,0.500,0.000,46.833,0.888,0.135,83.33
A. Rebić,rw,31,0.597,0.196,0.281,0.387,18.548,0.785,0.403,72.79
M. Russ,cb,18,0.844,0.000,0.000,0.000,30.000,0.854,0.156,80.24
J. Villalba,st,1,0.333,0.000,0.000,0.000,3.000,1.000,0.667,78.43
B. Stambouli,lcm,28,0.847,0.421,0.000,0.107,46.571,0.871,0.153,83.67
A. Beck,lb,23,0.743,0.182,0.432,0.217,37.826,0.846,0.257,79.69
S. Ascacíbar,cm,29,0.869,0.143,0.375,0.000,38.379,0.934,0.131,83.06
M. Höger,cm,23,0.863,0.286,0.600,0.043,46.304,0.756,0.137,83.29
D. Opare,lb,17,0.665,0.133,0.311,0.235,26.000,0.819,0.335,76.45
Jorge Meré,cb,22,0.884,0.000,0.500,0.000,41.818,0.831,0.116,82.98
J. Morávek,cm,16,0.826,0.333,0.000,0.125,20.062,0.879,0.174,79.86
Bernardo,rb,17,0.783,0.250,0.412,0.176,40.118,0.888,0.217,81.05
L. Holtby,cam,15,0.794,0.474,0.500,0.267,34.933,0.829,0.206,81.27
G. Sakai,cb,29,0.796,0.400,0.452,0.138,39.517,0.860,0.204,81.64
L. Balogun,lb,17,0.804,1.000,1.000,0.000,32.118,0.891,0.196,81.41
S. Serdar,cam,25,0.839,0.333,0.333,0.080,21.560,0.863,0.161,80.37
K. Havertz,lam,30,0.846,0.550,0.579,0.267,33.600,0.885,0.154,83.86
J. Pohjanpalo,st,6,0.846,0.000,0.000,0.000,2.167,0.505,0.154,78.19
K. Onisiwo,lam,8,0.667,1.000,0.000,0.250,7.875,0.648,0.333,76.94
William,rb,22,0.749,0.188,0.343,0.182,37.818,0.873,0.251,79.76
M. Schmiedebach,cm,5,0.686,0.000,0.500,0.200,14.000,0.767,0.314,78.03
I. Bebou,st,30,0.744,0.333,0.344,0.500,19.367,0.813,0.256,79.05
J. Gbamin,cdm,30,0.824,0.105,0.375,0.033,36.467,0.901,0.176,81.33
J. Weigl,cm,25,0.881,0.429,0.000,0.040,46.800,0.907,0.119,84.43
F. Lustenberger,cb,23,0.862,0.333,0.333,0.043,35.304,0.889,0.138,82.49
I. Hajrović,lam,9,0.761,0.000,0.600,0.000,7.889,0.772,0.239,77.35
L. Jović,st,22,0.732,0.231,0.333,0.091,10.000,0.771,0.268,75.46
P. Retsos,cb,24,0.868,0.250,0.333,0.042,43.000,0.883,0.132,83.43
L. Bender,lcm,20,0.818,0.214,0.409,0.200,41.200,0.903,0.182,82.37
R. Kent,cam,6,0.689,0.000,0.000,0.000,10.167,0.710,0.311,76.88
B. Jatta,lam,9,0.725,0.000,0.000,0.000,10.111,0.734,0.275,76.50
Douglas Santos,rb,27,0.757,0.400,0.528,0.222,40.815,0.869,0.243,81.03
S. Salihović,cam,10,0.804,0.000,0.333,0.100,19.900,0.850,0.196,79.18
T. Knöll,lw,1,1.000,0.000,0.000,0.000,3.000,1.000,0.000,80.24
D. Maroh,cb,11,0.929,0.000,0.000,0.000,39.909,0.957,0.071,82.90
M. Wolf,lam,28,0.703,0.333,0.342,0.393,29.464,0.882,0.297,78.66
T. Sippel,gk,5,0.833,1.000,0.000,0.000,27.600,0.849,0.167,80.41
M. Cuisance,lam,24,0.837,0.360,0.625,0.250,25.792,0.894,0.163,82.06
F. Johnson,rcm,9,0.645,0.200,0.250,0.222,12.222,0.702,0.355,76.08
D. Burnic,ram,6,0.905,0.667,0.000,0.000,43.667,0.907,0.095,82.06
B. Schmitz,lb,1,0.814,0.000,0.000,0.000,43.000,1.000,0.186,80.12
Y. Mvogo,gk,1,0.903,0.000,0.000,0.000,31.000,1.000,0.097,80.25
M. Compper,cb,2,0.966,0.000,0.000,0.000,29.000,0.995,0.034,80.76
V. Janjičić,cm,7,0.809,0.333,0.000,0.000,20.143,0.539,0.191,78.66
J. Bruun Larsen,lw,5,0.688,0.000,0.000,0.000,6.400,0.610,0.312,76.97
Jairo Samperio,cam,13,0.669,0.000,0.333,0.154,11.385,0.752,0.331,75.22
L. Caldirola,rb,1,0.690,0.000,0.000,0.000,29.000,1.000,0.310,79.65
G. Itter,rb,5,0.780,0.200,0.333,0.200,30.000,0.852,0.220,79.95
N. Moisander,rb,25,0.881,0.263,0.571,0.040,56.640,0.920,0.119,85.80
L. Alario,st,23,0.810,0.333,1.000,0.087,14.913,0.839,0.190,79.22
T. Ito,cam,20,0.792,0.333,0.412,0.150,18.250,0.734,0.208,78.54
S. Özcan,cm,23,0.836,0.273,0.750,0.130,35.478,0.863,0.164,82.28
G. Kačar,cdm,4,0.776,0.000,0.000,0.000,16.750,0.763,0.224,78.87
D. Ginczek,st,23,0.708,0.364,0.200,0.130,12.348,0.679,0.292,74.78
I. Konaté,lb,15,0.840,0.364,0.000,0.067,40.400,0.899,0.160,81.86
C. Pizarro,rw,16,0.780,0.333,0.000,0.000,13.062,0.796,0.220,77.25
T. Handwerker,rb,11,0.699,0.000,0.273,0.091,12.364,0.816,0.301,76.30
V. Lazaro,cam,26,0.755,0.273,0.500,0.346,23.038,0.866,0.245,79.33
R. Hack,lam,2,0.625,0.000,1.000,0.500,8.000,0.823,0.375,79.04
V. Grifo,ram,16,0.791,0.571,0.455,0.438,23.625,0.683,0.209,80.51
M. Stendera,cm,7,0.729,0.000,0.000,0.000,20.000,0.817,0.271,77.82
S. Medojević,lcm,1,0.750,0.000,0.000,0.000,12.000,1.000,0.250,79.65
E. Ofori,lcm,1,0.750,0.000,0.000,0.000,8.000,1.000,0.250,79.61
U. Garcia,rb,1,0.895,0.000,0.000,0.000,19.000,1.000,0.105,80.11
V. Osimhen,lw,10,0.708,0.000,0.250,0.000,7.200,0.375,0.292,74.89
K. Danso,lb,15,0.764,0.333,0.333,0.067,32.200,0.875,0.236,79.38
S. Posch,cb,9,0.874,0.000,0.333,0.000,51.333,0.947,0.126,82.42
D. Selke,st,27,0.673,0.143,0.375,0.222,13.148,0.760,0.327,74.04
A. Barkok,cam,9,0.774,0.500,0.333,0.222,12.778,0.568,0.226,78.34
E. Insúa,rb,25,0.730,0.200,0.439,0.240,33.440,0.873,0.270,79.05
P. Olkowski,lb,5,0.504,0.333,0.111,0.000,23.800,0.742,0.496,76.02
A. Maier,cm,17,0.849,0.375,0.429,0.294,36.118,0.900,0.151,83.11
R. Koch,cb,26,0.841,0.333,0.000,0.000,34.654,0.857,0.159,81.24
Coke,cb,17,0.767,0.571,0.333,0.118,31.765,0.876,0.233,79.89
J. Sancho,ram,12,0.852,0.600,0.471,0.333,29.833,0.904,0.148,82.53
I. Fossum,rcm,19,0.830,0.111,0.462,0.263,32.842,0.924,0.170,82.09
K. Akpoguma,lb,22,0.880,0.143,0.167,0.091,43.455,0.852,0.120,83.53
T. Jantschke,lb,13,0.717,0.333,0.200,0.000,25.846,0.641,0.283,76.82
J. Arp,st,15,0.675,0.333,0.000,0.067,8.400,0.588,0.325,73.94
Dong-Won Ji,rw,3,0.600,0.000,0.000,0.000,1.667,0.567,0.400,77.20
J. Brooks,rb,9,0.897,0.000,0.000,0.000,37.667,0.896,0.103,81.67
R. Zentner,gk,15,0.811,0.000,0.000,0.000,22.600,0.922,0.189,79.00
D. Blum,ram,2,0.636,1.000,0.000,0.000,5.500,0.674,0.364,78.63
O. Sorg,lb,22,0.736,0.083,0.381,0.182,30.273,0.874,0.264,78.45
A. Grgic,ram,1,1.000,0.000,0.000,0.000,10.000,1.000,0.000,80.31
C. Stanko,cdm,5,0.849,0.000,0.000,0.000,23.800,0.413,0.151,79.20
A. Jóhannsson,lw,10,0.818,0.500,0.500,0.200,8.800,0.885,0.182,79.63
Juan Bernat,rb,11,0.914,0.500,0.385,0.364,43.545,0.936,0.086,84.70
M. Mittelstädt,rb,10,0.740,0.400,0.300,0.200,15.000,0.760,0.260,78.06
J. Drmic,lw,15,0.742,0.000,0.500,0.000,8.800,0.667,0.258,75.55
M. Esser,gk,3,0.963,0.000,0.000,0.000,27.000,0.925,0.037,80.94
Miiko Albornoz,rb,10,0.785,0.333,0.538,0.400,32.600,0.848,0.215,81.03
G. Holtmann,ram,17,0.695,0.444,0.389,0.176,16.412,0.800,0.305,76.45
K. Guédé,lw,2,0.400,0.000,0.000,0.000,5.000,0.434,0.600,76.98
R. Weidenfeller,gk,1,0.786,0.000,0.000,0.000,28.000,1.000,0.214,79.90
Y. Bisseck,lb,3,0.947,0.000,0.000,0.000,25.333,0.661,0.053,80.51
A. Ouahim,lam,1,0.750,0.000,0.000,0.000,8.000,1.000,0.250,79.61
N. Nartey,cb,1,1.000,0.000,0.000,0.000,5.000,1.000,0.000,80.26
A. Hack,rb,15,0.812,0.286,0.250,0.067,39.467,0.896,0.188,81.17
E. Berggreen,st,14,0.710,0.000,0.000,0.000,8.857,0.663,0.290,74.66
M. Friedl,rb,9,0.797,0.333,0.455,0.333,36.667,0.876,0.203,81.26
O. Wriedt,rw,1,0.286,0.000,0.000,0.000,7.000,1.000,0.714,78.34
A. Isak,st,4,0.762,0.000,0.000,0.250,5.250,0.313,0.238,78.14
B. Risa,cb,2,0.765,0.500,0.000,0.000,8.500,0.798,0.235,79.32
T. Starke,gk,2,0.857,0.000,0.000,0.000,21.000,0.830,0.143,79.93
F. Kusič,rb,1,0.000,0.000,0.000,0.000,1.000,1.000,1.000,77.51
C. Führich,ram,2,0.821,0.000,0.000,0.000,14.000,0.850,0.179,79.63
N. Sarenren-Bazee,lam,5,0.500,0.000,0.500,0.000,4.400,0.502,0.500,74.73
O. Käuper,cm,1,0.733,0.000,0.000,0.000,30.000,1.000,0.267,79.78
J. Bruma,lb,11,0.909,0.000,1.000,0.000,53.091,0.957,0.091,83.96
M. Benger,lcm,1,1.000,0.000,0.000,0.000,1.000,1.000,0.000,80.22
R. Steffen,cm,15,0.780,0.000,0.000,0.067,14.267,0.830,0.220,77.48
M. Gulde,cb,17,0.873,0.333,0.200,0.059,43.647,0.945,0.127,83.40
Omar Mascarell,cm,9,0.862,0.357,0.250,0.111,49.889,0.921,0.138,82.63
L. Höler,lw,13,0.668,0.222,0.500,0.000,15.538,0.792,0.332,75.42
M. Dräger,lam,2,0.455,0.000,0.000,0.000,5.500,0.917,0.545,77.62
J. Pollersbeck,gk,10,0.872,0.000,0.000,0.000,42.900,0.897,0.128,81.68
N. de Jong,cdm,11,0.855,0.500,0.500,0.000,30.182,0.649,0.145,80.57
A. Ujah,st,9,0.500,0.000,0.500,0.111,4.444,0.142,0.500,71.26
T. Kraft,gk,3,0.796,0.000,0.000,0.000,31.000,0.791,0.204,79.67
R. Gikiewicz,gk,2,0.850,0.000,0.000,0.000,20.000,0.975,0.150,79.98
J. Elez,rb,10,0.833,0.250,0.333,0.000,34.800,0.898,0.167,80.79
E. Rexhbecaj,rcm,4,0.708,0.000,0.000,0.000,12.000,0.689,0.292,77.97
S. Jung,lb,2,0.600,1.000,0.000,0.000,12.500,0.607,0.400,78.52
M. Akanji,cb,15,0.893,0.250,0.000,0.067,58.133,0.860,0.107,84.45
R. Zulj,cam,5,0.756,0.333,0.000,0.200,18.000,0.803,0.244,79.08
M. Rashica,lw,9,0.654,0.000,0.538,0.222,11.889,0.665,0.346,76.09
M. Fabián,cam,8,0.859,0.667,1.000,0.375,23.125,0.898,0.141,82.03
M. Richter,lw,11,0.755,0.400,0.833,0.455,13.364,0.738,0.245,79.18
M. Reus,st,14,0.800,0.450,0.111,0.643,32.786,0.903,0.200,82.63
K. Jakob,cb,2,0.773,0.000,0.500,0.000,22.000,0.631,0.227,79.43
S. Parker,rw,2,0.500,0.000,0.000,0.000,5.000,0.456,0.500,77.52
M. Egbo,lb,1,1.000,0.000,0.000,0.000,1.000,1.000,0.000,80.22
F. Müller,gk,5,0.843,0.000,0.000,0.000,20.400,0.883,0.157,79.74
J. Vagnoman,lb,1,1.000,0.000,0.000,0.000,1.000,1.000,0.000,80.22
C. Janker,lb,4,0.417,0.000,0.000,0.000,3.000,0.307,0.583,74.39
M. Steinmann,cdm,8,0.862,0.000,0.000,0.125,48.000,0.953,0.138,82.04
Pablo Ínsua,lb,1,0.833,0.000,0.000,0.000,6.000,1.000,0.167,79.82
C. Teuchert,rw,4,0.667,0.000,0.000,0.000,2.250,0.244,0.333,76.65
F. Mayer,lb,1,1.000,0.000,0.000,0.000,7.000,1.000,0.000,80.28
