Player,PrimaryPosition,Games,LongPassAcc,LongthroughPassAcc,LongPassAssistsPerGame,FreeKickAcc,Consistency,TurnoverRate,Rating
E. Fernandes,lcm,14,0.687,0.455,0.143,0.538,0.504,0.313,70.571
A. Ayew,lw,30,0.661,0.429,0.033,0.688,0.385,0.339,66.280
P. Zabaleta,lb,37,0.612,0.476,0.162,0.448,0.675,0.388,68.961
A. Masuaku,rb,26,0.579,0.471,0.231,0.296,0.634,0.421,67.839
Pedro Obiang,cm,21,0.745,0.227,0.048,0.714,0.782,0.255,69.645
J. Hart,gk,23,0.732,0.583,0.000,0.700,0.833,0.268,76.445
David de Gea,gk,45,0.752,0.455,0.000,0.700,0.824,0.248,75.066
M. Arnautović,st,34,0.568,0.381,0.147,0.391,0.422,0.432,61.760
A. Valencia,lb,31,0.698,0.318,0.194,0.465,0.801,0.302,70.795
M. Rashford,rw,41,0.622,0.471,0.122,0.372,0.577,0.378,67.248
R. Lukaku,st,45,0.623,0.480,0.111,0.487,0.461,0.377,66.409
W. Reid,cb,17,0.801,0.462,0.000,0.727,0.766,0.199,75.478
J. Hernández,lw,31,0.679,0.357,0.097,0.645,0.510,0.321,67.254
D. Sakho,st,26,0.654,0.583,0.000,0.667,0.493,0.346,70.228
D. Rice,cb,22,0.710,0.417,0.000,0.538,0.641,0.290,69.881
M. Fellaini,lcm,23,0.795,0.462,0.043,0.615,0.485,0.205,73.383
A. Martial,rw,33,0.640,0.409,0.152,0.435,0.608,0.360,67.792
A. Cresswell,rb,36,0.619,0.348,0.139,0.440,0.766,0.381,66.716
J. Lingard,cam,39,0.761,0.429,0.051,0.387,0.714,0.239,73.085
J. Shelvey,cm,30,0.683,0.325,0.233,0.541,0.829,0.317,71.405
C. Clark,rb,22,0.710,0.412,0.000,0.636,0.773,0.290,71.261
F. Lejeune,cb,24,0.762,0.318,0.000,0.562,0.858,0.238,71.815
R. Elliot,gk,16,0.755,0.500,0.000,0.700,0.839,0.245,75.054
Ayoze Pérez,st,34,0.618,0.393,0.176,0.480,0.560,0.382,66.388
M. Ritchie,lam,35,0.593,0.344,0.257,0.486,0.718,0.407,66.869
Javi Manquillo,cb,21,0.621,0.455,0.000,0.462,0.617,0.379,66.978
E. Dier,cm,43,0.841,0.352,0.209,0.375,0.807,0.159,78.233
H. Kane,st,47,0.700,0.429,0.106,0.680,0.710,0.300,72.154
M. Dembélé,rcm,33,0.903,0.500,0.030,0.692,0.903,0.097,83.633
J. Vertonghen,rb,46,0.828,0.345,0.022,0.536,0.872,0.172,76.049
D. Gayle,st,34,0.632,0.375,0.000,0.625,0.325,0.368,62.182
I. Hayden,lcm,24,0.685,0.462,0.042,0.636,0.424,0.315,68.640
H. Lloris,gk,49,0.852,0.417,0.020,0.700,0.866,0.148,79.725
T. Alderweireld,lb,25,0.826,0.324,0.040,0.579,0.878,0.174,75.197
K. Walker-Peters,lb,3,0.714,0.500,0.000,0.562,0.827,0.286,72.258
P. Dummett,rb,20,0.641,0.412,0.150,0.500,0.704,0.359,69.534
M. Sissoko,lam,38,0.734,0.438,0.132,0.552,0.577,0.266,72.345
B. Davies,rb,33,0.669,0.273,0.152,0.478,0.734,0.331,67.199
D. Alli,cam,45,0.728,0.457,0.156,0.517,0.663,0.272,73.793
C. Atsu,ram,28,0.561,0.455,0.107,0.381,0.600,0.439,64.939
C. Eriksen,cam,41,0.755,0.379,0.390,0.375,0.847,0.245,77.960
J. Lascelles,lb,33,0.771,0.357,0.030,0.615,0.822,0.229,73.371
C. Mbemba,rb,9,0.642,0.462,0.222,0.727,0.689,0.358,71.861
Son Heung-Min,rw,40,0.660,0.444,0.100,0.385,0.624,0.340,68.597
Mikel Merino,cm,24,0.731,0.276,0.125,0.533,0.782,0.269,70.456
V. Wanyama,cm,17,0.829,0.375,0.000,0.583,0.857,0.171,75.159
H. Winks,cm,16,0.820,0.389,0.062,0.500,0.569,0.180,73.203
W. Routledge,cam,14,0.588,0.357,0.214,0.542,0.438,0.412,66.148
L. Britton,cm,5,0.836,0.500,0.000,0.700,0.959,0.164,75.093
A. Mawson,rb,38,0.815,0.294,0.000,0.615,0.847,0.185,73.658
F. Fernández,cb,30,0.818,0.529,0.033,0.615,0.782,0.182,78.932
K. Naughton,lb,34,0.690,0.409,0.059,0.375,0.781,0.310,70.224
Oriol Romeu,cm,34,0.807,0.417,0.118,0.625,0.862,0.193,78.068
S. Davis,cm,27,0.757,0.281,0.074,0.565,0.831,0.243,71.482
J. Stephens,lb,22,0.750,0.368,0.045,0.615,0.784,0.250,72.434
Cédric Soares,lb,39,0.606,0.480,0.282,0.440,0.809,0.394,71.900
D. Tadić,cam,39,0.633,0.417,0.256,0.449,0.644,0.367,69.393
J. Ayew,rw,36,0.691,0.273,0.028,0.486,0.684,0.309,65.832
M. Olsson,rb,41,0.571,0.333,0.171,0.393,0.724,0.429,63.814
M. Gabbiadini,st,25,0.491,0.429,0.040,0.538,0.114,0.509,56.976
J. Ward-Prowse,lam,29,0.689,0.333,0.172,0.432,0.570,0.311,68.129
N. Redmond,ram,31,0.701,0.417,0.097,0.488,0.644,0.299,70.425
R. Bertrand,rb,36,0.642,0.400,0.167,0.419,0.715,0.358,68.828
