Player,PrimaryPosition,Games,LongPassAcc,LongthroughPassAcc,LongPassAssistsPerGame,FreeKickAcc,Consistency,TurnoverRate,Rating
M. Brozović,cm,40,0.818,0.385,0.225,0.431,0.840,0.182,78.678
G. Gönül,lb,3,0.633,0.429,0.667,0.600,0.086,0.367,71.388
D. Vida,rb,9,0.806,0.500,0.000,0.700,0.937,0.194,75.930
V. Babacan,gk,3,0.731,0.500,0.000,0.700,0.839,0.269,72.577
V. Şen,ram,2,0.577,0.455,0.000,0.636,1.000,0.423,71.258
B. Yılmaz,st,3,0.697,0.500,0.000,0.700,0.980,0.303,72.575
E. Mor,rw,25,0.617,0.438,0.080,0.500,0.539,0.383,66.502
Piqué,lb,38,0.878,0.400,0.000,0.615,0.911,0.122,79.865
Nolito,rw,34,0.684,0.387,0.059,0.568,0.606,0.316,68.277
Jordi Alba,rb,41,0.759,0.324,0.024,0.379,0.771,0.241,70.554
Sergio Ramos,rb,34,0.881,0.400,0.118,0.737,0.909,0.119,81.757
Iniesta,ram,38,0.816,0.333,0.184,0.558,0.836,0.184,77.008
Juanfran,lb,21,0.714,0.438,0.143,0.452,0.713,0.286,72.538
Sergio Busquets,cm,39,0.900,0.270,0.026,0.727,0.917,0.100,78.464
T. Necid,st,3,0.536,0.500,0.000,0.700,0.871,0.464,70.610
T. Gebre Selassie,lb,33,0.704,0.389,0.061,0.355,0.641,0.296,68.873
T. Rosický,cm,2,0.686,0.455,0.000,0.727,1.000,0.314,72.118
L. Krejčí,rw,14,0.576,0.500,0.071,0.640,0.623,0.424,68.376
D. Limberský,rb,2,0.585,0.500,0.000,0.700,0.589,0.415,70.821
J. Plašil,cm,25,0.835,0.500,0.120,0.556,0.792,0.165,79.504
V. Darida,cm,24,0.767,0.316,0.167,0.452,0.842,0.233,73.501
P. Kadeřábek,lb,31,0.624,0.312,0.129,0.452,0.650,0.376,65.092
T. Sivok,lb,3,0.817,0.500,0.000,0.636,0.876,0.183,73.521
R. Hubník,rb,3,0.703,0.500,0.000,0.636,0.879,0.297,72.333
Aduriz,st,36,0.596,0.375,0.000,0.500,0.400,0.404,60.786
Thiago Alcântara,cam,23,0.906,0.444,0.043,0.533,0.902,0.094,80.817
D. Lafata,st,2,0.583,0.500,0.000,0.700,1.000,0.417,71.530
J. Šural,lw,3,0.640,0.500,0.000,0.700,0.654,0.360,71.160
D. Pavelka,cm,2,0.714,0.500,0.000,0.700,0.891,0.286,72.309
J. Skalák,lam,1,0.571,0.500,0.000,0.615,1.000,0.429,71.568
M. Kovačić,rcm,28,0.920,0.471,0.000,0.643,0.885,0.080,82.292
N. Şahin,cm,19,0.761,0.421,0.105,0.500,0.810,0.239,74.358
O. Şahan,lam,2,0.591,0.500,0.000,0.700,0.000,0.409,69.822
Bruno,cm,2,0.704,0.500,0.000,0.700,1.000,0.296,72.422
Koke,cm,39,0.762,0.360,0.231,0.467,0.758,0.238,74.776
Y. Mallı,ram,31,0.727,0.524,0.129,0.600,0.667,0.273,75.102
T. Jedvaj,cb,12,0.764,0.500,0.083,0.688,0.751,0.236,74.972
M. Rog,lam,28,0.773,0.500,0.000,0.615,0.662,0.227,74.671
Š. Vrsaljko,lb,28,0.583,0.312,0.143,0.426,0.752,0.417,64.693
M. Pjaca,st,12,0.649,0.500,0.000,0.636,0.508,0.351,69.276
N. Kalinić,st,32,0.739,0.500,0.000,0.727,0.682,0.261,73.925
A. Kramarić,rw,42,0.616,0.400,0.214,0.520,0.567,0.384,66.908
B. Dočkal,lam,1,0.600,0.500,1.000,0.600,1.000,0.400,72.926
D. Pudil,rb,1,0.700,0.500,1.000,0.583,1.000,0.300,73.314
İ. Köybaşı,rb,1,0.633,0.500,0.000,0.700,1.000,0.367,71.838
D. Kolář,cm,1,0.571,0.500,0.000,0.700,1.000,0.429,71.595
K. Källström,rcm,3,0.722,0.333,0.000,0.706,0.923,0.278,71.730
A. Granqvist,rb,8,0.827,0.500,0.000,0.700,0.874,0.173,75.739
S. Larsson,lcm,7,0.712,0.467,0.000,0.571,0.515,0.288,70.807
E. Forsberg,ram,29,0.731,0.333,0.103,0.500,0.614,0.269,69.595
W. Hoolahan,cam,4,0.729,0.500,0.000,0.667,0.924,0.271,73.003
G. Whelan,cdm,2,0.691,0.500,0.000,0.700,0.879,0.309,72.114
O. Lewicki,lcm,2,0.667,0.455,0.000,0.700,0.798,0.333,71.604
D. Randolph,gk,4,0.735,0.455,0.000,0.700,0.822,0.265,72.458
M. Lustig,lb,5,0.600,0.500,0.800,0.667,0.708,0.400,74.391
A. Isaksson,gk,3,0.725,0.500,0.000,0.700,0.819,0.275,72.463
J. O'Shea,cb,3,0.628,0.500,0.000,0.700,0.922,0.372,71.705
M. Berg,lw,8,0.643,0.500,0.000,0.667,0.698,0.357,70.737
E. Johansson,lb,3,0.810,0.500,0.000,0.700,0.923,0.190,73.623
J. Guidetti,st,30,0.615,0.409,0.033,0.650,0.455,0.385,64.474
A. McGeady,lam,3,0.643,0.500,0.000,0.583,0.871,0.357,71.638
A. Ekdal,cm,27,0.762,0.375,0.000,0.615,0.639,0.238,71.160
D. De Rossi,cm,25,0.794,0.320,0.120,0.667,0.876,0.206,75.111
G. Pellè,rw,4,0.556,0.316,0.000,0.700,0.570,0.444,68.259
G. Chiellini,rb,29,0.848,0.407,0.034,0.571,0.900,0.152,78.312
G. Buffon,gk,25,0.824,0.500,0.000,0.700,0.871,0.176,78.751
A. Barzagli,cb,30,0.904,0.467,0.000,0.643,0.859,0.096,81.514
T. Vermaelen,rb,21,0.906,0.357,0.000,0.636,0.920,0.094,78.632
L. Ciman,lb,1,0.696,0.500,0.000,0.643,1.000,0.304,72.066
R. Nainggolan,cam,36,0.773,0.381,0.250,0.417,0.843,0.227,76.728
E. Giaccherini,ram,21,0.713,0.357,0.143,0.536,0.736,0.287,71.299
Eder,st,30,0.769,0.571,0.133,0.619,0.752,0.231,78.923
L. Bonucci,cb,40,0.813,0.229,0.025,0.565,0.886,0.187,72.547
A. Candreva,lam,38,0.572,0.250,0.342,0.403,0.696,0.428,64.112
A. Witsel,cm,11,0.887,0.500,0.091,0.727,0.906,0.113,79.249
M. Parolo,lcm,35,0.779,0.385,0.086,0.484,0.811,0.221,74.608
M. De Sciglio,lb,16,0.800,0.462,0.188,0.583,0.823,0.200,77.340
D. Mertens,st,49,0.615,0.394,0.143,0.386,0.463,0.385,63.721
Y. Carrasco,rw,26,0.544,0.438,0.038,0.400,0.463,0.456,61.962
T. Motta,cm,23,0.898,0.500,0.043,0.700,0.900,0.102,82.161
C. Immobile,rw,35,0.676,0.533,0.114,0.500,0.566,0.324,71.584
A. Florenzi,lcm,36,0.676,0.333,0.250,0.542,0.689,0.324,70.028
S. Zaza,lw,35,0.710,0.538,0.000,0.667,0.501,0.290,71.523
J. Durmaz,cam,23,0.644,0.545,0.130,0.441,0.543,0.356,70.473
S. Sturaro,lcm,15,0.756,0.417,0.000,0.647,0.780,0.244,72.968
T. Meunier,lb,33,0.720,0.455,0.455,0.476,0.791,0.280,78.537
D. Murphy,st,2,0.593,0.500,0.000,0.700,1.000,0.407,71.599
F. Bernardeschi,lam,23,0.776,0.474,0.043,0.440,0.726,0.224,74.597
R. Keogh,cb,2,0.683,0.455,0.000,0.700,0.933,0.317,71.962
S. Sirigu,gk,38,0.792,0.500,0.000,0.700,0.838,0.208,78.018
L. Insigne,rw,39,0.653,0.347,0.333,0.306,0.746,0.347,70.255
S. El Shaarawy,rw,33,0.714,0.417,0.091,0.412,0.721,0.286,71.400
E. Zengin,ram,1,0.591,0.500,0.000,0.636,1.000,0.409,71.651
Z. Junuzović,cam,25,0.636,0.389,0.120,0.581,0.738,0.364,68.835
D. Alaba,rb,26,0.734,0.412,0.154,0.458,0.693,0.266,72.796
Á. Lang,cb,7,0.793,0.538,0.000,0.600,0.918,0.207,75.200
G. Király,gk,4,0.832,0.500,0.000,0.700,0.870,0.168,74.227
R. Guzmics,cb,4,0.718,0.455,0.000,0.700,0.809,0.282,72.192
J. Baumgartlinger,cm,25,0.895,0.588,0.040,0.583,0.906,0.105,83.966
Z. Gera,cm,4,0.774,0.462,0.000,0.692,0.852,0.226,73.112
A. Fiola,lb,1,0.586,0.500,0.000,0.636,1.000,0.414,71.633
M. Hinteregger,rb,33,0.762,0.265,0.061,0.571,0.836,0.238,71.177
M. Janko,st,2,0.560,0.500,0.000,0.700,1.000,0.440,71.357
Á. Nagy,rcm,15,0.844,0.538,0.067,0.667,0.677,0.156,77.813
L. Kleinheisler,cam,2,0.653,0.500,0.000,0.727,0.911,0.347,71.905
Á. Szalai,st,22,0.617,0.500,0.000,0.692,0.362,0.383,66.101
M. Harnik,lw,32,0.658,0.429,0.062,0.381,0.603,0.342,67.625
T. Kádár,rb,3,0.768,0.500,0.000,0.533,0.888,0.232,72.948
F. Klein,lb,3,0.465,0.500,0.000,0.500,0.339,0.535,68.370
R. Almer,gk,3,0.833,0.500,0.000,0.700,0.955,0.167,73.943
K. Németh,rw,2,0.607,0.500,0.000,0.727,1.000,0.393,71.723
B. Dzsudzsák,lam,4,0.685,0.533,0.250,0.500,0.817,0.315,73.201
M. Sabitzer,lam,25,0.633,0.310,0.320,0.460,0.737,0.367,69.064
R. Okotie,lw,1,0.545,0.500,0.000,0.636,1.000,0.455,71.472
T. Priskin,st,2,0.609,0.500,0.000,0.700,1.000,0.391,71.718
A. Schöpf,cm,18,0.681,0.429,0.056,0.647,0.522,0.319,69.208
Z. Stieber,ram,3,0.690,0.500,0.000,0.667,0.717,0.310,71.813
Á. Pintér,cam,3,0.675,0.455,0.000,0.700,0.761,0.325,71.530
A. Skúlason,rb,7,0.691,0.385,0.000,0.615,0.857,0.309,71.191
K. Sigþórsson,lw,7,0.576,0.500,0.000,0.636,0.400,0.424,68.009
Danilo Pereira,cm,5,0.831,0.500,0.000,0.700,0.747,0.169,74.215
Ricardo Carvalho,rb,3,0.845,0.500,0.000,0.700,0.918,0.155,73.971
Raphaël Guerreiro,rb,18,0.716,0.545,0.111,0.511,0.661,0.284,74.023
A. Gunnarsson,cdm,8,0.651,0.417,0.000,0.583,0.718,0.349,69.870
B. Sævarsson,lb,8,0.670,0.538,0.000,0.579,0.704,0.330,71.684
João Moutinho,cm,42,0.841,0.459,0.143,0.487,0.874,0.159,81.100
André Gomes,ram,21,0.837,0.500,0.048,0.611,0.696,0.163,77.554
B. Bjarnason,rcm,8,0.731,0.500,0.000,0.688,0.862,0.269,73.556
Cristiano Ronaldo,st,38,0.733,0.471,0.158,0.622,0.595,0.267,73.991
H. Halldórsson,gk,8,0.732,0.500,0.000,0.700,0.870,0.268,73.650
Rui Patrício,gk,11,0.833,0.500,0.000,0.700,0.923,0.167,77.086
Pepe,lb,10,0.783,0.471,0.100,0.571,0.865,0.217,75.321
Vieirinha,lam,3,0.649,0.462,0.333,0.583,0.839,0.351,72.512
J. Böðvarsson,st,6,0.600,0.500,0.000,0.700,0.332,0.400,68.626
R. Sigurðsson,cb,8,0.796,0.545,0.000,0.700,0.743,0.204,74.931
K. Árnason,cb,7,0.656,0.583,0.143,0.700,0.778,0.344,73.358
Nani,cam,25,0.642,0.533,0.160,0.393,0.510,0.358,70.001
Ricardo Quaresma,lw,10,0.507,0.500,0.000,0.343,0.362,0.493,64.487
Éder,lw,3,0.636,0.500,0.000,0.700,1.000,0.364,71.988
A. Finnbogason,st,28,0.685,0.385,0.071,0.643,0.698,0.315,69.773
E. Bjarnason,rcm,3,0.625,0.545,0.000,0.700,0.000,0.375,69.634
R. Juhász,lb,3,0.722,0.500,0.000,0.700,0.597,0.278,71.883
E. Hallfreðsson,cm,22,0.805,0.417,0.136,0.522,0.632,0.195,74.934
E. Guðjohnsen,lw,2,0.636,0.500,0.000,0.700,1.000,0.364,71.923
William Carvalho,cm,9,0.864,0.429,0.000,0.700,0.915,0.136,76.234
S. Ilsanker,lcm,22,0.771,0.346,0.091,0.667,0.769,0.229,73.302
Eliseu,rb,2,0.619,0.455,0.500,0.571,0.980,0.381,72.673
M. Korhut,rb,1,0.577,0.500,0.000,0.700,1.000,0.423,71.616
Á. Elek,lcm,2,0.600,0.500,0.000,0.700,0.891,0.400,71.462
G. Lovrencsics,ram,2,0.600,0.417,0.500,0.467,0.843,0.400,72.072
B. Bese,lb,1,0.545,0.455,0.000,0.700,1.000,0.455,71.393
J. Jantscher,lam,1,0.625,0.500,0.000,0.692,1.000,0.375,71.803
A. Traustason,cam,2,0.545,0.500,0.000,0.636,1.000,0.455,71.212
E. Derdiyok,lw,1,0.591,0.500,0.000,0.700,1.000,0.409,71.671
M. Škriniar,cb,39,0.851,0.333,0.000,0.700,0.887,0.149,77.045
J. Greguš,rcm,1,0.710,0.500,0.000,0.700,1.000,0.290,72.139
L. Podolski,rw,1,0.500,0.500,0.000,0.727,1.000,0.500,71.322
Lucas Vázquez,lw,36,0.731,0.500,0.444,0.493,0.714,0.269,79.434
J. Denayer,rb,1,0.719,0.500,0.000,0.700,1.000,0.281,72.175
J. Lukaku,rb,31,0.608,0.500,0.161,0.466,0.586,0.392,68.670
S. Umtiti,rb,34,0.904,0.444,0.029,0.727,0.915,0.096,82.654
S. Ingason,cb,3,0.660,0.500,0.000,0.700,0.827,0.340,71.804
Bruno Alves,rb,1,0.689,0.500,0.000,0.700,1.000,0.311,72.057
B. Guillaume,st,13,0.543,0.455,0.000,0.636,0.000,0.457,61.796
R. Thomas,rb,28,0.811,0.438,0.000,0.636,0.882,0.189,77.025
L. Lerager,lcm,37,0.734,0.429,0.027,0.552,0.822,0.266,73.288
A. Letellier,gk,13,0.767,0.500,0.000,0.700,0.835,0.233,75.061
I. Traoré,lb,32,0.808,0.375,0.000,0.636,0.814,0.192,74.956
V. Manceau,lb,33,0.679,0.375,0.152,0.490,0.788,0.321,70.672
B. Santamaria,cm,31,0.768,0.273,0.065,0.571,0.828,0.232,71.592
V. Jovanović,cb,16,0.862,0.538,0.062,0.700,0.908,0.138,80.409
J. Toulalan,cdm,21,0.801,0.375,0.048,0.615,0.880,0.199,75.293
B. Costil,gk,36,0.785,0.429,0.000,0.700,0.825,0.215,75.671
V. Vada,lcm,21,0.762,0.357,0.000,0.529,0.816,0.238,72.125
Y. Sabaly,lb,38,0.706,0.444,0.263,0.562,0.778,0.294,75.376
Malcom,lw,35,0.742,0.355,0.143,0.507,0.801,0.258,73.045
T. Pellenard,rb,18,0.639,0.364,0.167,0.458,0.620,0.361,68.023
P. Capelle,cm,28,0.695,0.500,0.071,0.538,0.644,0.305,71.966
F. Kamano,rw,35,0.710,0.412,0.229,0.410,0.637,0.290,72.157
G. Sunu,rw,20,0.649,0.500,0.000,0.591,0.393,0.351,67.455
L. Coulibaly,lcm,19,0.716,0.417,0.000,0.643,0.763,0.284,71.528
T. Mangani,rcm,35,0.716,0.426,0.143,0.397,0.755,0.284,72.749
A. Fulgini,lam,29,0.725,0.524,0.103,0.375,0.554,0.275,72.738
Y. Sankharé,rcm,29,0.798,0.316,0.034,0.643,0.730,0.202,72.688
A. Mendy,st,15,0.708,0.545,0.133,0.667,0.640,0.292,74.044
K. Toko Ekambi,rw,37,0.697,0.438,0.081,0.406,0.643,0.303,70.190
F. Tait,cam,31,0.674,0.407,0.161,0.541,0.756,0.326,71.240
M. Pavlović,cb,24,0.832,0.467,0.000,0.636,0.840,0.168,77.766
G. Laborde,st,19,0.574,0.455,0.053,0.643,0.358,0.426,64.449
T. Touré,rw,8,0.640,0.500,0.000,0.700,0.441,0.360,69.391
E. Sala,st,36,0.612,0.562,0.028,0.611,0.522,0.388,68.178
P. Nakoulma,rw,18,0.708,0.500,0.111,0.727,0.676,0.292,73.573
Diego Carlos,cb,28,0.734,0.391,0.071,0.615,0.751,0.266,72.395
J. Alonso,rb,34,0.781,0.278,0.088,0.667,0.822,0.219,72.855
Luiz Araújo,rw,33,0.700,0.370,0.121,0.500,0.653,0.300,69.699
N. de Préville,rw,33,0.618,0.300,0.030,0.382,0.527,0.382,61.530
V. Rongier,cam,32,0.841,0.435,0.062,0.500,0.836,0.159,78.373
A. Touré,cm,36,0.721,0.522,0.083,0.423,0.772,0.279,74.805
A. Kačaniklić,lam,9,0.528,0.500,0.000,0.500,0.120,0.472,64.371
M. Maignan,gk,34,0.835,0.500,0.000,0.700,0.880,0.165,80.111
F. Touré,rb,27,0.688,0.385,0.037,0.467,0.636,0.312,68.325
K. Djidji,cb,29,0.686,0.429,0.034,0.407,0.686,0.314,69.419
N. Pallois,cb,28,0.765,0.412,0.036,0.500,0.763,0.235,73.406
Thiago Mendes,cam,31,0.783,0.325,0.161,0.579,0.829,0.217,74.796
Edgar Ié,lb,35,0.780,0.192,0.000,0.394,0.811,0.220,68.418
I. Amadou,cdm,30,0.856,0.370,0.000,0.714,0.873,0.144,77.630
K. Malcuit,lb,23,0.678,0.438,0.043,0.434,0.808,0.322,70.816
Y. Benzia,rw,31,0.774,0.326,0.129,0.520,0.806,0.226,73.561
L. Dubois,lb,34,0.616,0.419,0.324,0.395,0.794,0.384,71.117
J. Iloki,lam,26,0.680,0.455,0.269,0.597,0.631,0.320,72.929
A. El Ghazi,lw,27,0.561,0.500,0.148,0.489,0.494,0.439,65.928
M. Dupé,gk,1,0.679,0.500,0.000,0.700,1.000,0.321,72.016
R. Kouamé,rb,6,0.789,0.500,0.000,0.700,0.802,0.211,74.052
A. Thomasson,ram,36,0.686,0.478,0.194,0.420,0.660,0.314,72.544
E. Ponce,st,27,0.690,0.417,0.000,0.700,0.629,0.310,69.323
C. Awaziem,cb,22,0.698,0.357,0.000,0.667,0.584,0.302,68.061
G. Gillet,rcm,1,0.619,0.500,0.000,0.700,1.000,0.381,71.782
Thiago Maia,rcm,34,0.807,0.321,0.000,0.667,0.646,0.193,72.003
I. Saadi,st,25,0.526,0.462,0.080,0.440,0.009,0.474,58.321
J. Martin,cm,36,0.820,0.412,0.111,0.500,0.849,0.180,77.944
K. Lala,cb,31,0.732,0.326,0.226,0.350,0.820,0.268,72.663
J. Aholou,cm,35,0.835,0.250,0.057,0.538,0.843,0.165,73.916
Sergi Darder,cm,38,0.774,0.286,0.079,0.476,0.813,0.226,71.873
Mariano Díaz,rw,34,0.673,0.500,0.088,0.500,0.514,0.327,69.752
Y. Salmier,cb,14,0.802,0.385,0.071,0.727,0.873,0.198,75.336
Marcelo,lb,35,0.877,0.347,0.057,0.615,0.929,0.123,79.328
D. Liénard,rcm,33,0.691,0.355,0.303,0.530,0.775,0.309,72.800
P. Martinez,rb,24,0.781,0.303,0.000,0.400,0.864,0.219,71.751
Rafael,lb,24,0.680,0.471,0.292,0.620,0.684,0.320,74.083
K. Mangane,lb,20,0.729,0.304,0.050,0.727,0.770,0.271,70.629
B. Corgnet,cam,18,0.583,0.308,0.111,0.462,0.503,0.417,63.491
L. Tousart,cdm,37,0.839,0.364,0.054,0.583,0.879,0.161,77.453
B. Traoré,lw,31,0.764,0.391,0.032,0.440,0.787,0.236,72.929
J. Morel,rb,33,0.888,0.273,0.000,0.700,0.919,0.112,77.289
Marçal,rb,18,0.754,0.412,0.056,0.462,0.800,0.246,73.181
M. Depay,rw,36,0.711,0.467,0.167,0.489,0.753,0.289,74.167
N. Fekir,cam,36,0.745,0.417,0.194,0.625,0.770,0.255,75.522
Nuno Da Costa,lw,25,0.542,0.350,0.000,0.667,0.318,0.458,59.104
A. Lopes,gk,34,0.822,0.455,0.000,0.700,0.874,0.178,78.394
B. Kamara,gk,19,0.779,0.455,0.000,0.700,0.879,0.221,75.632
M. Maolida,rw,13,0.689,0.500,0.077,0.643,0.717,0.311,72.530
I. Sacko,lw,20,0.663,0.438,0.050,0.562,0.651,0.337,69.407
A. Gonçalves,lam,29,0.532,0.484,0.103,0.373,0.571,0.468,63.965
M. Cornet,lw,30,0.669,0.357,0.133,0.522,0.646,0.331,68.336
S. Bahoken,st,25,0.528,0.455,0.200,0.485,0.322,0.472,62.810
J. Ferri,lcm,24,0.855,0.538,0.042,0.571,0.692,0.145,79.151
J. Marié,cm,27,0.818,0.294,0.074,0.500,0.823,0.182,73.954
W. Lautoa,cb,10,0.814,0.455,0.000,0.636,0.816,0.186,74.897
Kwon Chang-Hoon,lam,34,0.547,0.300,0.118,0.400,0.482,0.453,59.114
Luiz Gustavo,rcm,34,0.855,0.318,0.029,0.609,0.885,0.145,76.732
M. Sanson,cam,33,0.703,0.346,0.273,0.510,0.641,0.297,71.268
F. Thauvin,lw,36,0.645,0.348,0.333,0.404,0.744,0.355,70.267
M. Lopez,lcm,24,0.841,0.333,0.167,0.636,0.838,0.159,77.293
O. Haddadi,rb,34,0.673,0.500,0.206,0.500,0.739,0.327,73.750
H. Sakai,lb,36,0.678,0.312,0.111,0.462,0.743,0.322,67.946
B. Reynet,gk,38,0.831,0.375,0.000,0.700,0.881,0.169,77.088
S. Mandanda,gk,32,0.811,0.500,0.000,0.700,0.874,0.189,78.858
Rolando,rb,31,0.869,0.353,0.000,0.700,0.883,0.131,77.864
R. Amalfitano,cm,33,0.771,0.412,0.212,0.571,0.754,0.229,76.323
C. Yamberé,lb,32,0.818,0.385,0.000,0.750,0.864,0.182,76.476
W. Saïd,lw,28,0.604,0.533,0.036,0.520,0.468,0.396,66.760
V. Germain,lw,35,0.602,0.417,0.029,0.444,0.546,0.398,63.858
C. Varrault,lb,11,0.836,0.467,0.000,0.700,0.891,0.164,76.464
N. Sliti,ram,34,0.648,0.378,0.206,0.476,0.573,0.352,67.901
V. Rosier,cb,36,0.689,0.522,0.111,0.415,0.665,0.311,72.607
B. Jeannot,lw,22,0.624,0.500,0.045,0.500,0.336,0.376,66.105
C. N'Jie,rw,21,0.721,0.462,0.048,0.625,0.431,0.279,70.211
F. Sammaritano,cam,26,0.704,0.500,0.154,0.483,0.516,0.296,71.971
A. Zambo Anguissa,lcm,37,0.818,0.533,0.027,0.583,0.762,0.182,79.121
F. Balmont,lcm,21,0.712,0.526,0.048,0.591,0.650,0.288,73.016
G. Sertic,cdm,7,0.839,0.500,0.000,0.700,0.778,0.161,75.191
R. Cohade,lcm,38,0.730,0.343,0.237,0.525,0.754,0.270,73.127
M. Biševac,lb,10,0.797,0.538,0.100,0.750,0.877,0.203,77.037
B. Assou-Ekotto,rb,13,0.680,0.400,0.077,0.522,0.815,0.320,71.034
F. Diagne,cb,28,0.775,0.294,0.000,0.700,0.839,0.225,72.037
S. Falette,rb,28,0.755,0.361,0.036,0.474,0.830,0.245,72.402
G. Poblete,cm,25,0.827,0.500,0.040,0.600,0.860,0.173,78.956
Y. Jouffre,lam,4,0.712,0.500,0.500,0.667,0.798,0.288,74.484
Iván Balliu,lb,25,0.628,0.421,0.000,0.429,0.748,0.372,67.336
N. Roux,rw,35,0.670,0.417,0.057,0.565,0.614,0.330,68.410
L. Deaux,cm,26,0.775,0.348,0.154,0.625,0.853,0.225,75.096
J. Ikoko,cb,28,0.702,0.364,0.214,0.628,0.823,0.298,73.029
J. Sorbon,rb,29,0.851,0.357,0.000,0.700,0.846,0.149,76.751
L. Phiri,cm,22,0.883,0.500,0.045,0.636,0.779,0.117,80.181
C. Kerbrat,lb,37,0.773,0.400,0.000,0.571,0.829,0.227,74.052
Pedro Rebocho,rb,21,0.683,0.333,0.286,0.478,0.798,0.317,71.784
K. Johnsson,gk,38,0.797,0.417,0.000,0.700,0.854,0.203,76.316
T. Didillon,gk,9,0.852,0.500,0.000,0.700,0.892,0.148,76.747
G. Hein,ram,3,0.621,0.500,0.000,0.636,0.123,0.379,69.579
Y. Salibur,lam,22,0.677,0.562,0.000,0.444,0.582,0.323,70.902
M. Coco,cam,29,0.604,0.438,0.069,0.390,0.540,0.396,65.197
J. Briand,rw,37,0.673,0.429,0.135,0.391,0.513,0.327,68.200
R. Camara,cam,14,0.518,0.455,0.000,0.476,0.419,0.482,63.293
L. Blas,cam,31,0.793,0.476,0.032,0.667,0.726,0.207,76.314
I. Niane,rw,29,0.576,0.500,0.000,0.526,0.409,0.424,63.706
F. Mollet,cam,22,0.814,0.500,0.045,0.529,0.795,0.186,77.428
M. Diallo,cm,24,0.815,0.615,0.000,0.667,0.716,0.185,79.250
H. Diallo,lw,1,0.571,0.500,0.000,0.700,1.000,0.429,71.595
R. Falcao,st,30,0.723,0.368,0.000,0.625,0.739,0.277,70.360
D. Sidibé,lb,28,0.763,0.440,0.179,0.458,0.835,0.237,76.385
Jemerson,rb,33,0.841,0.353,0.000,0.700,0.892,0.159,76.882
Fabinho,cm,34,0.863,0.556,0.176,0.556,0.887,0.137,84.727
C. Jean,lw,32,0.610,0.381,0.219,0.471,0.386,0.390,64.611
F. Moubandje,rb,21,0.613,0.444,0.143,0.429,0.711,0.387,68.882
Rony Lopes,cam,38,0.552,0.429,0.105,0.339,0.531,0.448,62.292
A. Delort,st,32,0.563,0.375,0.312,0.475,0.556,0.437,65.505
C. Jullien,rb,30,0.820,0.375,0.033,0.571,0.854,0.180,75.982
Jorge,rb,22,0.616,0.471,0.182,0.531,0.687,0.384,70.065
T. Lemar,ram,31,0.686,0.368,0.226,0.339,0.786,0.314,71.308
K. Amian,cb,36,0.689,0.312,0.028,0.537,0.677,0.311,66.786
I. Sangaré,cm,20,0.727,0.286,0.100,0.562,0.799,0.273,70.536
Z. Machach,lam,4,0.633,0.500,0.000,0.615,0.711,0.367,71.005
A. Blin,cm,26,0.695,0.261,0.000,0.368,0.609,0.305,64.849
A. Lafont,gk,38,0.827,0.417,0.000,0.700,0.881,0.173,77.956
K. Mbappé,lw,35,0.673,0.500,0.257,0.489,0.672,0.327,73.743
S. Yago,lb,21,0.698,0.471,0.095,0.600,0.671,0.302,72.161
Somália,lam,27,0.667,0.533,0.185,0.500,0.684,0.333,73.288
Y. Bodiger,cam,7,0.614,0.500,0.000,0.583,0.467,0.386,69.011
Y. Sanogo,st,26,0.644,0.429,0.038,0.583,0.381,0.356,65.545
A. Saint-Maximin,lw,31,0.661,0.360,0.323,0.393,0.654,0.339,70.232
Y. Tielemans,lcm,30,0.746,0.348,0.033,0.412,0.645,0.254,69.651
S. Camara,st,23,0.589,0.462,0.087,0.643,0.501,0.411,66.295
K. Bérigaud,st,5,0.606,0.455,0.000,0.667,0.495,0.394,69.289
P. Lasne,rcm,37,0.754,0.191,0.027,0.450,0.817,0.246,67.858
J. Roussillon,rb,22,0.630,0.400,0.273,0.411,0.659,0.370,69.567
D. Congré,rb,32,0.797,0.462,0.000,0.409,0.811,0.203,75.699
Pedro Mendes,cb,34,0.798,0.407,0.000,0.526,0.822,0.202,75.030
N. Mukiele,lb,33,0.702,0.323,0.303,0.356,0.796,0.298,72.112
A. Djiku,rb,28,0.797,0.400,0.000,0.571,0.814,0.203,74.722
H. Bazile,rw,19,0.474,0.467,0.105,0.320,0.181,0.526,59.373
J. Féret,cm,37,0.801,0.394,0.108,0.556,0.861,0.199,77.003
V. Bessat,rcm,24,0.624,0.438,0.250,0.443,0.692,0.376,70.186
R. Genevois,lb,24,0.709,0.333,0.125,0.650,0.779,0.291,71.161
E. Skhiri,lcm,38,0.834,0.389,0.053,0.556,0.839,0.166,77.345
I. Mbenza,lw,37,0.657,0.412,0.054,0.559,0.650,0.343,67.978
J. Ikoné,lw,18,0.658,0.579,0.222,0.538,0.677,0.342,74.065
D. Avounou,rcm,9,0.633,0.467,0.000,0.409,0.532,0.367,68.562
B. Lecomte,gk,38,0.793,0.417,0.000,0.700,0.838,0.207,75.948
R. Rodelin,st,37,0.693,0.436,0.243,0.500,0.790,0.307,74.174
J. Delaplace,lcm,12,0.616,0.500,0.167,0.600,0.495,0.384,69.692
I. Santini,st,32,0.625,0.438,0.000,0.700,0.449,0.375,65.067
F. Guilbert,lb,36,0.634,0.350,0.139,0.488,0.804,0.366,68.026
R. Vercoutre,gk,35,0.799,0.500,0.000,0.700,0.835,0.201,78.140
