playerId,name,category,best_fit_role,raw_best_fit_role
18591,J. Hofmann,md,lam,lam
8897,J. Hogg,md,cm,cm
92899,J. Holebas,df,rb,rcm
284524,J. Horn,df,rb,rcm
280157,J. Hugill,fw,rs,cam
9739,J. Ibe,md,lam,lam
26055,J. Ielsch,df,rb,rcm
28528,J. Ikoko,df,lb,lcm
344744,J. Ikoné,fw,ls,cam
20820,J. Iličić,fw,ls,lam
217872,J. Iloki,md,lam,lam
62743,J. Irvine,md,lcm,lcm
91381,J. Izquierdo,fw,rw,ram
354547,J. Jankto,md,ram,ram
65084,J. Jantscher,md,lam,lam
278913,J. Kayembe,md,lam,lam
286825,J. Kenny,df,lb,lcm
224593,J. Kimmich,df,lb,lam
9637,J. King,fw,st,cam
55957,J. Knudsen,df,rb,rcm
16884,J. Korb,df,lb,lcm
410062,J. Koundé,df,lb,lb
21285,J. Kucka,md,lcm,lcm
21620,J. Kurtič,md,cam,cam
8833,J. Lascelles,df,lb,lb
325781,J. Lea Siliki,md,rcm,rcm
61963,J. Ledley,md,rcm,rcm
255738,J. Lerma,md,cm,cm
7934,J. Lingard,md,cam,cam
8285,J. Livermore,md,lcm,lcm
120,J. Locadia,fw,ls,cam
274488,J. Lolley,md,ram,ram
37745,J. Lukaku,df,rb,ram
56038,J. Lössl,gk,gk,lcb
62235,J. Magennis,fw,ls,lam
352992,J. Makengo,md,ram,ram
30427,J. Marié,md,cm,cm
26065,J. Martin,md,cm,cm
25526,J. Martins-Pereira,df,lb,lam
3355,J. Mascherano,df,lcb,cdm
14870,J. Matip,df,lb,cdm
239294,J. Mauri,md,lam,lam
8623,J. McArthur,md,cm,cm
8624,J. McCarthy,md,lcm,lcm
8530,J. McClean,md,ram,ram
8319,J. Milner,md,cam,cam
91702,J. Mojica,df,rb,ram
3599,J. Montero,md,ram,ram
25557,J. Morel,df,rb,rb
8374,J. Morrison,md,cam,cam
15782,J. Morávek,md,cm,cm
26216,J. Moulin,gk,gk,lcb
4065,J. Murillo,df,rcb,rcb
62091,J. Murphy,md,ram,ram
293686,J. Murphy,md,cam,cam
91122,J. Narváez,md,lcm,lcm
448038,J. Ngoy,fw,rw,ram
209211,J. Nkololo,md,lam,lam
8522,J. O'Shea,df,lcb,lcb
20525,J. Obi,md,rcm,rcm
7898,J. Obi Mikel,md,cm,cm
209207,J. Obiang,df,rb,rcm
70273,J. Oblak,gk,gk,lcb
25919,J. Palmieri,df,rb,ram
86366,J. Palomino,df,rcb,cdm
25440,J. Pastore,md,cam,cam
253822,J. Pavlenka,gk,gk,cb
125774,J. Penedo,gk,gk,cdm
10131,J. Pickford,gk,gk,cb
25415,J. Pied,df,lb,lcm
69964,J. Pivarić,df,rb,ram
25596,J. Plašil,md,cm,cm
35477,J. Pohjanpalo,fw,st,cam
241957,J. Pollersbeck,gk,gk,cb
280116,J. Porsan-Clemente,fw,lw,lam
229078,J. Prior,gk,gk,rcb
8142,J. Puncheon,md,ram,ram
91019,J. Quintero,md,lcm,lcm
366542,J. Reine-Adelaide,md,lam,lam
234138,J. Repas,md,ram,ram
240559,J. Riedewald,df,rb,rcm
61367,J. Risdon,df,lb,lcm
26138,J. Rivierez,df,lb,lcm
401861,J. Rodriguez,md,ram,ram
8958,J. Rodriguez,fw,st,cam
70096,J. Rodríguez,md,cam,cam
25457,J. Roussillon,df,rb,ram
14904,J. Sala,df,lb,lcm
335763,J. Sambia,md,cam,cam
447223,J. Sancho,md,ram,ram
14764,J. Schieber,fw,rw,ram
8501,J. Schlupp,df,rb,rcm
14997,J. Schmid,md,lam,lam
14998,J. Schuster,md,cdm,cdm
131959,J. Seri,md,rcm,rcm
472126,J. Serrano,df,rb,ram
7967,J. Shelvey,md,cm,cm
137298,J. Silva,df,rb,rcm
415747,J. Simpson,df,rb,rb
302520,J. Sims,md,lam,lam
234408,J. Sinclair,fw,st,cam
104745,J. Skalák,md,lam,lw
25883,J. Sorbon,df,rb,rb
8391,J. Speroni,gk,gk,cb
8959,J. Stanislas,md,cam,cam
8136,J. Stephens,df,lb,lb
9380,J. Stones,df,lcb,cdm
56026,J. Stryger Larsen,df,lb,lcm
228768,J. Tah,df,lb,cdm
9433,J. Tarkowski,df,lcb,cdm
278513,J. Tell,fw,ls,cam
26006,J. Tinhan,fw,ls,lam
149389,J. Toljan,df,rcb,rcm
8554,J. Tomkins,df,lcb,cdm
275121,J. Torunarigha,df,rb,rb
3573,J. Toulalan,md,cdm,cdm
415748,J. Tymon,df,rb,ram
70379,J. Urretavizcaya,md,lam,lw
503185,J. Vagnoman,df,lb,lam
12829,J. Vardy,fw,st,cam
125452,J. Venegas,md,cam,cam
25541,J. Veretout,md,rcm,rcm
48,J. Vertonghen,df,rb,rcm
15806,J. Vestergaard,df,rcb,cdm
363648,J. Villalba,fw,st,st
192,J. Vuković,df,rcb,rcb
8752,J. Walters,fw,st,cam
