eventName,subEventName,startX,startY,endX,endY,tags
Duel,Ground attacking duel,43,26,45,26,"503, 703, 1801"
Others on the ball,Acceleration,45,26,89,39,1802
Duel,Ground attacking duel,77,36,80,23,"501, 701, 1802"
Duel,Ground attacking duel,68,21,71,25,"703, 1801"
Free Kick,Free Kick,64,45,64,54,1801
Pass,Simple pass,64,45,73,49,1801
Duel,Ground attacking duel,73,49,61,34,"503, 703, 1801"
Pass,Simple pass,61,34,55,52,1801
Pass,Simple pass,62,51,63,70,1801
Duel,Ground attacking duel,70,55,69,60,"703, 1801"
Duel,Ground attacking duel,94,20,86,27,"501, 703, 1801"
Pass,Simple pass,86,27,91,21,1801
Pass,Simple pass,47,11,59,33,1801
Others on the ball,Acceleration,69,14,91,29,1802
Duel,Ground defending duel,37,5,23,5,"701, 1802"
Pass,Simple pass,57,30,46,35,1801
Pass,Simple pass,59,30,64,19,1801
Offside,,85,26,0,0,1901
Pass,Simple pass,57,30,58,7,1801
Pass,Simple pass,53,29,55,9,1801
Pass,Simple pass,57,59,61,69,1801
Pass,High pass,64,71,87,33,"901, 1802"
Duel,Ground attacking duel,73,81,88,95,"501, 602, 703, 1801"
Pass,Smart pass,67,50,85,32,"901, 1802"
Others on the ball,Acceleration,64,36,83,59,1801
Duel,Ground attacking duel,83,59,81,60,"501, 703, 1801"
Free Kick,Free kick shot,82,60,0,0,"101, 402, 1101, 201, 1206, 1801"
Others on the ball,Touch,47,32,46,45,1301
Duel,Ground attacking duel,68,41,62,58,"701, 1802"
Free Kick,Free Kick,57,45,57,41,1801
Pass,Simple pass,58,44,67,43,1801
Pass,Simple pass,58,43,59,37,1802
Duel,Ground defending duel,59,37,54,25,"502, 701, 1802"
Foul,Foul,54,25,59,37,
Pass,Simple pass,58,26,69,8,1802
Duel,Ground defending duel,50,10,46,11,"701, 1802"
Foul,Foul,46,11,50,10,
Pass,Simple pass,53,17,62,21,1801
Pass,Simple pass,59,18,45,16,1801
Duel,Ground attacking duel,68,27,61,30,"503, 703, 1801"
Free Kick,Free Kick,66,27,63,34,1801
Pass,Simple pass,69,48,71,64,1801
Pass,Smart pass,46,43,64,45,1801
Pass,Simple pass,77,27,93,24,1801
Shot,Shot,90,39,0,0,"402, 201, 1201, 1801"
Pass,Cross,96,19,95,41,"402, 1802"
Pass,Simple pass,64,34,53,29,1801
Pass,Simple pass,73,39,80,36,1801
Pass,Simple pass,74,41,90,41,1802
Pass,Simple pass,63,18,66,30,1802
Pass,Simple pass,62,3,59,19,1801
Pass,Simple pass,74,18,81,29,1801
Duel,Ground attacking duel,72,25,78,3,"703, 1801"
Pass,Simple pass,64,17,75,16,1801
Pass,Simple pass,72,3,74,21,1801
Pass,Simple pass,69,14,67,25,1802
Shot,Shot,89,34,0,0,"101, 401, 201, 1202, 1801"
Pass,Simple pass,71,20,91,24,"1901, 1801"
Pass,Simple pass,81,31,86,48,1801
Shot,Shot,82,46,0,0,"402, 2101, 1802"
Duel,Ground attacking duel,90,51,93,55,"504, 703, 1801"
Shot,Shot,93,55,0,0,"402, 201, 1201, 1801"
Duel,Ground attacking duel,96,28,95,34,"504, 703, 1801"
Duel,Ground attacking duel,95,34,95,37,"702, 1801"
Pass,Smart pass,73,8,81,28,1801
Duel,Ground defending duel,47,3,32,0,"702, 1801"
Pass,High pass,40,14,83,86,1801
Pass,Simple pass,70,16,64,28,1801
Duel,Ground attacking duel,68,21,66,18,"501, 703, 1801"
Pass,Simple pass,71,19,75,5,1801
Pass,Simple pass,75,21,68,26,1801
Pass,Smart pass,89,2,76,18,1801
Pass,Simple pass,80,6,86,6,1802
Duel,Ground attacking duel,66,14,70,11,"703, 1801"
Pass,Smart pass,76,29,87,33,1802
Pass,Simple pass,78,34,72,48,1801
Pass,Simple pass,57,39,53,49,1801
Others on the ball,Acceleration,63,47,86,34,1801
Pass,Simple pass,86,34,91,25,1801
Duel,Ground attacking duel,52,43,56,61,"701, 1802"
