eventName,subEventName,startX,startY,endX,endY,tags
Free Kick,Free kick shot,78,61,0,0,"402, 1101, 201, 1209, 1801"
Pass,Simple pass,73,59,80,71,1801
Pass,Simple pass,32,37,39,69,1801
Pass,Simple pass,63,19,69,57,1801
Pass,Simple pass,42,63,30,70,1801
Pass,Simple pass,38,25,40,67,1801
Others on the ball,Touch,78,52,69,45,1401
Pass,Simple pass,34,24,46,56,1801
Pass,Simple pass,54,64,73,96,1801
Pass,High pass,74,68,80,11,1801
Duel,Ground defending duel,35,59,34,54,"701, 1802"
Pass,Simple pass,30,40,36,20,1801
Pass,Simple pass,40,46,46,73,1801
Pass,Simple pass,53,78,47,80,1801
Pass,Smart pass,45,68,61,58,1801
Duel,Air duel,73,58,74,38,"703, 1801"
Pass,Simple pass,56,81,69,81,1801
Pass,Simple pass,52,27,47,18,1801
Pass,Simple pass,93,13,76,27,1801
Duel,Ground attacking duel,89,35,85,45,"501, 703, 1801"
Shot,Shot,85,45,0,0,"402, 2101, 1802"
Pass,High pass,72,58,90,36,"901, 1801"
Pass,Simple pass,27,47,41,36,1801
Pass,Simple pass,65,82,83,87,1801
Pass,Simple pass,26,24,23,13,"1401, 1801"
Others on the ball,Touch,71,59,79,41,
Pass,Simple pass,88,74,96,81,1802
Pass,Simple pass,54,26,70,17,1801
Pass,Simple pass,42,72,41,58,1801
Pass,Simple pass,41,69,66,67,1801
Free Kick,Corner,100,100,79,92,1801
Pass,Simple pass,72,55,80,63,1801
Pass,Simple pass,70,74,78,91,1801
Pass,Simple pass,61,69,53,71,1801
Free Kick,Free Kick,44,13,54,28,1801
Pass,Simple pass,45,12,47,23,1801
Pass,Simple pass,63,38,71,8,1801
Pass,Simple pass,66,28,71,61,1801
Pass,Simple pass,40,64,59,70,1801
Pass,Simple pass,69,28,69,58,1801
Pass,High pass,73,39,83,93,1801
Shot,Shot,80,58,0,0,"402, 201, 1213, 1802"
Others on the ball,Touch,42,64,52,64,
Pass,Simple pass,52,64,64,73,1801
Pass,Simple pass,56,68,65,66,1801
Pass,Simple pass,61,72,75,99,1801
Pass,Simple pass,71,66,88,70,1801
Free Kick,Corner,100,99,88,86,1801
Pass,Smart pass,87,82,94,71,"302, 901, 1801"
Pass,Simple pass,94,98,89,89,1801
Pass,High pass,41,38,68,100,1802
Pass,Simple pass,45,84,47,61,1801
Pass,High pass,67,38,88,90,1801
Pass,Simple pass,75,51,93,16,1801
Pass,Smart pass,71,54,94,54,"901, 1802"
Pass,Simple pass,47,67,61,41,1801
Pass,Simple pass,45,24,61,16,1801
Duel,Ground attacking duel,73,46,78,37,"502, 703, 1801"
Shot,Shot,78,37,0,0,"401, 201, 1205, 1801"
Duel,Ground attacking duel,32,10,32,8,"502, 703, 1801"
Free Kick,Free Kick,29,4,35,37,1801
Pass,Simple pass,66,41,68,70,1801
Pass,Simple pass,64,43,65,92,1801
Others on the ball,Touch,42,25,61,27,
Pass,Simple pass,61,27,81,9,1801
Pass,Simple pass,48,42,72,7,1801
Pass,Simple pass,42,21,33,45,1801
Pass,Simple pass,62,40,63,78,1801
Pass,Simple pass,67,26,73,65,1801
Free Kick,Free Kick,31,85,39,92,1801
Pass,Simple pass,47,64,60,37,1801
Free Kick,Corner,100,0,88,37,"801, 1802"
Free Kick,Free Kick,42,74,0,0,1802
Pass,Simple pass,31,14,22,1,1801
Pass,Simple pass,46,29,52,33,1801
Pass,Simple pass,71,20,82,3,1801
Pass,Simple pass,72,19,78,16,1801
Pass,Simple pass,70,19,90,5,1801
Pass,Simple pass,57,58,48,68,1801
Pass,Simple pass,91,12,75,13,1801
Pass,Simple pass,75,13,76,14,1801
Pass,Simple pass,76,14,84,6,1801
